,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년11월_계_총인구수,"100,249","6,236","1,664","2,178","1,628","1,121","3,573","2,636","3,928","5,159","2,455","1,750","2,291","5,333","14,464","6,939","16,648","15,753","6,493"
2020년11월_계_연령구간인구수,"100,249","6,236","1,664","2,178","1,628","1,121","3,573","2,636","3,928","5,159","2,455","1,750","2,291","5,333","14,464","6,939","16,648","15,753","6,493"
2020년11월_계_0~9세,"6,177",144,39,45,57,28,117,67,129,132,48,58,73,190,"1,085",492,"1,658","1,572",243
2020년11월_계_10~19세,"8,329",321,111,120,98,65,190,105,205,260,84,57,116,338,"1,471",657,"1,942","1,792",397
2020년11월_계_20~29세,"9,520",418,189,134,134,60,222,146,275,382,115,94,164,475,"1,671",737,"2,034","1,741",529
2020년11월_계_30~39세,"9,498",351,87,127,119,66,226,135,208,287,104,82,158,399,"1,569",758,"2,291","1,969",562
2020년11월_계_40~49세,"13,981",612,170,253,216,97,339,212,384,478,193,140,262,698,"2,295","1,126","3,002","2,731",773
2020년11월_계_50~59세,"17,237","1,136",281,395,323,228,630,424,683,959,382,270,446,974,"2,468","1,165","2,600","2,594","1,279"
2020년11월_계_60~69세,"16,991","1,490",380,492,362,254,796,591,884,"1,173",551,418,520,"1,066","2,051",979,"1,756","1,841","1,387"
2020년11월_계_70~79세,"11,254","1,047",258,355,177,187,596,525,662,848,537,360,361,717,"1,229",644,901,990,860
2020년11월_계_80~89세,"6,272",603,125,217,126,117,406,370,435,529,373,232,169,414,548,344,412,451,401
2020년11월_계_90~99세,926,111,24,39,15,19,50,59,57,103,66,39,18,60,68,33,46,60,59
2020년11월_계_100세 이상,64,3,0,1,1,0,1,2,6,8,2,0,4,2,9,4,6,12,3
2020년11월_남_총인구수,"50,814","3,184",880,"1,153",874,599,"1,847","1,311","1,994","2,608","1,200",900,"1,145","2,802","7,296","3,456","8,380","7,813","3,372"
2020년11월_남_연령구간인구수,"50,814","3,184",880,"1,153",874,599,"1,847","1,311","1,994","2,608","1,200",900,"1,145","2,802","7,296","3,456","8,380","7,813","3,372"
2020년11월_남_0~9세,"3,111",74,18,17,27,13,54,40,75,76,36,31,41,94,554,238,825,784,114
2020년11월_남_10~19세,"4,314",162,58,60,52,38,102,63,107,126,42,35,66,178,739,333,"1,006",948,199
2020년11월_남_20~29세,"5,601",273,144,78,91,36,133,84,168,232,70,60,93,305,975,410,"1,158",955,336
2020년11월_남_30~39세,"5,137",215,46,78,68,43,142,84,122,171,61,43,90,244,844,410,"1,148",987,341
2020년11월_남_40~49세,"7,685",361,104,171,141,65,208,130,235,268,117,107,160,422,"1,186",580,"1,560","1,382",488
2020년11월_남_50~59세,"9,179",628,161,240,184,142,356,239,368,538,203,149,249,541,"1,251",609,"1,318","1,321",682
2020년11월_남_60~69세,"8,340",753,200,246,185,134,404,297,453,604,278,224,234,523,973,459,836,858,679
2020년11월_남_70~79세,"4,999",477,108,171,83,84,297,239,295,385,231,160,154,340,547,274,380,416,358
2020년11월_남_80~89세,"2,237",212,36,83,40,40,144,119,160,186,143,84,54,145,208,134,139,146,164
2020년11월_남_90~99세,198,27,5,9,3,4,7,16,10,21,18,7,4,10,17,8,9,12,11
2020년11월_남_100세 이상,13,2,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,4,0
2020년11월_여_총인구수,"49,435","3,052",784,"1,025",754,522,"1,726","1,325","1,934","2,551","1,255",850,"1,146","2,531","7,168","3,483","8,268","7,940","3,121"
2020년11월_여_연령구간인구수,"49,435","3,052",784,"1,025",754,522,"1,726","1,325","1,934","2,551","1,255",850,"1,146","2,531","7,168","3,483","8,268","7,940","3,121"
2020년11월_여_0~9세,"3,066",70,21,28,30,15,63,27,54,56,12,27,32,96,531,254,833,788,129
2020년11월_여_10~19세,"4,015",159,53,60,46,27,88,42,98,134,42,22,50,160,732,324,936,844,198
2020년11월_여_20~29세,"3,919",145,45,56,43,24,89,62,107,150,45,34,71,170,696,327,876,786,193
2020년11월_여_30~39세,"4,361",136,41,49,51,23,84,51,86,116,43,39,68,155,725,348,"1,143",982,221
2020년11월_여_40~49세,"6,296",251,66,82,75,32,131,82,149,210,76,33,102,276,"1,109",546,"1,442","1,349",285
2020년11월_여_50~59세,"8,058",508,120,155,139,86,274,185,315,421,179,121,197,433,"1,217",556,"1,282","1,273",597
2020년11월_여_60~69세,"8,651",737,180,246,177,120,392,294,431,569,273,194,286,543,"1,078",520,920,983,708
2020년11월_여_70~79세,"6,255",570,150,184,94,103,299,286,367,463,306,200,207,377,682,370,521,574,502
2020년11월_여_80~89세,"4,035",391,89,134,86,77,262,251,275,343,230,148,115,269,340,210,273,305,237
2020년11월_여_90~99세,728,84,19,30,12,15,43,43,47,82,48,32,14,50,51,25,37,48,48
2020년11월_여_100세 이상,51,1,0,1,1,0,1,2,5,7,1,0,4,2,7,3,5,8,3
