,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년12월_계_총인구수,"55,739","14,548","2,268","2,604","1,672","19,948","2,535","2,379","1,494","2,683","3,078","1,160","1,370"
2021년12월_계_연령구간인구수,"55,739","14,548","2,268","2,604","1,672","19,948","2,535","2,379","1,494","2,683","3,078","1,160","1,370"
2021년12월_계_0~9세,"4,450",730,56,49,57,"3,216",149,38,15,40,47,18,35
2021년12월_계_10~19세,"4,455","1,173",110,73,52,"2,509",113,83,34,75,107,55,71
2021년12월_계_20~29세,"4,031","1,290",75,126,52,"1,747",220,106,52,94,160,36,73
2021년12월_계_30~39세,"5,272","1,076",71,108,80,"3,310",190,92,38,113,112,34,48
2021년12월_계_40~49세,"7,225","1,849",170,152,111,"3,842",234,193,85,184,228,75,102
2021년12월_계_50~59세,"7,901","2,380",320,399,253,"2,443",320,339,199,387,452,208,201
2021년12월_계_60~69세,"9,803","2,917",527,707,426,"1,574",467,586,415,709,761,381,333
2021년12월_계_70~79세,"6,746","1,864",480,492,319,739,415,498,312,568,600,186,273
2021년12월_계_80~89세,"5,114","1,101",412,424,283,490,366,387,309,461,543,138,200
2021년12월_계_90~99세,718,165,47,73,39,74,58,54,34,49,68,28,29
2021년12월_계_100세 이상,24,3,0,1,0,4,3,3,1,3,0,1,5
2021년12월_남_총인구수,"27,391","7,169","1,137","1,295",827,"9,762","1,263","1,160",724,"1,319","1,475",581,679
2021년12월_남_연령구간인구수,"27,391","7,169","1,137","1,295",827,"9,762","1,263","1,160",724,"1,319","1,475",581,679
2021년12월_남_0~9세,"2,262",371,30,26,26,"1,633",81,20,5,20,24,9,17
2021년12월_남_10~19세,"2,354",650,65,35,33,"1,292",56,41,18,44,53,35,32
2021년12월_남_20~29세,"2,266",752,46,80,31,904,145,61,33,53,97,18,46
2021년12월_남_30~39세,"2,652",560,39,71,41,"1,554",111,57,23,73,77,16,30
2021년12월_남_40~49세,"3,874",992,106,104,73,"1,887",153,127,56,131,141,45,59
2021년12월_남_50~59세,"4,155","1,188",199,212,162,"1,197",186,191,126,219,246,109,120
2021년12월_남_60~69세,"4,924","1,395",278,382,232,780,227,283,220,363,383,209,172
2021년12월_남_70~79세,"3,024",843,216,216,133,342,179,226,133,263,260,94,119
2021년12월_남_80~89세,"1,736",387,146,150,85,163,114,140,106,147,182,39,77
2021년12월_남_90~99세,143,31,12,19,11,10,11,14,4,6,12,6,7
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,1,0
2021년12월_여_총인구수,"28,348","7,379","1,131","1,309",845,"10,186","1,272","1,219",770,"1,364","1,603",579,691
2021년12월_여_연령구간인구수,"28,348","7,379","1,131","1,309",845,"10,186","1,272","1,219",770,"1,364","1,603",579,691
2021년12월_여_0~9세,"2,188",359,26,23,31,"1,583",68,18,10,20,23,9,18
2021년12월_여_10~19세,"2,101",523,45,38,19,"1,217",57,42,16,31,54,20,39
2021년12월_여_20~29세,"1,765",538,29,46,21,843,75,45,19,41,63,18,27
2021년12월_여_30~39세,"2,620",516,32,37,39,"1,756",79,35,15,40,35,18,18
2021년12월_여_40~49세,"3,351",857,64,48,38,"1,955",81,66,29,53,87,30,43
2021년12월_여_50~59세,"3,746","1,192",121,187,91,"1,246",134,148,73,168,206,99,81
2021년12월_여_60~69세,"4,879","1,522",249,325,194,794,240,303,195,346,378,172,161
2021년12월_여_70~79세,"3,722","1,021",264,276,186,397,236,272,179,305,340,92,154
2021년12월_여_80~89세,"3,378",714,266,274,198,327,252,247,203,314,361,99,123
2021년12월_여_90~99세,575,134,35,54,28,64,47,40,30,43,56,22,22
2021년12월_여_100세 이상,23,3,0,1,0,4,3,3,1,3,0,0,5
