카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년09월_계_총인구수,"50,745","29,144","3,225","1,418","1,946","2,341","3,037","4,275","2,302","3,057"
2020년09월_계_연령구간인구수,"50,745","29,144","3,225","1,418","1,946","2,341","3,037","4,275","2,302","3,057"
2020년09월_계_0~9세,"2,676","2,168",98,37,37,29,58,113,64,72
2020년09월_계_10~19세,"3,921","3,062",125,68,72,57,138,202,77,120
2020년09월_계_20~29세,"4,417","3,158",221,63,96,88,135,278,175,203
2020년09월_계_30~39세,"3,979","2,841",181,73,76,82,128,275,134,189
2020년09월_계_40~49세,"6,315","4,522",290,100,168,131,229,397,174,304
2020년09월_계_50~59세,"9,063","5,031",629,272,322,456,522,783,431,617
2020년09월_계_60~69세,"9,730","4,277",809,351,515,641,802,985,569,781
2020년09월_계_70~79세,"6,301","2,635",483,246,344,432,594,719,388,460
2020년09월_계_80~89세,"3,732","1,255",330,175,264,368,379,441,258,262
2020년09월_계_90~99세,582,189,58,33,44,54,47,79,32,46
2020년09월_계_100세 이상,29,6,1,0,8,3,5,3,0,3
2020년09월_남_총인구수,"25,548","14,562","1,665",712,984,"1,169","1,467","2,190","1,202","1,597"
2020년09월_남_연령구간인구수,"25,548","14,562","1,665",712,984,"1,169","1,467","2,190","1,202","1,597"
2020년09월_남_0~9세,"1,392","1,130",57,20,17,15,25,56,34,38
2020년09월_남_10~19세,"2,073","1,618",63,38,37,34,73,106,36,68
2020년09월_남_20~29세,"2,498","1,745",140,37,56,56,80,166,97,121
2020년09월_남_30~39세,"2,069","1,420",104,45,49,43,61,163,78,106
2020년09월_남_40~49세,"3,395","2,294",173,67,105,85,137,254,110,170
2020년09월_남_50~59세,"4,845","2,605",342,140,193,248,294,427,248,348
2020년09월_남_60~69세,"4,979","2,091",429,191,266,354,407,509,312,420
2020년09월_남_70~79세,"2,889","1,157",234,114,160,204,269,352,186,213
2020년09월_남_80~89세,"1,253",458,104,53,87,112,107,137,93,102
2020년09월_남_90~99세,148,43,19,7,11,18,13,18,8,11
2020년09월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년09월_여_총인구수,"25,197","14,582","1,560",706,962,"1,172","1,570","2,085","1,100","1,460"
2020년09월_여_연령구간인구수,"25,197","14,582","1,560",706,962,"1,172","1,570","2,085","1,100","1,460"
2020년09월_여_0~9세,"1,284","1,038",41,17,20,14,33,57,30,34
2020년09월_여_10~19세,"1,848","1,444",62,30,35,23,65,96,41,52
2020년09월_여_20~29세,"1,919","1,413",81,26,40,32,55,112,78,82
2020년09월_여_30~39세,"1,910","1,421",77,28,27,39,67,112,56,83
2020년09월_여_40~49세,"2,920","2,228",117,33,63,46,92,143,64,134
2020년09월_여_50~59세,"4,218","2,426",287,132,129,208,228,356,183,269
2020년09월_여_60~69세,"4,751","2,186",380,160,249,287,395,476,257,361
2020년09월_여_70~79세,"3,412","1,478",249,132,184,228,325,367,202,247
2020년09월_여_80~89세,"2,479",797,226,122,177,256,272,304,165,160
2020년09월_여_90~99세,434,146,39,26,33,36,34,61,24,35
2020년09월_여_100세 이상,22,5,1,0,5,3,4,1,0,3
