카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년03월_계_총인구수,"55,190","21,447","2,269","2,732","2,828","2,595","2,484","2,897","1,852","3,414","2,560","3,137","2,002","2,244","2,729"
2020년03월_계_연령구간인구수,"55,190","21,447","2,269","2,732","2,828","2,595","2,484","2,897","1,852","3,414","2,560","3,137","2,002","2,244","2,729"
2020년03월_계_0~9세,"2,826","1,875",59,91,87,80,61,85,56,85,71,80,57,62,77
2020년03월_계_10~19세,"4,340","2,664",107,104,213,128,154,128,59,161,117,148,83,111,163
2020년03월_계_20~29세,"4,459","2,404",151,179,178,151,182,162,84,205,160,217,125,130,131
2020년03월_계_30~39세,"4,067","2,200",127,153,144,151,135,145,103,178,170,177,113,132,139
2020년03월_계_40~49세,"6,474","3,266",198,264,259,229,258,240,169,316,265,319,190,215,286
2020년03월_계_50~59세,"9,273","3,432",419,523,477,438,451,470,295,609,505,558,315,376,405
2020년03월_계_60~69세,"9,398","2,681",468,530,516,527,444,628,403,666,522,641,419,432,521
2020년03월_계_70~79세,"8,384","1,780",414,517,599,515,484,615,345,696,465,557,387,430,580
2020년03월_계_80~89세,"5,168",978,287,321,320,328,274,371,300,424,254,382,269,295,365
2020년03월_계_90~99세,765,160,37,49,34,46,40,48,37,68,30,55,44,60,57
2020년03월_계_100세 이상,36,7,2,1,1,2,1,5,1,6,1,3,0,1,5
2020년03월_남_총인구수,"27,238","10,582","1,164","1,391","1,393","1,283","1,194","1,406",907,"1,687","1,299","1,514","1,017","1,081","1,320"
2020년03월_남_연령구간인구수,"27,238","10,582","1,164","1,391","1,393","1,283","1,194","1,406",907,"1,687","1,299","1,514","1,017","1,081","1,320"
2020년03월_남_0~9세,"1,494",975,31,48,43,46,38,46,28,45,44,41,27,37,45
2020년03월_남_10~19세,"2,344","1,435",58,61,128,62,88,58,37,85,59,71,56,51,95
2020년03월_남_20~29세,"2,504","1,325",96,103,100,89,93,89,53,123,84,124,77,74,74
2020년03월_남_30~39세,"2,184","1,079",77,94,84,90,74,87,65,105,105,99,63,75,87
2020년03월_남_40~49세,"3,708","1,657",138,170,163,142,155,158,109,200,178,187,130,138,183
2020년03월_남_50~59세,"5,037","1,695",252,318,264,251,249,268,178,338,284,300,179,214,247
2020년03월_남_60~69세,"4,625","1,284",245,262,249,261,210,307,193,348,267,325,218,216,240
2020년03월_남_70~79세,"3,557",759,186,218,245,227,200,278,142,287,194,229,172,184,236
2020년03월_남_80~89세,"1,646",345,76,107,110,102,78,108,92,143,80,130,88,84,103
2020년03월_남_90~99세,137,28,5,10,7,13,9,6,10,12,4,8,7,8,10
2020년03월_남_100세 이상,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020년03월_여_총인구수,"27,952","10,865","1,105","1,341","1,435","1,312","1,290","1,491",945,"1,727","1,261","1,623",985,"1,163","1,409"
2020년03월_여_연령구간인구수,"27,952","10,865","1,105","1,341","1,435","1,312","1,290","1,491",945,"1,727","1,261","1,623",985,"1,163","1,409"
2020년03월_여_0~9세,"1,332",900,28,43,44,34,23,39,28,40,27,39,30,25,32
2020년03월_여_10~19세,"1,996","1,229",49,43,85,66,66,70,22,76,58,77,27,60,68
2020년03월_여_20~29세,"1,955","1,079",55,76,78,62,89,73,31,82,76,93,48,56,57
2020년03월_여_30~39세,"1,883","1,121",50,59,60,61,61,58,38,73,65,78,50,57,52
2020년03월_여_40~49세,"2,766","1,609",60,94,96,87,103,82,60,116,87,132,60,77,103
2020년03월_여_50~59세,"4,236","1,737",167,205,213,187,202,202,117,271,221,258,136,162,158
2020년03월_여_60~69세,"4,773","1,397",223,268,267,266,234,321,210,318,255,316,201,216,281
2020년03월_여_70~79세,"4,827","1,021",228,299,354,288,284,337,203,409,271,328,215,246,344
2020년03월_여_80~89세,"3,522",633,211,214,210,226,196,263,208,281,174,252,181,211,262
2020년03월_여_90~99세,628,132,32,39,27,33,31,42,27,56,26,47,37,52,47
2020년03월_여_100세 이상,34,7,2,1,1,2,1,4,1,5,1,3,0,1,5
