,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년10월_계_총인구수,"280,584","2,709","8,668","1,931","20,488","6,292","6,531","2,865","1,347",831,"2,085","4,631","3,236","4,466","4,070","6,272","3,855","5,506","11,797","7,033","19,093","20,072","11,982","10,455","10,530","32,880","37,509","21,574","8,234","2,446","1,196"
2020년10월_계_연령구간인구수,"280,584","2,709","8,668","1,931","20,488","6,292","6,531","2,865","1,347",831,"2,085","4,631","3,236","4,466","4,070","6,272","3,855","5,506","11,797","7,033","19,093","20,072","11,982","10,455","10,530","32,880","37,509","21,574","8,234","2,446","1,196"
2020년10월_계_0~9세,"21,183",53,612,42,"2,116",273,146,69,13,24,57,239,103,155,118,250,157,172,769,487,"1,305","1,530",696,804,"1,067","2,814","4,739","1,243","1,028",73,29
2020년10월_계_10~19세,"26,557",97,660,72,"2,054",315,305,139,38,39,81,282,210,304,228,313,258,269,932,624,"1,927","2,178","1,104","1,229",936,"3,985","4,547","2,104","1,132",132,63
2020년10월_계_20~29세,"33,758",190,755,132,"2,207",461,561,149,63,56,166,425,386,400,357,697,422,460,"1,295",750,"2,534","2,589","1,807","1,438","1,088","5,113","4,643","3,377",863,259,115
2020년10월_계_30~39세,"31,183",128,805,93,"2,657",445,375,128,58,30,139,447,325,359,284,587,313,454,"1,190",719,"2,047","2,238","1,273","1,170","1,391","4,041","5,732","2,303","1,204",183,65
2020년10월_계_40~49세,"42,185",239,"1,300",147,"3,205",736,628,246,94,85,225,566,356,580,496,774,447,630,"1,598",937,"2,832","3,277","1,838","1,753","1,576","5,610","6,585","3,350","1,663",286,126
2020년10월_계_50~59세,"48,506",464,"1,420",320,"3,499","1,048","1,233",455,190,138,465,714,484,726,661,"1,046",613,929,"2,122","1,160","3,432","3,404","2,247","1,877","1,558","5,932","6,081","4,531","1,040",479,238
2020년10월_계_60~69세,"40,521",628,"1,600",447,"2,528","1,235","1,370",660,305,166,473,965,599,957,859,"1,276",803,"1,234","2,102","1,343","2,978","2,743","1,690","1,374","1,526","3,293","3,258","2,730",699,458,222
2020년10월_계_70~79세,"24,366",568,998,391,"1,383","1,043","1,133",608,334,175,294,726,542,706,758,955,568,960,"1,305",758,"1,358","1,427",890,590,963,"1,430","1,273","1,269",435,340,186
2020년10월_계_80~89세,"10,622",293,454,245,740,620,658,362,206,101,152,222,208,247,271,324,236,349,433,221,600,583,386,184,361,560,548,578,151,199,130
2020년10월_계_90~99세,"1,594",47,63,41,93,111,118,45,44,16,29,39,22,24,33,44,36,42,43,30,79,103,50,35,56,97,100,88,17,27,22
2020년10월_계_100세 이상,109,2,1,1,6,5,4,4,2,1,4,6,1,8,5,6,2,7,8,4,1,0,1,1,8,5,3,1,2,10,0
2020년10월_남_총인구수,"143,106","1,359","4,498",949,"10,448","3,244","3,369","1,472",662,413,"1,171","2,352","1,638","2,231","2,092","3,265","1,902","2,804","5,955","3,512","9,398","10,105","6,393","5,285","5,303","16,908","18,803","11,374","4,247","1,331",623
2020년10월_남_연령구간인구수,"143,106","1,359","4,498",949,"10,448","3,244","3,369","1,472",662,413,"1,171","2,352","1,638","2,231","2,092","3,265","1,902","2,804","5,955","3,512","9,398","10,105","6,393","5,285","5,303","16,908","18,803","11,374","4,247","1,331",623
2020년10월_남_0~9세,"10,764",24,318,24,"1,106",139,80,38,7,12,30,116,47,80,67,145,67,80,390,246,643,794,356,403,541,"1,429","2,398",621,518,35,10
2020년10월_남_10~19세,"13,838",47,339,35,"1,036",176,167,77,17,19,44,151,114,166,119,183,122,125,490,307,994,"1,116",590,650,492,"2,077","2,409","1,063",612,73,28
2020년10월_남_20~29세,"19,105",109,434,75,"1,260",275,321,97,32,30,98,244,200,234,204,392,236,264,738,420,"1,414","1,431","1,084",770,599,"2,965","2,438","2,021",478,171,71
2020년10월_남_30~39세,"16,776",82,427,53,"1,375",251,230,83,39,14,84,255,204,201,178,354,177,252,663,367,"1,063","1,193",737,642,717,"2,132","2,842","1,385",607,122,47
2020년10월_남_40~49세,"22,268",161,778,100,"1,686",501,394,163,68,54,163,339,208,331,313,463,252,407,877,498,"1,406","1,619","1,000",847,852,"2,727","3,195","1,730",867,178,91
2020년10월_남_50~59세,"25,352",256,772,163,"1,813",601,721,282,104,93,277,368,261,380,358,553,315,525,"1,019",562,"1,617","1,739","1,230",928,781,"3,085","3,123","2,400",593,288,145
2020년10월_남_60~69세,"20,103",322,792,236,"1,307",618,744,342,177,80,266,446,272,428,402,586,356,550,993,656,"1,448","1,379",898,694,726,"1,642","1,646","1,406",330,241,120
2020년10월_남_70~79세,"11,048",241,446,176,609,461,499,263,153,75,151,349,233,309,341,458,280,455,612,364,588,637,382,284,462,674,572,565,188,153,68
2020년10월_남_80~89세,"3,550",108,177,78,238,205,187,116,57,32,53,71,93,94,102,121,93,135,168,85,213,182,110,64,126,166,162,164,50,60,40
2020년10월_남_90~99세,285,9,15,9,17,15,26,10,8,4,4,9,6,8,7,9,4,11,5,6,12,15,6,3,7,11,17,19,2,8,3
2020년10월_남_100세 이상,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020년10월_여_총인구수,"137,478","1,350","4,170",982,"10,040","3,048","3,162","1,393",685,418,914,"2,279","1,598","2,235","1,978","3,007","1,953","2,702","5,842","3,521","9,695","9,967","5,589","5,170","5,227","15,972","18,706","10,200","3,987","1,115",573
