,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년08월_계_총인구수,"24,773","5,145","1,830","2,497","2,086","2,501","2,603","1,766","6,345"
2021년08월_계_연령구간인구수,"24,773","5,145","1,830","2,497","2,086","2,501","2,603","1,766","6,345"
2021년08월_계_0~9세,952,279,46,70,74,55,74,54,300
2021년08월_계_10~19세,"1,168",344,53,88,100,95,93,52,343
2021년08월_계_20~29세,"1,626",454,86,131,137,116,107,84,511
2021년08월_계_30~39세,"1,590",450,110,120,98,115,117,91,489
2021년08월_계_40~49세,"2,305",592,141,162,188,174,194,133,721
2021년08월_계_50~59세,"4,548",996,344,464,420,443,486,265,"1,130"
2021년08월_계_60~69세,"5,692",942,483,661,446,735,638,461,"1,326"
2021년08월_계_70~79세,"3,985",617,338,471,350,449,517,328,915
2021년08월_계_80~89세,"2,559",413,204,290,237,279,327,255,554
2021년08월_계_90~99세,333,54,25,39,34,39,47,43,52
2021년08월_계_100세 이상,15,4,0,1,2,1,3,0,4
2021년08월_남_총인구수,"12,340","2,543",906,"1,229","1,039","1,235","1,252",882,"3,254"
2021년08월_남_연령구간인구수,"12,340","2,543",906,"1,229","1,039","1,235","1,252",882,"3,254"
2021년08월_남_0~9세,485,149,20,35,36,28,40,24,153
2021년08월_남_10~19세,624,173,33,53,54,51,52,22,186
2021년08월_남_20~29세,983,263,51,76,81,65,67,51,329
2021년08월_남_30~39세,922,248,68,63,54,71,63,60,295
2021년08월_남_40~49세,"1,314",306,90,92,112,99,113,81,421
2021년08월_남_50~59세,"2,433",528,175,253,231,234,251,148,613
2021년08월_남_60~69세,"2,842",468,257,320,217,359,324,258,639
2021년08월_남_70~79세,"1,783",265,147,216,162,201,219,149,424
2021년08월_남_80~89세,888,135,62,114,85,119,112,78,183
2021년08월_남_90~99세,63,8,3,6,7,8,11,11,9
2021년08월_남_100세 이상,3,0,0,1,0,0,0,0,2
2021년08월_여_총인구수,"12,433","2,602",924,"1,268","1,047","1,266","1,351",884,"3,091"
2021년08월_여_연령구간인구수,"12,433","2,602",924,"1,268","1,047","1,266","1,351",884,"3,091"
2021년08월_여_0~9세,467,130,26,35,38,27,34,30,147
2021년08월_여_10~19세,544,171,20,35,46,44,41,30,157
2021년08월_여_20~29세,643,191,35,55,56,51,40,33,182
2021년08월_여_30~39세,668,202,42,57,44,44,54,31,194
2021년08월_여_40~49세,991,286,51,70,76,75,81,52,300
2021년08월_여_50~59세,"2,115",468,169,211,189,209,235,117,517
2021년08월_여_60~69세,"2,850",474,226,341,229,376,314,203,687
2021년08월_여_70~79세,"2,202",352,191,255,188,248,298,179,491
2021년08월_여_80~89세,"1,671",278,142,176,152,160,215,177,371
2021년08월_여_90~99세,270,46,22,33,27,31,36,32,43
2021년08월_여_100세 이상,12,4,0,0,2,1,3,0,2
