카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년06월_계_총인구수,"353,686","120,892","35,086","3,354","12,753","8,285","11,542","33,250","22,117","9,039","28,323","20,397","30,622","18,026"
2021년06월_계_연령구간인구수,"353,686","120,892","35,086","3,354","12,753","8,285","11,542","33,250","22,117","9,039","28,323","20,397","30,622","18,026"
2021년06월_계_0~9세,"33,730","15,713","4,715",78,509,175,461,"2,441","1,326",726,"2,229","1,368","2,360","1,629"
2021년06월_계_10~19세,"34,533","12,811","2,900",108,815,578,600,"4,140","1,771","1,011","3,270","1,802","3,160","1,567"
2021년06월_계_20~29세,"40,169","14,090","3,180",157,"1,263",808,"1,426","4,536","3,121","1,032","3,167","2,203","3,181","2,005"
2021년06월_계_30~39세,"48,197","20,744","6,189",200,"1,062",562,"1,279","3,257","3,001","1,069","3,152","2,257","3,023","2,402"
2021년06월_계_40~49세,"61,217","22,457","6,502",276,"1,586",909,"1,462","5,986","3,433","1,635","5,334","3,392","5,361","2,884"
2021년06월_계_50~59세,"58,769","17,027","4,733",583,"2,672","1,824","2,401","6,257","4,535","1,526","4,941","3,887","5,161","3,222"
2021년06월_계_60~69세,"45,148","11,434","4,235",969,"2,713","1,947","2,385","3,605","3,160","1,226","3,726","3,059","4,248","2,441"
2021년06월_계_70~79세,"21,545","4,568","1,881",627,"1,387",913,"1,035","2,077","1,176",548,"1,755","1,579","2,753","1,246"
2021년06월_계_80~89세,"9,174","1,797",655,310,643,474,433,862,514,237,665,773,"1,258",553
2021년06월_계_90~99세,"1,170",247,95,45,99,86,60,87,78,29,80,75,114,75
2021년06월_계_100세 이상,34,4,1,1,4,9,0,2,2,0,4,2,3,2
2021년06월_남_총인구수,"177,308","59,738","17,793","1,727","6,503","4,340","6,144","16,091","11,616","4,524","14,800","10,199","14,912","8,921"
2021년06월_남_연령구간인구수,"177,308","59,738","17,793","1,727","6,503","4,340","6,144","16,091","11,616","4,524","14,800","10,199","14,912","8,921"
2021년06월_남_0~9세,"17,205","7,984","2,435",44,259,91,234,"1,242",687,352,"1,136",701,"1,210",830
2021년06월_남_10~19세,"17,695","6,535","1,475",52,407,311,347,"2,156",920,465,"1,684",919,"1,619",805
2021년06월_남_20~29세,"21,613","7,024","1,706",95,749,497,848,"2,412","1,856",556,"1,832","1,224","1,730","1,084"
2021년06월_남_30~39세,"24,778","10,265","3,127",126,617,329,756,"1,602","1,746",578,"1,697","1,180","1,504","1,251"
2021년06월_남_40~49세,"31,084","11,244","3,499",166,837,483,819,"2,716","1,817",828,"2,827","1,712","2,718","1,418"
2021년06월_남_50~59세,"29,676","8,381","2,364",315,"1,392",956,"1,278","3,064","2,221",798,"2,689","2,026","2,603","1,589"
2021년06월_남_60~69세,"22,091","5,571","2,006",501,"1,395","1,055","1,201","1,674","1,670",618,"1,869","1,481","1,872","1,178"
2021년06월_남_70~79세,"9,734","2,114",934,312,601,446,483,867,532,255,807,681,"1,151",551
2021년06월_남_80~89세,"3,173",576,228,106,222,152,158,339,149,71,245,256,474,197
2021년06월_남_90~99세,256,44,19,10,24,20,20,18,18,3,13,19,30,18
2021년06월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,1,0,1,0
2021년06월_여_총인구수,"176,378","61,154","17,293","1,627","6,250","3,945","5,398","17,159","10,501","4,515","13,523","10,198","15,710","9,105"
2021년06월_여_연령구간인구수,"176,378","61,154","17,293","1,627","6,250","3,945","5,398","17,159","10,501","4,515","13,523","10,198","15,710","9,105"
2021년06월_여_0~9세,"16,525","7,729","2,280",34,250,84,227,"1,199",639,374,"1,093",667,"1,150",799
2021년06월_여_10~19세,"16,838","6,276","1,425",56,408,267,253,"1,984",851,546,"1,586",883,"1,541",762
2021년06월_여_20~29세,"18,556","7,066","1,474",62,514,311,578,"2,124","1,265",476,"1,335",979,"1,451",921
2021년06월_여_30~39세,"23,419","10,479","3,062",74,445,233,523,"1,655","1,255",491,"1,455","1,077","1,519","1,151"
2021년06월_여_40~49세,"30,133","11,213","3,003",110,749,426,643,"3,270","1,616",807,"2,507","1,680","2,643","1,466"
2021년06월_여_50~59세,"29,093","8,646","2,369",268,"1,280",868,"1,123","3,193","2,314",728,"2,252","1,861","2,558","1,633"
2021년06월_여_60~69세,"23,057","5,863","2,229",468,"1,318",892,"1,184","1,931","1,490",608,"1,857","1,578","2,376","1,263"
2021년06월_여_70~79세,"11,811","2,454",947,315,786,467,552,"1,210",644,293,948,898,"1,602",695
2021년06월_여_80~89세,"6,001","1,221",427,204,421,322,275,523,365,166,420,517,784,356
2021년06월_여_90~99세,914,203,76,35,75,66,40,69,60,26,67,56,84,57
2021년06월_여_100세 이상,31,4,1,1,4,9,0,1,2,0,3,2,2,2
