카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년01월_계_총인구수,"90,417","30,433","4,316","20,277","5,393","5,338","3,733","3,261","10,810","3,792","3,064"
2020년01월_계_연령구간인구수,"90,417","30,433","4,316","20,277","5,393","5,338","3,733","3,261","10,810","3,792","3,064"
2020년01월_계_0~9세,"6,865","2,951",188,"1,733",220,340,144,111,853,200,125
2020년01월_계_10~19세,"9,045","3,306",283,"2,821",391,446,194,183,999,206,216
2020년01월_계_20~29세,"9,398","3,390",623,"2,236",500,515,288,199,"1,115",288,244
2020년01월_계_30~39세,"9,526","3,741",350,"2,184",444,506,278,217,"1,221",348,237
2020년01월_계_40~49세,"14,883","5,235",592,"4,012",742,782,470,430,"1,734",509,377
2020년01월_계_50~59세,"15,646","5,026",767,"3,547",990,"1,005",617,513,"1,945",655,581
2020년01월_계_60~69세,"13,001","4,043",731,"2,042","1,057",846,803,690,"1,521",682,586
2020년01월_계_70~79세,"7,987","1,857",489,"1,163",711,640,624,607,899,560,437
2020년01월_계_80~89세,"3,571",775,256,478,293,231,274,271,469,299,225
2020년01월_계_90~99세,468,108,36,61,43,21,36,35,52,42,34
2020년01월_계_100세 이상,27,1,1,0,2,6,5,5,2,3,2
2020년01월_남_총인구수,"45,782","15,128","2,354","10,448","2,629","2,718","1,863","1,609","5,543","1,898","1,592"
2020년01월_남_연령구간인구수,"45,782","15,128","2,354","10,448","2,629","2,718","1,863","1,609","5,543","1,898","1,592"
2020년01월_남_0~9세,"3,520","1,508",91,900,122,171,70,63,438,94,63
2020년01월_남_10~19세,"4,738","1,667",157,"1,531",196,239,104,98,523,110,113
2020년01월_남_20~29세,"5,480","1,944",438,"1,300",270,290,169,107,638,168,156
2020년01월_남_30~39세,"4,998","1,894",201,"1,123",240,283,171,126,640,184,136
2020년01월_남_40~49세,"7,796","2,590",335,"1,988",410,449,287,263,936,305,233
2020년01월_남_50~59세,"8,021","2,415",435,"1,880",467,525,310,280,"1,034",341,334
2020년01월_남_60~69세,"6,261","1,962",354,998,505,384,354,314,752,338,300
2020년01월_남_70~79세,"3,589",864,231,537,310,280,288,237,420,243,179
2020년01월_남_80~89세,"1,270",262,105,177,99,89,98,109,155,104,72
2020년01월_남_90~99세,101,22,6,14,8,7,11,12,7,9,5
2020년01월_남_100세 이상,8,0,1,0,2,1,1,0,0,2,1
2020년01월_여_총인구수,"44,635","15,305","1,962","9,829","2,764","2,620","1,870","1,652","5,267","1,894","1,472"
2020년01월_여_연령구간인구수,"44,635","15,305","1,962","9,829","2,764","2,620","1,870","1,652","5,267","1,894","1,472"
2020년01월_여_0~9세,"3,345","1,443",97,833,98,169,74,48,415,106,62
2020년01월_여_10~19세,"4,307","1,639",126,"1,290",195,207,90,85,476,96,103
2020년01월_여_20~29세,"3,918","1,446",185,936,230,225,119,92,477,120,88
2020년01월_여_30~39세,"4,528","1,847",149,"1,061",204,223,107,91,581,164,101
2020년01월_여_40~49세,"7,087","2,645",257,"2,024",332,333,183,167,798,204,144
2020년01월_여_50~59세,"7,625","2,611",332,"1,667",523,480,307,233,911,314,247
2020년01월_여_60~69세,"6,740","2,081",377,"1,044",552,462,449,376,769,344,286
2020년01월_여_70~79세,"4,398",993,258,626,401,360,336,370,479,317,258
2020년01월_여_80~89세,"2,301",513,151,301,194,142,176,162,314,195,153
2020년01월_여_90~99세,367,86,30,47,35,14,25,23,45,33,29
2020년01월_여_100세 이상,19,1,0,0,0,5,4,5,2,1,1
