카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년05월_계_총인구수,"110,371","17,694","13,362","15,465","7,552","1,590","3,409","2,823","3,487","6,015","5,056","6,380","15,197","6,817","5,266",258
2021년05월_계_연령구간인구수,"110,371","17,694","13,362","15,465","7,552","1,590","3,409","2,823","3,487","6,015","5,056","6,380","15,197","6,817","5,266",258
2021년05월_계_0~9세,"7,893","1,328","1,415","1,896",618,37,85,70,72,158,217,425,962,319,289,2
2021년05월_계_10~19세,"10,172","1,795","1,531","2,044",637,43,142,78,135,281,296,500,"1,637",638,408,7
2021년05월_계_20~29세,"10,572","2,224","1,487","1,532",515,115,259,147,223,376,449,534,"1,582",705,413,11
2021년05월_계_30~39세,"11,486","2,258","1,892","2,245",808,88,182,129,156,409,423,651,"1,275",521,437,12
2021년05월_계_40~49세,"17,534","3,118","2,443","3,118","1,229",154,331,253,313,677,649,951,"2,445","1,136",689,28
2021년05월_계_50~59세,"18,276","3,017","2,011","1,904","1,174",273,585,520,653,"1,038",958,"1,104","2,850","1,269",879,41
2021년05월_계_60~69세,"16,968","2,087","1,329","1,356","1,268",405,774,694,802,"1,461","1,028","1,124","2,374","1,163","1,040",63
2021년05월_계_70~79세,"10,726","1,128",740,836,791,248,600,509,629,"1,067",672,758,"1,357",672,654,65
2021년05월_계_80~89세,"5,880",644,432,462,436,205,398,374,434,480,326,293,647,334,386,29
2021년05월_계_90~99세,842,91,81,71,74,22,50,47,68,67,38,38,67,59,69,0
2021년05월_계_100세 이상,22,4,1,1,2,0,3,2,2,1,0,2,1,1,2,0
2021년05월_남_총인구수,"55,696","9,243","6,703","8,066","3,789",836,"1,746","1,402","1,720","2,947","2,511","3,110","7,377","3,533","2,582",131
2021년05월_남_연령구간인구수,"55,696","9,243","6,703","8,066","3,789",836,"1,746","1,402","1,720","2,947","2,511","3,110","7,377","3,533","2,582",131
2021년05월_남_0~9세,"4,087",700,715,"1,013",291,24,53,42,38,83,115,211,496,152,153,1
2021년05월_남_10~19세,"5,260",883,804,"1,027",348,22,76,50,70,148,160,275,836,350,206,5
2021년05월_남_20~29세,"6,325","1,316",842,962,301,68,166,94,141,228,286,311,912,430,260,8
2021년05월_남_30~39세,"6,194","1,289",978,"1,190",418,53,106,69,88,252,240,339,636,303,227,6
2021년05월_남_40~49세,"9,318","1,700","1,215","1,632",691,95,196,165,202,401,362,498,"1,163",605,370,23
2021년05월_남_50~59세,"9,717","1,604","1,044","1,089",620,169,335,301,373,558,477,558,"1,434",691,438,26
2021년05월_남_60~69세,"8,209","1,051",657,645,604,222,397,346,390,668,480,502,"1,130",582,505,30
2021년05월_남_70~79세,"4,608",484,305,357,356,112,272,213,282,443,284,317,565,299,294,25
2021년05월_남_80~89세,"1,842",201,130,141,146,64,131,114,128,157,100,93,198,111,121,7
2021년05월_남_90~99세,130,15,13,10,13,7,13,7,7,9,7,6,7,9,7,0
2021년05월_남_100세 이상,6,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
2021년05월_여_총인구수,"54,675","8,451","6,659","7,399","3,763",754,"1,663","1,421","1,767","3,068","2,545","3,270","7,820","3,284","2,684",127
2021년05월_여_연령구간인구수,"54,675","8,451","6,659","7,399","3,763",754,"1,663","1,421","1,767","3,068","2,545","3,270","7,820","3,284","2,684",127
2021년05월_여_0~9세,"3,806",628,700,883,327,13,32,28,34,75,102,214,466,167,136,1
2021년05월_여_10~19세,"4,912",912,727,"1,017",289,21,66,28,65,133,136,225,801,288,202,2
2021년05월_여_20~29세,"4,247",908,645,570,214,47,93,53,82,148,163,223,670,275,153,3
2021년05월_여_30~39세,"5,292",969,914,"1,055",390,35,76,60,68,157,183,312,639,218,210,6
2021년05월_여_40~49세,"8,216","1,418","1,228","1,486",538,59,135,88,111,276,287,453,"1,282",531,319,5
2021년05월_여_50~59세,"8,559","1,413",967,815,554,104,250,219,280,480,481,546,"1,416",578,441,15
2021년05월_여_60~69세,"8,759","1,036",672,711,664,183,377,348,412,793,548,622,"1,244",581,535,33
2021년05월_여_70~79세,"6,118",644,435,479,435,136,328,296,347,624,388,441,792,373,360,40
2021년05월_여_80~89세,"4,038",443,302,321,290,141,267,260,306,323,226,200,449,223,265,22
2021년05월_여_90~99세,712,76,68,61,61,15,37,40,61,58,31,32,60,50,62,0
2021년05월_여_100세 이상,16,4,1,1,1,0,2,1,1,1,0,2,1,0,1,0
