카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년08월_계_총인구수,"1,454,679","223,206","232,309","474,504","349,809","174,851"
2021년08월_계_연령구간인구수,"1,454,679","223,206","232,309","474,504","349,809","174,851"
2021년08월_계_0~9세,"109,542","14,590","14,353","36,331","33,589","10,679"
2021년08월_계_10~19세,"143,384","19,730","21,311","48,630","37,635","16,078"
2021년08월_계_20~29세,"210,407","30,171","30,374","73,367","52,291","24,204"
2021년08월_계_30~39세,"190,417","25,527","25,353","64,914","54,917","19,706"
2021년08월_계_40~49세,"232,653","33,845","35,749","76,768","59,862","26,429"
2021년08월_계_50~59세,"239,536","36,275","39,008","76,794","54,248","33,211"
2021년08월_계_60~69세,"188,339","34,070","34,674","57,825","35,767","26,003"
2021년08월_계_70~79세,"91,868","19,060","20,579","26,288","13,727","12,214"
2021년08월_계_80~89세,"42,321","8,753","9,547","11,807","6,641","5,573"
2021년08월_계_90~99세,"6,000","1,143","1,310","1,718","1,102",727
2021년08월_계_100세 이상,212,42,51,62,30,27
2021년08월_남_총인구수,"725,956","112,538","114,475","233,278","176,672","88,993"
2021년08월_남_연령구간인구수,"725,956","112,538","114,475","233,278","176,672","88,993"
2021년08월_남_0~9세,"56,336","7,583","7,330","18,761","17,271","5,391"
2021년08월_남_10~19세,"74,118","10,206","11,000","25,046","19,463","8,403"
2021년08월_남_20~29세,"110,408","16,008","15,507","37,408","28,066","13,419"
2021년08월_남_30~39세,"99,627","13,792","13,059","33,231","28,745","10,800"
2021년08월_남_40~49세,"115,946","17,714","18,088","37,130","29,460","13,554"
2021년08월_남_50~59세,"119,607","18,726","19,738","37,231","27,035","16,877"
2021년08월_남_60~69세,"91,358","16,485","16,553","27,730","17,730","12,860"
2021년08월_남_70~79세,"41,831","8,569","9,228","12,043","6,414","5,577"
2021년08월_남_80~89세,"15,309","3,160","3,653","4,295","2,239","1,962"
2021년08월_남_90~99세,"1,378",284,309,392,245,148
2021년08월_남_100세 이상,38,11,10,11,4,2
2021년08월_여_총인구수,"728,723","110,668","117,834","241,226","173,137","85,858"
2021년08월_여_연령구간인구수,"728,723","110,668","117,834","241,226","173,137","85,858"
2021년08월_여_0~9세,"53,206","7,007","7,023","17,570","16,318","5,288"
2021년08월_여_10~19세,"69,266","9,524","10,311","23,584","18,172","7,675"
2021년08월_여_20~29세,"99,999","14,163","14,867","35,959","24,225","10,785"
2021년08월_여_30~39세,"90,790","11,735","12,294","31,683","26,172","8,906"
2021년08월_여_40~49세,"116,707","16,131","17,661","39,638","30,402","12,875"
2021년08월_여_50~59세,"119,929","17,549","19,270","39,563","27,213","16,334"
2021년08월_여_60~69세,"96,981","17,585","18,121","30,095","18,037","13,143"
2021년08월_여_70~79세,"50,037","10,491","11,351","14,245","7,313","6,637"
2021년08월_여_80~89세,"27,012","5,593","5,894","7,512","4,402","3,611"
2021년08월_여_90~99세,"4,622",859,"1,001","1,326",857,579
2021년08월_여_100세 이상,174,31,41,51,26,25
