카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년05월_계_총인구수,"25,514","10,210",821,"1,066","1,415",886,"1,975","1,794","1,875","2,902","1,073","1,497"
2020년05월_계_연령구간인구수,"25,514","10,210",821,"1,066","1,415",886,"1,975","1,794","1,875","2,902","1,073","1,497"
2020년05월_계_0~9세,"1,355",731,15,51,67,36,86,80,61,141,50,37
2020년05월_계_10~19세,"1,674",846,25,68,83,39,91,84,91,219,59,69
2020년05월_계_20~29세,"1,991",943,37,63,73,56,154,133,145,236,69,82
2020년05월_계_30~39세,"1,750",888,37,55,63,62,111,98,105,198,79,54
2020년05월_계_40~49세,"2,819","1,379",65,85,126,82,201,184,150,324,88,135
2020년05월_계_50~59세,"4,619","1,730",177,204,264,168,358,315,343,564,216,280
2020년05월_계_60~69세,"4,703","1,548",211,207,290,199,394,375,374,583,210,312
2020년05월_계_70~79세,"3,800","1,243",161,180,245,139,319,305,352,382,163,311
2020년05월_계_80~89세,"2,416",786,78,133,167,98,226,189,221,213,120,185
2020년05월_계_90~99세,360,107,13,20,34,7,33,25,30,41,18,32
2020년05월_계_100세 이상,27,9,2,0,3,0,2,6,3,1,1,0
2020년05월_남_총인구수,"12,877","5,131",410,518,671,454,"1,021",901,919,"1,520",561,771
2020년05월_남_연령구간인구수,"12,877","5,131",410,518,671,454,"1,021",901,919,"1,520",561,771
2020년05월_남_0~9세,684,359,7,23,29,16,46,45,32,75,29,23
2020년05월_남_10~19세,880,430,15,36,38,19,54,45,50,122,32,39
2020년05월_남_20~29세,"1,130",539,22,36,47,35,86,65,67,144,44,45
2020년05월_남_30~39세,847,401,23,27,26,32,69,43,48,97,47,34
2020년05월_남_40~49세,"1,652",784,40,46,64,47,129,119,96,188,54,85
2020년05월_남_50~59세,"2,611",962,97,108,147,94,206,190,201,326,107,173
2020년05월_남_60~69세,"2,462",817,107,111,155,107,196,197,186,308,119,159
2020년05월_남_70~79세,"1,728",549,73,79,112,69,152,139,151,185,79,140
2020년05월_남_80~89세,782,255,23,47,42,33,79,51,78,64,44,66
2020년05월_남_90~99세,92,31,2,5,10,2,4,5,9,11,6,7
2020년05월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년05월_여_총인구수,"12,637","5,079",411,548,744,432,954,893,956,"1,382",512,726
2020년05월_여_연령구간인구수,"12,637","5,079",411,548,744,432,954,893,956,"1,382",512,726
2020년05월_여_0~9세,671,372,8,28,38,20,40,35,29,66,21,14
2020년05월_여_10~19세,794,416,10,32,45,20,37,39,41,97,27,30
2020년05월_여_20~29세,861,404,15,27,26,21,68,68,78,92,25,37
2020년05월_여_30~39세,903,487,14,28,37,30,42,55,57,101,32,20
2020년05월_여_40~49세,"1,167",595,25,39,62,35,72,65,54,136,34,50
2020년05월_여_50~59세,"2,008",768,80,96,117,74,152,125,142,238,109,107
2020년05월_여_60~69세,"2,241",731,104,96,135,92,198,178,188,275,91,153
2020년05월_여_70~79세,"2,072",694,88,101,133,70,167,166,201,197,84,171
2020년05월_여_80~89세,"1,634",531,55,86,125,65,147,138,143,149,76,119
2020년05월_여_90~99세,268,76,11,15,24,5,29,20,21,30,12,25
2020년05월_여_100세 이상,18,5,1,0,2,0,2,4,2,1,1,0
