카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년09월_계_총인구수,"30,797","9,900","2,166","2,253","3,562","1,526","1,931","2,365","2,751","2,221","2,122"
2020년09월_계_연령구간인구수,"30,797","9,900","2,166","2,253","3,562","1,526","1,931","2,365","2,751","2,221","2,122"
2020년09월_계_0~9세,"1,294",663,53,79,144,35,53,80,85,55,47
2020년09월_계_10~19세,"2,013",931,96,84,273,81,112,117,99,113,107
2020년09월_계_20~29세,"2,596","1,223",154,153,317,91,117,128,176,127,110
2020년09월_계_30~39세,"2,088",917,106,117,266,75,101,118,139,124,125
2020년09월_계_40~49세,"3,157","1,258",179,218,411,128,177,211,232,171,172
2020년09월_계_50~59세,"5,304","1,680",367,418,611,315,310,385,473,361,384
2020년09월_계_60~69세,"6,039","1,524",459,519,660,314,428,523,592,518,502
2020년09월_계_70~79세,"4,541",975,387,345,500,252,358,463,500,403,358
2020년09월_계_80~89세,"3,307",620,327,288,335,207,240,302,409,303,276
2020년09월_계_90~99세,440,103,38,31,43,28,33,35,46,45,38
2020년09월_계_100세 이상,18,6,0,1,2,0,2,3,0,1,3
2020년09월_남_총인구수,"15,587","4,958","1,080","1,183","1,848",795,993,"1,189","1,373","1,119","1,049"
2020년09월_남_연령구간인구수,"15,587","4,958","1,080","1,183","1,848",795,993,"1,189","1,373","1,119","1,049"
2020년09월_남_0~9세,659,336,27,36,77,22,26,41,44,26,24
2020년09월_남_10~19세,"1,059",461,56,52,148,45,62,57,57,59,62
2020년09월_남_20~29세,"1,495",701,85,93,195,50,72,62,100,73,64
2020년09월_남_30~39세,"1,200",477,67,74,159,46,62,76,86,77,76
2020년09월_남_40~49세,"1,839",659,101,139,227,81,118,147,145,112,110
2020년09월_남_50~59세,"2,888",884,201,238,335,176,179,214,267,189,205
2020년09월_남_60~69세,"3,099",742,246,279,345,177,223,265,302,262,258
2020년09월_남_70~79세,"2,042",451,176,157,222,114,163,198,220,192,149
2020년09월_남_80~89세,"1,181",219,110,105,121,76,78,120,144,114,94
2020년09월_남_90~99세,121,25,11,10,19,8,9,9,8,15,7
2020년09월_남_100세 이상,4,3,0,0,0,0,1,0,0,0,0
2020년09월_여_총인구수,"15,210","4,942","1,086","1,070","1,714",731,938,"1,176","1,378","1,102","1,073"
2020년09월_여_연령구간인구수,"15,210","4,942","1,086","1,070","1,714",731,938,"1,176","1,378","1,102","1,073"
2020년09월_여_0~9세,635,327,26,43,67,13,27,39,41,29,23
2020년09월_여_10~19세,954,470,40,32,125,36,50,60,42,54,45
2020년09월_여_20~29세,"1,101",522,69,60,122,41,45,66,76,54,46
2020년09월_여_30~39세,888,440,39,43,107,29,39,42,53,47,49
2020년09월_여_40~49세,"1,318",599,78,79,184,47,59,64,87,59,62
2020년09월_여_50~59세,"2,416",796,166,180,276,139,131,171,206,172,179
2020년09월_여_60~69세,"2,940",782,213,240,315,137,205,258,290,256,244
2020년09월_여_70~79세,"2,499",524,211,188,278,138,195,265,280,211,209
2020년09월_여_80~89세,"2,126",401,217,183,214,131,162,182,265,189,182
2020년09월_여_90~99세,319,78,27,21,24,20,24,26,38,30,31
2020년09월_여_100세 이상,14,3,0,1,2,0,1,3,0,1,3
