카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년03월_계_총인구수,"91,127","14,296","25,833","7,102","4,386","14,272","6,132","5,791","4,701","1,890","1,932","2,733","1,079",980
2021년03월_계_연령구간인구수,"91,127","14,296","25,833","7,102","4,386","14,272","6,132","5,791","4,701","1,890","1,932","2,733","1,079",980
2021년03월_계_0~9세,"6,710",700,"2,820",372,274,"1,641",232,189,239,61,52,77,33,20
2021년03월_계_10~19세,"8,202","1,174","3,348",490,381,"1,343",346,378,280,102,60,214,41,45
2021년03월_계_20~29세,"8,842","1,765","2,639",698,388,"1,350",526,543,375,131,93,212,78,44
2021년03월_계_30~39세,"9,169","1,196","3,298",573,331,"2,227",423,363,340,99,83,135,56,45
2021년03월_계_40~49세,"13,475","2,074","4,740",923,637,"2,514",600,577,549,195,186,310,88,82
2021년03월_계_50~59세,"15,073","2,431","3,623","1,304",799,"2,134","1,200","1,181",842,324,368,448,247,172
2021년03월_계_60~69세,"14,169","2,347","2,662","1,320",761,"1,587","1,362","1,271",890,403,476,555,290,245
2021년03월_계_70~79세,"9,293","1,525","1,674",872,514,942,867,763,694,322,367,431,138,184
2021년03월_계_80~89세,"5,342",945,876,479,253,460,507,458,415,207,219,296,95,132
2021년03월_계_90~99세,819,136,148,67,45,71,65,64,76,45,27,52,13,10
2021년03월_계_100세 이상,33,3,5,4,3,3,4,4,1,1,1,3,0,1
2021년03월_남_총인구수,"46,833","7,353","13,446","3,678","2,256","7,193","3,183","2,910","2,400",959,969,"1,435",551,500
2021년03월_남_연령구간인구수,"46,833","7,353","13,446","3,678","2,256","7,193","3,183","2,910","2,400",959,969,"1,435",551,500
2021년03월_남_0~9세,"3,348",336,"1,444",175,141,813,111,87,119,32,24,39,20,7
2021년03월_남_10~19세,"4,284",590,"1,752",268,196,673,195,191,167,55,38,119,17,23
2021년03월_남_20~29세,"4,928",970,"1,512",412,225,691,298,289,220,69,49,117,44,32
2021년03월_남_30~39세,"4,744",694,"1,640",296,172,"1,105",244,180,183,50,55,73,26,26
2021년03월_남_40~49세,"7,445","1,143","2,591",517,331,"1,355",361,309,324,111,110,184,56,53
2021년03월_남_50~59세,"8,417","1,404","2,033",750,457,"1,136",647,635,460,188,204,280,129,94
2021년03월_남_60~69세,"7,364","1,177","1,371",683,389,806,715,695,465,217,249,304,164,129
2021년03월_남_70~79세,"4,313",689,780,392,245,437,425,364,308,157,159,208,67,82
2021년03월_남_80~89세,"1,807",318,290,164,94,155,178,149,134,72,75,101,25,52
2021년03월_남_90~99세,177,30,31,21,6,22,8,11,19,8,6,10,3,2
2021년03월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년03월_여_총인구수,"44,294","6,943","12,387","3,424","2,130","7,079","2,949","2,881","2,301",931,963,"1,298",528,480
2021년03월_여_연령구간인구수,"44,294","6,943","12,387","3,424","2,130","7,079","2,949","2,881","2,301",931,963,"1,298",528,480
2021년03월_여_0~9세,"3,362",364,"1,376",197,133,828,121,102,120,29,28,38,13,13
2021년03월_여_10~19세,"3,918",584,"1,596",222,185,670,151,187,113,47,22,95,24,22
2021년03월_여_20~29세,"3,914",795,"1,127",286,163,659,228,254,155,62,44,95,34,12
2021년03월_여_30~39세,"4,425",502,"1,658",277,159,"1,122",179,183,157,49,28,62,30,19
2021년03월_여_40~49세,"6,030",931,"2,149",406,306,"1,159",239,268,225,84,76,126,32,29
2021년03월_여_50~59세,"6,656","1,027","1,590",554,342,998,553,546,382,136,164,168,118,78
2021년03월_여_60~69세,"6,805","1,170","1,291",637,372,781,647,576,425,186,227,251,126,116
2021년03월_여_70~79세,"4,980",836,894,480,269,505,442,399,386,165,208,223,71,102
2021년03월_여_80~89세,"3,535",627,586,315,159,305,329,309,281,135,144,195,70,80
2021년03월_여_90~99세,642,106,117,46,39,49,57,53,57,37,21,42,10,8
2021년03월_여_100세 이상,27,1,3,4,3,3,3,4,0,1,1,3,0,1
