,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년07월_계_총인구수,"31,057","9,822","3,107","2,083","2,022","4,342","2,192","1,528","2,239","1,711","2,011"
2021년07월_계_연령구간인구수,"31,057","9,822","3,107","2,083","2,022","4,342","2,192","1,528","2,239","1,711","2,011"
2021년07월_계_0~9세,"1,278",573,90,53,65,167,52,28,55,24,171
2021년07월_계_10~19세,"1,847",915,128,85,84,220,84,66,101,35,129
2021년07월_계_20~29세,"1,895",833,127,120,100,240,91,63,104,86,131
2021년07월_계_30~39세,"1,826",741,145,107,95,225,98,57,90,56,212
2021년07월_계_40~49세,"3,094","1,239",230,176,134,383,172,122,205,123,310
2021년07월_계_50~59세,"5,571","1,710",569,342,359,827,422,334,414,269,325
2021년07월_계_60~69세,"7,061","1,740",838,534,495,"1,017",616,415,571,453,382
2021년07월_계_70~79세,"4,660","1,145",547,354,338,687,365,240,402,374,208
2021년07월_계_80~89세,"3,301",791,368,271,310,490,254,181,256,257,123
2021년07월_계_90~99세,499,131,61,39,39,84,34,21,37,33,20
2021년07월_계_100세 이상,25,4,4,2,3,2,4,1,4,1,0
2021년07월_남_총인구수,"15,662","4,839","1,562","1,007","1,031","2,164","1,107",770,"1,177",878,"1,127"
2021년07월_남_연령구간인구수,"15,662","4,839","1,562","1,007","1,031","2,164","1,107",770,"1,177",878,"1,127"
2021년07월_남_0~9세,656,293,44,29,36,93,27,12,31,7,84
2021년07월_남_10~19세,969,451,77,42,43,117,47,44,58,24,66
2021년07월_남_20~29세,"1,137",476,83,72,65,137,57,36,73,55,83
2021년07월_남_30~39세,995,370,80,63,51,123,49,32,51,38,138
2021년07월_남_40~49세,"1,806",656,136,110,84,223,107,65,130,84,211
2021년07월_남_50~59세,"3,024",909,288,179,209,438,229,179,237,151,205
2021년07월_남_60~69세,"3,687",874,450,265,274,521,338,223,307,229,206
2021년07월_남_70~79세,"2,106",504,250,158,144,309,165,110,191,183,92
2021년07월_남_80~89세,"1,159",285,135,81,114,180,78,62,93,97,34
2021년07월_남_90~99세,122,21,19,7,11,23,10,7,6,10,8
2021년07월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0
2021년07월_여_총인구수,"15,395","4,983","1,545","1,076",991,"2,178","1,085",758,"1,062",833,884
2021년07월_여_연령구간인구수,"15,395","4,983","1,545","1,076",991,"2,178","1,085",758,"1,062",833,884
2021년07월_여_0~9세,622,280,46,24,29,74,25,16,24,17,87
2021년07월_여_10~19세,878,464,51,43,41,103,37,22,43,11,63
2021년07월_여_20~29세,758,357,44,48,35,103,34,27,31,31,48
2021년07월_여_30~39세,831,371,65,44,44,102,49,25,39,18,74
2021년07월_여_40~49세,"1,288",583,94,66,50,160,65,57,75,39,99
2021년07월_여_50~59세,"2,547",801,281,163,150,389,193,155,177,118,120
2021년07월_여_60~69세,"3,374",866,388,269,221,496,278,192,264,224,176
2021년07월_여_70~79세,"2,554",641,297,196,194,378,200,130,211,191,116
2021년07월_여_80~89세,"2,142",506,233,190,196,310,176,119,163,160,89
2021년07월_여_90~99세,377,110,42,32,28,61,24,14,31,23,12
2021년07월_여_100세 이상,24,4,4,1,3,2,4,1,4,1,0
