카테고리,경상남도 합천군,경상남도 합천군 합천읍,경상남도 합천군 봉산면,경상남도 합천군 묘산면,경상남도 합천군 가야면,경상남도 합천군 야로면,경상남도 합천군 율곡면,경상남도 합천군 초계면,경상남도 합천군 쌍책면,경상남도 합천군 덕곡면,경상남도 합천군 청덕면,경상남도 합천군 적중면,경상남도 합천군 대양면,경상남도 합천군 쌍백면,경상남도 합천군 삼가면,경상남도 합천군 가회면,경상남도 합천군 대병면,경상남도 합천군 용주면
2020년01월_계_총인구수,"45,054","11,610","1,475","1,620","4,413","2,525","2,293","2,536","1,308",883,"1,680","1,500","1,839","1,789","3,373","1,831","2,137","2,242"
2020년01월_계_연령구간인구수,"45,054","11,610","1,475","1,620","4,413","2,525","2,293","2,536","1,308",883,"1,680","1,500","1,839","1,789","3,373","1,831","2,137","2,242"
2020년01월_계_0~9세,"1,693",870,27,21,123,73,46,69,28,15,33,34,134,40,75,30,43,32
2020년01월_계_10~19세,"2,638","1,205",50,63,221,136,75,143,29,23,50,68,81,49,133,80,142,90
2020년01월_계_20~29세,"3,285","1,287",71,78,318,163,148,205,60,42,79,87,114,75,232,91,134,101
2020년01월_계_30~39세,"2,821","1,108",68,74,241,161,101,152,62,44,88,66,173,69,157,71,90,96
2020년01월_계_40~49세,"4,541","1,715",112,109,434,226,202,241,86,61,133,108,184,118,298,136,186,192
2020년01월_계_50~59세,"8,116","2,055",284,296,903,456,403,431,232,154,289,261,291,294,604,362,402,399
2020년01월_계_60~69세,"8,643","1,545",333,334,909,552,505,532,344,198,379,299,316,384,690,384,457,482
2020년01월_계_70~79세,"7,403","1,087",277,341,755,395,455,442,247,172,340,313,292,406,654,401,358,468
2020년01월_계_80~89세,"5,240",651,228,273,459,317,313,277,196,162,257,240,232,322,457,238,279,339
2020년01월_계_90~99세,640,78,25,30,47,46,43,43,24,12,31,21,21,32,66,37,41,43
2020년01월_계_100세 이상,34,9,0,1,3,0,2,1,0,0,1,3,1,0,7,1,5,0
2020년01월_남_총인구수,"21,590","5,642",700,773,"2,158","1,187","1,152","1,222",615,428,793,689,892,834,"1,547",857,"1,022","1,079"
2020년01월_남_연령구간인구수,"21,590","5,642",700,773,"2,158","1,187","1,152","1,222",615,428,793,689,892,834,"1,547",857,"1,022","1,079"
2020년01월_남_0~9세,868,456,11,11,52,32,26,35,16,9,21,15,65,24,34,16,26,19
2020년01월_남_10~19세,"1,377",617,29,35,123,75,37,77,10,12,22,33,48,28,70,33,82,46
2020년01월_남_20~29세,"1,850",683,30,41,182,89,100,118,37,25,48,49,63,47,135,52,86,65
2020년01월_남_30~39세,"1,558",550,41,47,138,96,68,98,39,27,51,40,92,43,88,36,46,58
2020년01월_남_40~49세,"2,584",891,62,60,252,129,121,146,54,40,80,71,112,84,175,87,92,128
2020년01월_남_50~59세,"4,405","1,036",159,171,516,229,252,218,123,98,160,132,176,163,331,202,211,228
2020년01월_남_60~69세,"4,338",734,185,177,448,281,257,245,175,91,210,151,164,206,329,204,239,242
2020년01월_남_70~79세,"2,949",452,114,135,307,151,183,186,110,71,119,119,108,148,249,161,147,189
2020년01월_남_80~89세,"1,529",209,64,89,135,97,103,89,43,55,78,76,62,82,117,54,78,98
2020년01월_남_90~99세,128,12,5,7,5,8,5,10,8,0,4,2,2,9,18,12,15,6
2020년01월_남_100세 이상,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2020년01월_여_총인구수,"23,464","5,968",775,847,"2,255","1,338","1,141","1,314",693,455,887,811,947,955,"1,826",974,"1,115","1,163"
2020년01월_여_연령구간인구수,"23,464","5,968",775,847,"2,255","1,338","1,141","1,314",693,455,887,811,947,955,"1,826",974,"1,115","1,163"
2020년01월_여_0~9세,825,414,16,10,71,41,20,34,12,6,12,19,69,16,41,14,17,13
2020년01월_여_10~19세,"1,261",588,21,28,98,61,38,66,19,11,28,35,33,21,63,47,60,44
2020년01월_여_20~29세,"1,435",604,41,37,136,74,48,87,23,17,31,38,51,28,97,39,48,36
2020년01월_여_30~39세,"1,263",558,27,27,103,65,33,54,23,17,37,26,81,26,69,35,44,38
2020년01월_여_40~49세,"1,957",824,50,49,182,97,81,95,32,21,53,37,72,34,123,49,94,64
2020년01월_여_50~59세,"3,711","1,019",125,125,387,227,151,213,109,56,129,129,115,131,273,160,191,171
2020년01월_여_60~69세,"4,305",811,148,157,461,271,248,287,169,107,169,148,152,178,361,180,218,240
2020년01월_여_70~79세,"4,454",635,163,206,448,244,272,256,137,101,221,194,184,258,405,240,211,279
2020년01월_여_80~89세,"3,711",442,164,184,324,220,210,188,153,107,179,164,170,240,340,184,201,241
2020년01월_여_90~99세,512,66,20,23,42,38,38,33,16,12,27,19,19,23,48,25,26,37
2020년01월_여_100세 이상,30,7,0,1,3,0,2,1,0,0,1,2,1,0,6,1,5,0
