,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년10월_계_총인구수,"26,717","7,314","1,254","1,594","1,410","1,636","3,587","1,320","1,502","3,238","1,503","1,165","1,194"
2021년10월_계_연령구간인구수,"26,717","7,314","1,254","1,594","1,410","1,636","3,587","1,320","1,502","3,238","1,503","1,165","1,194"
2021년10월_계_0~9세,"1,294",654,29,52,46,47,104,39,39,160,38,32,54
2021년10월_계_10~19세,"1,585",731,49,50,61,73,203,51,54,157,61,46,49
2021년10월_계_20~29세,"1,877",659,64,99,84,91,252,81,68,228,125,67,59
2021년10월_계_30~39세,"1,800",758,51,82,88,75,215,65,61,215,63,61,66
2021년10월_계_40~49세,"2,683","1,050",111,135,104,136,330,111,108,282,145,77,94
2021년10월_계_50~59세,"4,527","1,072",204,326,225,277,593,225,243,618,309,224,211
2021년10월_계_60~69세,"5,178","1,037",248,404,318,347,770,293,317,661,292,255,236
2021년10월_계_70~79세,"4,220",763,259,250,275,311,589,239,305,523,260,232,214
2021년10월_계_80~89세,"3,070",508,205,168,183,246,459,186,256,348,181,152,178
2021년10월_계_90~99세,468,81,33,28,24,33,72,29,51,43,27,14,33
2021년10월_계_100세 이상,15,1,1,0,2,0,0,1,0,3,2,5,0
2021년10월_남_총인구수,"13,672","3,720",630,834,719,849,"1,819",690,764,"1,654",794,591,608
2021년10월_남_연령구간인구수,"13,672","3,720",630,834,719,849,"1,819",690,764,"1,654",794,591,608
2021년10월_남_0~9세,671,345,10,25,18,24,63,21,21,83,19,10,32
2021년10월_남_10~19세,845,382,24,31,41,44,119,20,26,74,38,20,26
2021년10월_남_20~29세,"1,117",383,42,55,52,59,148,53,41,132,78,35,39
2021년10월_남_30~39세,992,402,29,44,53,47,125,35,34,115,40,35,33
2021년10월_남_40~49세,"1,614",572,79,80,65,88,191,70,73,174,107,52,63
2021년10월_남_50~59세,"2,577",588,122,186,124,150,341,142,145,359,176,134,110
2021년10월_남_60~69세,"2,835",540,140,223,175,204,401,177,172,345,166,149,143
2021년10월_남_70~79세,"1,880",332,111,124,125,136,258,98,149,246,110,97,94
2021년10월_남_80~89세,"1,031",164,65,56,60,90,153,67,95,110,56,57,58
2021년10월_남_90~99세,107,12,7,10,6,7,20,6,8,16,4,1,10
2021년10월_남_100세 이상,3,0,1,0,0,0,0,1,0,0,0,1,0
2021년10월_여_총인구수,"13,045","3,594",624,760,691,787,"1,768",630,738,"1,584",709,574,586
2021년10월_여_연령구간인구수,"13,045","3,594",624,760,691,787,"1,768",630,738,"1,584",709,574,586
2021년10월_여_0~9세,623,309,19,27,28,23,41,18,18,77,19,22,22
2021년10월_여_10~19세,740,349,25,19,20,29,84,31,28,83,23,26,23
2021년10월_여_20~29세,760,276,22,44,32,32,104,28,27,96,47,32,20
2021년10월_여_30~39세,808,356,22,38,35,28,90,30,27,100,23,26,33
2021년10월_여_40~49세,"1,069",478,32,55,39,48,139,41,35,108,38,25,31
2021년10월_여_50~59세,"1,950",484,82,140,101,127,252,83,98,259,133,90,101
2021년10월_여_60~69세,"2,343",497,108,181,143,143,369,116,145,316,126,106,93
2021년10월_여_70~79세,"2,340",431,148,126,150,175,331,141,156,277,150,135,120
2021년10월_여_80~89세,"2,039",344,140,112,123,156,306,119,161,238,125,95,120
2021년10월_여_90~99세,361,69,26,18,18,26,52,23,43,27,23,13,23
2021년10월_여_100세 이상,12,1,0,0,2,0,0,0,0,3,2,4,0
