카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년10월_계_총인구수,"24,941","9,958",829,"1,081","1,353",854,"1,931","1,752","1,820","2,816","1,051","1,496"
2021년10월_계_연령구간인구수,"24,941","9,958",829,"1,081","1,353",854,"1,931","1,752","1,820","2,816","1,051","1,496"
2021년10월_계_0~9세,"1,152",633,16,39,39,32,81,65,54,114,48,31
2021년10월_계_10~19세,"1,632",840,24,80,85,38,81,75,81,209,59,60
2021년10월_계_20~29세,"1,798",889,29,65,64,39,136,121,132,177,62,84
2021년10월_계_30~39세,"1,520",774,22,44,53,56,100,92,83,179,76,41
2021년10월_계_40~49세,"2,553","1,274",65,86,104,66,181,159,136,275,93,114
2021년10월_계_50~59세,"4,378","1,654",168,188,246,159,344,288,330,551,178,272
2021년10월_계_60~69세,"5,171","1,710",243,242,318,216,428,407,367,637,248,355
2021년10월_계_70~79세,"3,766","1,234",158,180,238,135,315,311,360,396,138,301
2021년10월_계_80~89세,"2,565",830,90,133,176,105,220,204,236,234,132,205
2021년10월_계_90~99세,390,111,13,24,30,8,43,29,40,43,16,33
2021년10월_계_100세 이상,16,9,1,0,0,0,2,1,1,1,1,0
2021년10월_남_총인구수,"12,622","5,027",411,520,640,437,"1,007",885,919,"1,461",559,756
2021년10월_남_연령구간인구수,"12,622","5,027",411,520,640,437,"1,007",885,919,"1,461",559,756
2021년10월_남_0~9세,563,306,6,17,14,14,44,29,33,58,26,16
2021년10월_남_10~19세,869,435,12,39,48,16,46,41,43,115,40,34
2021년10월_남_20~29세,"1,025",498,16,40,34,24,82,66,69,105,43,48
2021년10월_남_30~39세,743,366,13,19,18,29,61,40,41,92,42,22
2021년10월_남_40~49세,"1,488",727,41,43,57,41,109,102,85,156,54,73
2021년10월_남_50~59세,"2,475",924,93,100,137,89,198,170,198,317,97,152
2021년10월_남_60~69세,"2,770",898,123,130,170,120,231,228,190,346,134,200
2021년10월_남_70~79세,"1,744",563,74,80,110,67,149,148,165,190,69,129
2021년10월_남_80~89세,857,281,31,46,46,35,79,56,84,74,51,74
2021년10월_남_90~99세,84,25,2,6,6,2,8,5,11,8,3,8
2021년10월_남_100세 이상,4,4,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"12,319","4,931",418,561,713,417,924,867,901,"1,355",492,740
2021년10월_여_연령구간인구수,"12,319","4,931",418,561,713,417,924,867,901,"1,355",492,740
2021년10월_여_0~9세,589,327,10,22,25,18,37,36,21,56,22,15
2021년10월_여_10~19세,763,405,12,41,37,22,35,34,38,94,19,26
2021년10월_여_20~29세,773,391,13,25,30,15,54,55,63,72,19,36
2021년10월_여_30~39세,777,408,9,25,35,27,39,52,42,87,34,19
2021년10월_여_40~49세,"1,065",547,24,43,47,25,72,57,51,119,39,41
2021년10월_여_50~59세,"1,903",730,75,88,109,70,146,118,132,234,81,120
2021년10월_여_60~69세,"2,401",812,120,112,148,96,197,179,177,291,114,155
2021년10월_여_70~79세,"2,022",671,84,100,128,68,166,163,195,206,69,172
2021년10월_여_80~89세,"1,708",549,59,87,130,70,141,148,152,160,81,131
2021년10월_여_90~99세,306,86,11,18,24,6,35,24,29,35,13,25
2021년10월_여_100세 이상,12,5,1,0,0,0,2,1,1,1,1,0
