,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년12월_계_총인구수,"102,015","11,088","4,161","3,919","3,296","2,213","3,138","1,230","4,242","5,874","4,448","3,096","29,438","9,844","4,831","6,963","4,234"
2020년12월_계_연령구간인구수,"102,015","11,088","4,161","3,919","3,296","2,213","3,138","1,230","4,242","5,874","4,448","3,096","29,438","9,844","4,831","6,963","4,234"
2020년12월_계_0~9세,"5,699",409,109,105,64,65,66,19,115,257,73,86,"2,596",745,168,569,253
2020년12월_계_10~19세,"6,692",487,137,186,92,82,93,37,155,224,129,91,"2,978",960,274,565,202
2020년12월_계_20~29세,"10,151",990,307,251,198,110,181,76,263,893,269,204,"3,535","1,264",494,711,405
2020년12월_계_30~39세,"9,440",793,292,219,183,99,163,47,232,476,244,202,"3,684","1,122",399,840,445
2020년12월_계_40~49세,"12,658","1,283",366,342,283,172,245,69,382,498,409,260,"4,759","1,486",539,"1,056",509
2020년12월_계_50~59세,"18,310","2,308",764,680,596,403,598,275,711,868,782,563,"5,230","1,703",908,"1,123",798
2020년12월_계_60~69세,"18,724","2,307","1,026",952,791,566,822,301,985,"1,141","1,105",849,"3,795","1,301",981,"1,035",767
2020년12월_계_70~79세,"12,538","1,597",716,711,640,382,590,225,853,920,846,507,"1,814",828,689,704,516
2020년12월_계_80~89세,"6,966",827,389,424,401,296,336,159,484,538,525,298,946,383,341,326,293
2020년12월_계_90~99세,794,83,52,47,48,37,38,21,62,56,63,35,96,47,37,27,45
2020년12월_계_100세 이상,43,4,3,2,0,1,6,1,0,3,3,1,5,5,1,7,1
2020년12월_남_총인구수,"51,812","5,815","2,165","1,921","1,722","1,094","1,600",613,"2,152","3,221","2,291","1,640","14,528","4,905","2,393","3,469","2,283"
2020년12월_남_연령구간인구수,"51,812","5,815","2,165","1,921","1,722","1,094","1,600",613,"2,152","3,221","2,291","1,640","14,528","4,905","2,393","3,469","2,283"
2020년12월_남_0~9세,"2,888",213,56,58,36,40,31,12,57,135,31,46,"1,302",382,83,273,133
2020년12월_남_10~19세,"3,593",284,77,90,54,43,55,19,85,119,70,42,"1,608",484,140,319,104
2020년12월_남_20~29세,"5,995",574,185,163,144,66,109,41,155,704,162,119,"1,979",692,266,386,250
2020년12월_남_30~39세,"5,167",448,186,127,103,56,102,28,132,277,148,126,"1,922",585,228,429,270
2020년12월_남_40~49세,"6,950",756,239,190,174,100,151,43,235,311,248,178,"2,364",781,310,555,315
2020년12월_남_50~59세,"9,795","1,343",411,378,360,219,336,141,399,461,447,346,"2,570",835,494,575,480
2020년12월_남_60~69세,"9,352","1,163",524,466,428,295,422,170,491,604,587,439,"1,760",660,463,492,388
2020년12월_남_70~79세,"5,597",732,347,305,290,173,272,96,390,420,410,233,750,346,296,299,238
2020년12월_남_80~89세,"2,269",279,127,136,119,97,111,57,185,175,176,102,251,132,103,124,95
2020년12월_남_90~99세,192,22,12,7,14,5,10,6,23,14,11,8,21,7,10,12,10
2020년12월_남_100세 이상,14,1,1,1,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년12월_여_총인구수,"50,203","5,273","1,996","1,998","1,574","1,119","1,538",617,"2,090","2,653","2,157","1,456","14,910","4,939","2,438","3,494","1,951"
2020년12월_여_연령구간인구수,"50,203","5,273","1,996","1,998","1,574","1,119","1,538",617,"2,090","2,653","2,157","1,456","14,910","4,939","2,438","3,494","1,951"
2020년12월_여_0~9세,"2,811",196,53,47,28,25,35,7,58,122,42,40,"1,294",363,85,296,120
2020년12월_여_10~19세,"3,099",203,60,96,38,39,38,18,70,105,59,49,"1,370",476,134,246,98
2020년12월_여_20~29세,"4,156",416,122,88,54,44,72,35,108,189,107,85,"1,556",572,228,325,155
2020년12월_여_30~39세,"4,273",345,106,92,80,43,61,19,100,199,96,76,"1,762",537,171,411,175
2020년12월_여_40~49세,"5,708",527,127,152,109,72,94,26,147,187,161,82,"2,395",705,229,501,194
2020년12월_여_50~59세,"8,515",965,353,302,236,184,262,134,312,407,335,217,"2,660",868,414,548,318
2020년12월_여_60~69세,"9,372","1,144",502,486,363,271,400,131,494,537,518,410,"2,035",641,518,543,379
2020년12월_여_70~79세,"6,941",865,369,406,350,209,318,129,463,500,436,274,"1,064",482,393,405,278
2020년12월_여_80~89세,"4,697",548,262,288,282,199,225,102,299,363,349,196,695,251,238,202,198
2020년12월_여_90~99세,602,61,40,40,34,32,28,15,39,42,52,27,75,40,27,15,35
2020년12월_여_100세 이상,29,3,2,1,0,1,5,1,0,2,2,0,4,4,1,2,1
