카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년02월_계_총인구수,"43,614","8,013","19,066","3,322","3,974","2,669","1,774","1,038","2,835",200,723
2020년02월_계_연령구간인구수,"43,614","8,013","19,066","3,322","3,974","2,669","1,774","1,038","2,835",200,723
2020년02월_계_0~9세,"2,887",745,"1,630",112,137,90,49,23,64,9,28
2020년02월_계_10~19세,"3,259",476,"1,930",195,200,158,72,54,128,11,35
2020년02월_계_20~29세,"5,409","1,256","2,430",328,453,243,157,86,353,46,57
2020년02월_계_30~39세,"4,266","1,034","2,151",220,294,188,106,58,163,10,42
2020년02월_계_40~49세,"5,080",849,"2,667",299,428,256,149,92,254,19,67
2020년02월_계_50~59세,"7,358","1,123","3,181",629,746,536,358,160,446,31,148
2020년02월_계_60~69세,"7,149","1,058","2,562",689,816,520,446,235,645,35,143
2020년02월_계_70~79세,"5,076",891,"1,525",503,572,446,270,226,499,24,120
2020년02월_계_80~89세,"2,686",501,816,312,273,212,147,92,247,13,73
2020년02월_계_90~99세,400,75,154,30,48,18,18,11,34,2,10
2020년02월_계_100세 이상,44,5,20,5,7,2,2,1,2,0,0
2020년02월_남_총인구수,"22,882","4,331","9,731","1,761","2,109","1,433",946,550,"1,544",116,361
2020년02월_남_연령구간인구수,"22,882","4,331","9,731","1,761","2,109","1,433",946,550,"1,544",116,361
2020년02월_남_0~9세,"1,480",386,840,53,67,43,27,15,31,4,14
2020년02월_남_10~19세,"1,750",263,"1,012",106,120,92,41,31,61,4,20
2020년02월_남_20~29세,"3,446",855,"1,367",231,316,155,102,56,290,39,35
2020년02월_남_30~39세,"2,402",599,"1,158",123,179,118,60,33,102,7,23
2020년02월_남_40~49세,"2,784",478,"1,372",184,252,144,89,57,159,8,41
2020년02월_남_50~59세,"3,947",629,"1,663",342,394,294,186,95,256,18,70
2020년02월_남_60~69세,"3,686",535,"1,302",373,421,280,257,115,310,20,73
2020년02월_남_70~79세,"2,276",376,696,224,243,211,119,106,233,11,57
2020년02월_남_80~89세,990,189,272,116,101,89,58,39,93,5,28
2020년02월_남_90~99세,106,21,41,7,15,6,6,2,8,0,0
2020년02월_남_100세 이상,15,0,8,2,1,1,1,1,1,0,0
2020년02월_여_총인구수,"20,732","3,682","9,335","1,561","1,865","1,236",828,488,"1,291",84,362
2020년02월_여_연령구간인구수,"20,732","3,682","9,335","1,561","1,865","1,236",828,488,"1,291",84,362
2020년02월_여_0~9세,"1,407",359,790,59,70,47,22,8,33,5,14
2020년02월_여_10~19세,"1,509",213,918,89,80,66,31,23,67,7,15
2020년02월_여_20~29세,"1,963",401,"1,063",97,137,88,55,30,63,7,22
2020년02월_여_30~39세,"1,864",435,993,97,115,70,46,25,61,3,19
2020년02월_여_40~49세,"2,296",371,"1,295",115,176,112,60,35,95,11,26
2020년02월_여_50~59세,"3,411",494,"1,518",287,352,242,172,65,190,13,78
2020년02월_여_60~69세,"3,463",523,"1,260",316,395,240,189,120,335,15,70
2020년02월_여_70~79세,"2,800",515,829,279,329,235,151,120,266,13,63
2020년02월_여_80~89세,"1,696",312,544,196,172,123,89,53,154,8,45
2020년02월_여_90~99세,294,54,113,23,33,12,12,9,26,2,10
2020년02월_여_100세 이상,29,5,12,3,6,1,1,0,1,0,0
