카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년05월_계_총인구수,"64,775","18,772","19,805","2,425","6,239","2,893","3,514","5,510","1,969","2,747",901
2020년05월_계_연령구간인구수,"64,775","18,772","19,805","2,425","6,239","2,893","3,514","5,510","1,969","2,747",901
2020년05월_계_0~9세,"4,381","1,362","2,077",66,314,65,71,324,24,63,15
2020년05월_계_10~19세,"6,008","2,007","2,644",119,305,92,136,478,71,128,28
2020년05월_계_20~29세,"5,650","2,069","1,640",167,494,184,248,453,124,222,49
2020년05월_계_30~39세,"5,995","1,969","2,210",154,567,154,153,464,92,182,50
2020년05월_계_40~49세,"9,546","2,917","3,885",221,595,288,318,830,167,260,65
2020년05월_계_50~59세,"11,391","3,404","3,131",428,"1,077",565,615,"1,054",366,569,182
2020년05월_계_60~69세,"10,624","2,649","2,361",543,"1,240",694,797,899,495,685,261
2020년05월_계_70~79세,"6,660","1,443","1,219",411,911,483,680,638,372,359,144
2020년05월_계_80~89세,"3,979",829,547,285,645,329,435,328,239,249,93
2020년05월_계_90~99세,530,118,87,31,89,39,61,42,19,30,14
2020년05월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년05월_남_총인구수,"32,826","9,469","10,024","1,196","3,222","1,468","1,734","2,844","1,014","1,394",461
2020년05월_남_연령구간인구수,"32,826","9,469","10,024","1,196","3,222","1,468","1,734","2,844","1,014","1,394",461
2020년05월_남_0~9세,"2,194",704,"1,011",29,155,32,42,172,9,30,10
2020년05월_남_10~19세,"3,213","1,102","1,396",65,171,52,68,226,41,74,18
2020년05월_남_20~29세,"3,252","1,195",907,90,302,111,141,260,78,139,29
2020년05월_남_30~39세,"3,066",998,"1,029",85,332,100,89,246,57,99,31
2020년05월_남_40~49세,"5,182","1,504","2,003",126,383,188,204,464,113,154,43
2020년05월_남_50~59세,"6,242","1,775","1,707",234,629,328,358,608,217,291,95
2020년05월_남_60~69세,"5,494","1,321","1,212",296,653,359,398,480,262,371,142
2020년05월_남_70~79세,"2,878",596,574,177,381,192,284,284,156,169,65
2020년05월_남_80~89세,"1,191",244,162,89,192,97,137,100,79,64,27
2020년05월_남_90~99세,111,30,22,5,22,9,13,4,2,3,1
2020년05월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년05월_여_총인구수,"31,949","9,303","9,781","1,229","3,017","1,425","1,780","2,666",955,"1,353",440
2020년05월_여_연령구간인구수,"31,949","9,303","9,781","1,229","3,017","1,425","1,780","2,666",955,"1,353",440
2020년05월_여_0~9세,"2,187",658,"1,066",37,159,33,29,152,15,33,5
2020년05월_여_10~19세,"2,795",905,"1,248",54,134,40,68,252,30,54,10
2020년05월_여_20~29세,"2,398",874,733,77,192,73,107,193,46,83,20
2020년05월_여_30~39세,"2,929",971,"1,181",69,235,54,64,218,35,83,19
2020년05월_여_40~49세,"4,364","1,413","1,882",95,212,100,114,366,54,106,22
2020년05월_여_50~59세,"5,149","1,629","1,424",194,448,237,257,446,149,278,87
2020년05월_여_60~69세,"5,130","1,328","1,149",247,587,335,399,419,233,314,119
2020년05월_여_70~79세,"3,782",847,645,234,530,291,396,354,216,190,79
2020년05월_여_80~89세,"2,788",585,385,196,453,232,298,228,160,185,66
2020년05월_여_90~99세,419,88,65,26,67,30,48,38,17,27,13
2020년05월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
