,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년01월_계_총인구수,"170,383","8,651","10,130","16,929","9,793","9,657","10,008","6,384","7,844","11,052","7,964","8,154","10,081","18,314","1,807","5,228","20,501","7,886"
2021년01월_계_연령구간인구수,"170,383","8,651","10,130","16,929","9,793","9,657","10,008","6,384","7,844","11,052","7,964","8,154","10,081","18,314","1,807","5,228","20,501","7,886"
2021년01월_계_0~9세,"7,497",329,320,709,304,288,386,193,224,410,298,607,362,"1,312",72,149,"1,264",270
2021년01월_계_10~19세,"10,785",496,533,"1,226",625,482,599,343,499,577,463,588,586,"1,238",106,323,"1,686",415
2021년01월_계_20~29세,"21,606","1,319","1,285","2,437","1,165","1,043","1,287",663,"1,016","1,325","1,040",925,"1,287","2,320",218,637,"2,655",984
2021년01월_계_30~39세,"17,366",957,939,"1,963",851,793,951,608,696,"1,059",742,963,982,"2,285",181,475,"2,197",724
2021년01월_계_40~49세,"22,717","1,071","1,293","2,251","1,320","1,130","1,289",773,"1,017","1,432","1,037","1,225","1,321","2,615",242,648,"2,993","1,060"
2021년01월_계_50~59세,"34,135","1,678","1,981","3,100","2,106","1,921","2,025","1,309","1,664","2,422","1,636","1,465","2,199","3,518",371,"1,153","3,983","1,604"
2021년01월_계_60~69세,"31,247","1,554","1,963","2,963","1,827","1,935","1,932","1,285","1,513","2,127","1,493","1,377","1,886","2,979",347,"1,101","3,498","1,467"
2021년01월_계_70~79세,"17,218",849,"1,239","1,570","1,109","1,380","1,052",832,829,"1,224",827,714,"1,019","1,421",196,504,"1,535",918
2021년01월_계_80~89세,"6,955",358,527,632,429,603,435,345,349,436,382,264,395,534,63,214,583,406
2021년01월_계_90~99세,754,31,43,76,49,62,41,32,30,36,40,25,41,88,5,24,93,38
2021년01월_계_100세 이상,103,9,7,2,8,20,11,1,7,4,6,1,3,4,6,0,14,0
2021년01월_남_총인구수,"85,396","4,286","4,933","8,188","4,996","4,792","4,931","3,255","3,861","5,861","4,045","3,981","5,092","9,098",952,"2,772","10,348","4,005"
2021년01월_남_연령구간인구수,"85,396","4,286","4,933","8,188","4,996","4,792","4,931","3,255","3,861","5,861","4,045","3,981","5,092","9,098",952,"2,772","10,348","4,005"
2021년01월_남_0~9세,"3,871",184,160,355,153,158,189,102,119,218,153,313,189,663,41,77,677,120
2021년01월_남_10~19세,"5,610",270,280,632,332,260,316,176,260,290,256,283,326,629,60,160,881,199
2021년01월_남_20~29세,"11,910",698,676,"1,305",666,577,697,364,562,783,596,495,686,"1,279",131,376,"1,458",561
2021년01월_남_30~39세,"9,830",535,556,"1,097",504,458,565,373,398,589,437,504,575,"1,216",101,301,"1,208",413
2021년01월_남_40~49세,"12,216",566,724,"1,114",742,644,701,427,519,857,585,631,728,"1,347",137,381,"1,514",599
2021년01월_남_50~59세,"17,211",788,989,"1,409","1,095","1,024",972,721,837,"1,368",848,711,"1,106","1,724",190,609,"1,978",842
2021년01월_남_60~69세,"14,628",711,873,"1,324",879,910,876,596,679,"1,054",696,632,904,"1,390",166,569,"1,667",702
2021년01월_남_70~79세,"7,549",401,496,708,464,550,458,361,353,546,335,312,443,658,93,223,741,407
2021년01월_남_80~89세,"2,411",123,169,224,152,200,149,125,127,151,130,95,129,180,31,70,202,154
2021년01월_남_90~99세,135,8,8,20,6,11,5,10,5,4,6,4,6,12,1,6,15,8
2021년01월_남_100세 이상,25,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,7,0
2021년01월_여_총인구수,"84,987","4,365","5,197","8,741","4,797","4,865","5,077","3,129","3,983","5,191","3,919","4,173","4,989","9,216",855,"2,456","10,153","3,881"
2021년01월_여_연령구간인구수,"84,987","4,365","5,197","8,741","4,797","4,865","5,077","3,129","3,983","5,191","3,919","4,173","4,989","9,216",855,"2,456","10,153","3,881"
2021년01월_여_0~9세,"3,626",145,160,354,151,130,197,91,105,192,145,294,173,649,31,72,587,150
2021년01월_여_10~19세,"5,175",226,253,594,293,222,283,167,239,287,207,305,260,609,46,163,805,216
2021년01월_여_20~29세,"9,696",621,609,"1,132",499,466,590,299,454,542,444,430,601,"1,041",87,261,"1,197",423
2021년01월_여_30~39세,"7,536",422,383,866,347,335,386,235,298,470,305,459,407,"1,069",80,174,989,311
2021년01월_여_40~49세,"10,501",505,569,"1,137",578,486,588,346,498,575,452,594,593,"1,268",105,267,"1,479",461
2021년01월_여_50~59세,"16,924",890,992,"1,691","1,011",897,"1,053",588,827,"1,054",788,754,"1,093","1,794",181,544,"2,005",762
2021년01월_여_60~69세,"16,619",843,"1,090","1,639",948,"1,025","1,056",689,834,"1,073",797,745,982,"1,589",181,532,"1,831",765
2021년01월_여_70~79세,"9,669",448,743,862,645,830,594,471,476,678,492,402,576,763,103,281,794,511
2021년01월_여_80~89세,"4,544",235,358,408,277,403,286,220,222,285,252,169,266,354,32,144,381,252
2021년01월_여_90~99세,619,23,35,56,43,51,36,22,25,32,34,21,35,76,4,18,78,30
2021년01월_여_100세 이상,78,7,5,2,5,20,8,1,5,3,3,0,3,4,5,0,7,0
