카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년10월_계_총인구수,"1,599,102","844,486","189,105","196,472","265,320","193,589","210,246","133,203","32,476","50,696","47,603","37,011","83,090","37,447","93,579","29,265"
2020년10월_계_연령구간인구수,"1,599,102","844,486","189,105","196,472","265,320","193,589","210,246","133,203","32,476","50,696","47,603","37,011","83,090","37,447","93,579","29,265"
2020년10월_계_0~9세,"124,477","74,790","16,071","14,182","24,237","20,300","14,725","8,863","1,474","2,651","2,397","3,327","7,718","1,282","6,052","1,198"
2020년10월_계_10~19세,"149,935","86,456","19,758","20,655","26,601","19,442","18,967","11,789","2,134","3,922","3,436","3,376","8,081","2,027","7,719","2,028"
2020년10월_계_20~29세,"198,445","119,672","24,403","28,514","40,964","25,791","24,350","14,768","2,384","4,411","4,483","4,534","9,157","2,883","9,532","2,271"
2020년10월_계_30~39세,"195,132","118,570","22,791","23,037","41,179","31,563","23,444","13,116","2,237","3,928","3,309","4,803","11,418","2,423","9,849","2,035"
2020년10월_계_40~49세,"241,576","136,834","30,195","31,119","43,248","32,272","31,009","18,517","3,376","6,298","5,411","5,631","13,400","3,862","13,895","3,343"
2020년10월_계_50~59세,"274,321","138,262","32,916","34,616","43,105","27,625","37,839","24,115","5,931","9,045","8,518","6,055","13,715","7,293","17,796","5,752"
2020년10월_계_60~69세,"220,035","95,676","23,481","24,939","27,202","20,054","31,323","22,533","6,725","9,749","9,091","4,955","10,156","8,474","15,062","6,291"
2020년10월_계_70~79세,"120,372","47,257","12,262","12,462","12,167","10,366","17,449","12,436","4,573","6,341","6,519","2,676","5,509","5,428","8,270","3,914"
2020년10월_계_80~89세,"65,045","23,379","6,182","6,039","5,763","5,395","9,786","6,166","3,120","3,742","3,870","1,467","3,456","3,295","4,633","2,131"
2020년10월_계_90~99세,"9,194","3,397",989,861,817,730,"1,282",826,495,581,531,175,461,450,715,281
2020년10월_계_100세 이상,570,193,57,48,37,51,72,74,27,28,38,12,19,30,56,21
2020년10월_남_총인구수,"810,528","425,483","94,081","97,557","134,607","99,238","106,312","66,811","16,328","25,519","23,662","19,229","43,522","19,186","49,643","14,833"
2020년10월_남_연령구간인구수,"810,528","425,483","94,081","97,557","134,607","99,238","106,312","66,811","16,328","25,519","23,662","19,229","43,522","19,186","49,643","14,833"
2020년10월_남_0~9세,"63,637","38,116","8,120","7,220","12,356","10,420","7,489","4,541",761,"1,383","1,234","1,710","3,966",649,"3,166",622
2020년10월_남_10~19세,"78,032","44,995","10,312","10,786","13,819","10,078","9,826","6,087","1,134","2,076","1,772","1,757","4,246","1,056","4,000","1,083"
2020년10월_남_20~29세,"110,372","65,266","13,252","15,468","22,193","14,353","13,982","8,211","1,401","2,492","2,517","2,631","5,277","1,711","5,567","1,317"
2020년10월_남_30~39세,"103,423","62,001","11,605","11,846","21,685","16,865","12,681","6,837","1,228","2,046","1,749","2,670","6,258","1,354","5,518","1,081"
2020년10월_남_40~49세,"125,175","69,231","14,974","15,337","21,935","16,985","15,910","9,541","1,902","3,382","2,938","3,056","7,326","2,218","7,830","1,841"
2020년10월_남_50~59세,"141,169","69,233","16,435","17,053","21,613","14,132","19,354","12,335","3,263","4,837","4,506","3,195","7,484","3,953","9,912","3,097"
2020년10월_남_60~69세,"110,091","46,873","11,630","12,032","13,373","9,838","15,675","11,194","3,438","4,976","4,623","2,474","5,194","4,448","7,968","3,228"
2020년10월_남_70~79세,"54,168","21,120","5,422","5,525","5,553","4,620","7,728","5,632","2,027","2,917","2,858","1,195","2,511","2,524","3,907","1,749"
