카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년11월_계_총인구수,"97,483","6,619","1,416","3,847","3,061",988,"2,682","3,980","1,671","1,944","2,579","1,744",758,"1,995","2,782","1,235",338,"2,748","1,150",381,"2,141","2,076",819,"12,348","9,194","7,834","8,363","3,682","9,108"
2020년11월_계_연령구간인구수,"97,483","6,619","1,416","3,847","3,061",988,"2,682","3,980","1,671","1,944","2,579","1,744",758,"1,995","2,782","1,235",338,"2,748","1,150",381,"2,141","2,076",819,"12,348","9,194","7,834","8,363","3,682","9,108"
2020년11월_계_0~9세,"5,225",275,42,106,96,30,86,87,60,56,97,56,24,64,145,33,5,85,20,5,37,61,23,942,718,572,564,181,755
2020년11월_계_10~19세,"7,656",519,61,168,150,37,108,218,69,74,155,72,40,108,146,66,12,161,47,19,94,96,35,"1,347",879,797,828,356,994
2020년11월_계_20~29세,"8,206",424,69,198,173,48,156,207,82,105,160,104,33,101,161,71,16,121,48,12,103,99,50,"1,325",989,736,851,315,"1,449"
2020년11월_계_30~39세,"7,485",467,74,210,132,34,162,194,85,104,127,80,46,105,186,72,10,145,33,8,103,73,29,"1,269","1,097",726,762,281,871
2020년11월_계_40~49세,"11,568",747,108,336,260,74,215,306,125,128,244,174,55,172,254,115,25,293,86,28,167,195,67,"1,811","1,374","1,141","1,206",503,"1,359"
2020년11월_계_50~59세,"16,759","1,108",238,639,522,201,420,639,295,394,503,331,158,377,527,260,66,488,167,71,305,315,159,"2,070","1,569","1,374","1,520",629,"1,414"
2020년11월_계_60~69세,"18,245","1,328",313,865,649,221,631,986,379,483,638,420,187,459,602,274,105,598,292,73,516,427,188,"1,853","1,418","1,200","1,293",635,"1,212"
2020년11월_계_70~79세,"12,673",974,303,685,566,154,476,759,301,336,387,278,116,348,414,185,57,463,264,74,439,428,139,"1,121",709,754,834,481,628
