카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년04월_계_총인구수,"62,397","19,603","9,479","14,111","5,502","9,743","3,959"
2020년04월_계_연령구간인구수,"62,397","19,603","9,479","14,111","5,502","9,743","3,959"
2020년04월_계_0~9세,"3,531","1,210",547,686,164,773,151
2020년04월_계_10~19세,"4,798","1,735",823,"1,024",337,660,219
2020년04월_계_20~29세,"6,182","2,236",838,"1,335",512,"1,010",251
2020년04월_계_30~39세,"5,898","1,961",808,"1,272",367,"1,196",294
2020년04월_계_40~49세,"8,018","2,684","1,132","1,995",559,"1,228",420
2020년04월_계_50~59세,"11,501","3,524","1,777","2,699","1,129","1,649",723
2020년04월_계_60~69세,"11,525","3,113","1,889","2,557","1,307","1,706",953
2020년04월_계_70~79세,"6,817","1,928","1,005","1,633",707,971,573
2020년04월_계_80~89세,"3,577","1,056",558,786,369,486,322
2020년04월_계_90~99세,504,140,98,114,47,55,50
2020년04월_계_100세 이상,46,16,4,10,4,9,3
2020년04월_남_총인구수,"32,067","9,958","4,856","7,194","2,858","5,170","2,031"
2020년04월_남_연령구간인구수,"32,067","9,958","4,856","7,194","2,858","5,170","2,031"
2020년04월_남_0~9세,"1,739",613,250,340,86,386,64
2020년04월_남_10~19세,"2,559",944,422,554,172,346,121
2020년04월_남_20~29세,"3,499","1,210",462,745,319,623,140
2020년04월_남_30~39세,"3,177","1,043",443,676,197,658,160
2020년04월_남_40~49세,"4,332","1,424",610,"1,071",314,665,248
2020년04월_남_50~59세,"6,088","1,857",939,"1,428",594,870,400
2020년04월_남_60~69세,"5,941","1,565",974,"1,281",679,955,487
2020년04월_남_70~79세,"3,209",864,510,757,350,455,273
2020년04월_남_80~89세,"1,374",393,222,308,137,192,122
2020년04월_남_90~99세,131,42,22,29,7,16,15
2020년04월_남_100세 이상,18,3,2,5,3,4,1
2020년04월_여_총인구수,"30,330","9,645","4,623","6,917","2,644","4,573","1,928"
2020년04월_여_연령구간인구수,"30,330","9,645","4,623","6,917","2,644","4,573","1,928"
2020년04월_여_0~9세,"1,792",597,297,346,78,387,87
2020년04월_여_10~19세,"2,239",791,401,470,165,314,98
2020년04월_여_20~29세,"2,683","1,026",376,590,193,387,111
2020년04월_여_30~39세,"2,721",918,365,596,170,538,134
2020년04월_여_40~49세,"3,686","1,260",522,924,245,563,172
2020년04월_여_50~59세,"5,413","1,667",838,"1,271",535,779,323
2020년04월_여_60~69세,"5,584","1,548",915,"1,276",628,751,466
2020년04월_여_70~79세,"3,608","1,064",495,876,357,516,300
2020년04월_여_80~89세,"2,203",663,336,478,232,294,200
2020년04월_여_90~99세,373,98,76,85,40,39,35
2020년04월_여_100세 이상,28,13,2,5,1,5,2
