,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년06월_계_총인구수,"30,461","10,693","3,029","3,653","3,481","3,439","3,197","2,337",277,355
2020년06월_계_연령구간인구수,"30,461","10,693","3,029","3,653","3,481","3,439","3,197","2,337",277,355
2020년06월_계_0~9세,"1,757",900,119,210,124,128,113,111,19,33
2020년06월_계_10~19세,"2,257","1,172",177,247,168,191,130,128,10,34
2020년06월_계_20~29세,"2,420","1,162",190,262,220,217,200,131,22,16
2020년06월_계_30~39세,"2,286","1,111",188,281,202,175,160,129,18,22
2020년06월_계_40~49세,"3,569","1,561",321,386,364,329,247,288,29,44
2020년06월_계_50~59세,"5,043","1,738",512,589,628,601,513,363,44,55
2020년06월_계_60~69세,"5,166","1,425",587,705,670,649,628,405,42,55
2020년06월_계_70~79세,"4,776","1,052",547,553,649,674,725,460,51,65
2020년06월_계_80~89세,"2,816",510,346,368,399,402,429,297,39,26
2020년06월_계_90~99세,353,59,41,46,56,72,50,21,3,5
2020년06월_계_100세 이상,18,3,1,6,1,1,2,4,0,0
2020년06월_남_총인구수,"14,972","5,248","1,524","1,768","1,760","1,639","1,526","1,194",140,173
2020년06월_남_연령구간인구수,"14,972","5,248","1,524","1,768","1,760","1,639","1,526","1,194",140,173
2020년06월_남_0~9세,846,424,56,108,71,59,53,47,10,18
2020년06월_남_10~19세,"1,169",613,88,122,89,100,62,70,9,16
2020년06월_남_20~29세,"1,388",662,122,135,124,117,128,79,10,11
2020년06월_남_30~39세,"1,252",571,115,157,126,99,87,74,11,12
2020년06월_남_40~49세,"2,060",795,189,236,230,202,168,192,18,30
2020년06월_남_50~59세,"2,759",867,304,313,353,330,295,230,30,37
2020년06월_남_60~69세,"2,607",696,305,349,346,328,304,236,23,20
2020년06월_남_70~79세,"2,014",459,232,230,279,289,301,182,20,22
2020년06월_남_80~89세,811,150,105,108,131,104,117,82,8,6
2020년06월_남_90~99세,66,11,8,10,11,11,11,2,1,1
2020년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"15,489","5,445","1,505","1,885","1,721","1,800","1,671","1,143",137,182
2020년06월_여_연령구간인구수,"15,489","5,445","1,505","1,885","1,721","1,800","1,671","1,143",137,182
2020년06월_여_0~9세,911,476,63,102,53,69,60,64,9,15
2020년06월_여_10~19세,"1,088",559,89,125,79,91,68,58,1,18
2020년06월_여_20~29세,"1,032",500,68,127,96,100,72,52,12,5
2020년06월_여_30~39세,"1,034",540,73,124,76,76,73,55,7,10
2020년06월_여_40~49세,"1,509",766,132,150,134,127,79,96,11,14
2020년06월_여_50~59세,"2,284",871,208,276,275,271,218,133,14,18
2020년06월_여_60~69세,"2,559",729,282,356,324,321,324,169,19,35
2020년06월_여_70~79세,"2,762",593,315,323,370,385,424,278,31,43
2020년06월_여_80~89세,"2,005",360,241,260,268,298,312,215,31,20
2020년06월_여_90~99세,287,48,33,36,45,61,39,19,2,4
2020년06월_여_100세 이상,18,3,1,6,1,1,2,4,0,0
