카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년11월_계_총인구수,"30,748","10,902","3,045","3,663","3,512","3,455","3,181","2,348",269,373
2020년11월_계_연령구간인구수,"30,748","10,902","3,045","3,663","3,512","3,455","3,181","2,348",269,373
2020년11월_계_0~9세,"1,686",902,112,188,114,118,107,103,16,26
2020년11월_계_10~19세,"2,246","1,170",174,246,163,188,123,130,10,42
2020년11월_계_20~29세,"2,543","1,217",200,273,231,226,217,140,17,22
2020년11월_계_30~39세,"2,268","1,146",178,270,197,170,153,120,15,19
2020년11월_계_40~49세,"3,650","1,611",332,393,372,328,240,296,29,49
2020년11월_계_50~59세,"5,051","1,744",521,579,627,592,507,375,45,61
2020년11월_계_60~69세,"5,280","1,466",595,722,687,664,638,408,43,57
2020년11월_계_70~79세,"4,757","1,054",544,559,655,675,705,446,51,68
2020년11월_계_80~89세,"2,885",525,344,378,409,420,439,305,41,24
2020년11월_계_90~99세,364,63,44,49,56,73,50,22,2,5
2020년11월_계_100세 이상,18,4,1,6,1,1,2,3,0,0
2020년11월_남_총인구수,"15,165","5,345","1,544","1,770","1,797","1,649","1,529","1,204",140,187
2020년11월_남_연령구간인구수,"15,165","5,345","1,544","1,770","1,797","1,649","1,529","1,204",140,187
2020년11월_남_0~9세,794,411,56,96,62,55,49,44,8,13
2020년11월_남_10~19세,"1,169",616,85,124,86,98,60,69,10,21
2020년11월_남_20~29세,"1,463",686,130,139,133,125,138,88,7,17
2020년11월_남_30~39세,"1,241",594,103,155,122,93,84,71,9,10
2020년11월_남_40~49세,"2,108",815,202,237,245,198,165,194,20,32
2020년11월_남_50~59세,"2,795",883,310,310,361,328,292,239,30,42
2020년11월_남_60~69세,"2,663",707,306,357,359,337,314,236,24,23
2020년11월_남_70~79세,"2,018",463,235,227,280,295,291,181,23,23
2020년11월_남_80~89세,848,158,108,116,138,109,126,80,8,5
2020년11월_남_90~99세,66,12,9,9,11,11,10,2,1,1
2020년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"15,583","5,557","1,501","1,893","1,715","1,806","1,652","1,144",129,186
2020년11월_여_연령구간인구수,"15,583","5,557","1,501","1,893","1,715","1,806","1,652","1,144",129,186
2020년11월_여_0~9세,892,491,56,92,52,63,58,59,8,13
2020년11월_여_10~19세,"1,077",554,89,122,77,90,63,61,0,21
2020년11월_여_20~29세,"1,080",531,70,134,98,101,79,52,10,5
2020년11월_여_30~39세,"1,027",552,75,115,75,77,69,49,6,9
2020년11월_여_40~49세,"1,542",796,130,156,127,130,75,102,9,17
2020년11월_여_50~59세,"2,256",861,211,269,266,264,215,136,15,19
2020년11월_여_60~69세,"2,617",759,289,365,328,327,324,172,19,34
2020년11월_여_70~79세,"2,739",591,309,332,375,380,414,265,28,45
2020년11월_여_80~89세,"2,037",367,236,262,271,311,313,225,33,19
2020년11월_여_90~99세,298,51,35,40,45,62,40,20,1,4
2020년11월_여_100세 이상,18,4,1,6,1,1,2,3,0,0
