카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년12월_계_총인구수,"523,037","22,446","27,472","30,605","37,680","39,760","27,471","22,665","24,880","27,465","20,695","35,446","39,044","20,535","27,076","24,667","33,509","22,914","21,136","17,571"
2020년12월_계_연령구간인구수,"523,037","22,446","27,472","30,605","37,680","39,760","27,471","22,665","24,880","27,465","20,695","35,446","39,044","20,535","27,076","24,667","33,509","22,914","21,136","17,571"
2020년12월_계_0~9세,"33,182","1,217","1,764","2,248","2,135","2,919","1,183","1,501","1,546","1,992","1,178","2,094","2,363","1,002","1,419","1,107","2,492","2,506","1,378","1,138"
2020년12월_계_10~19세,"53,235","1,717","2,179","2,166","2,656","4,404","3,172","2,848","4,535","5,759","2,321","3,219","3,375","1,875","2,121","2,069","3,065","2,037","2,164","1,553"
2020년12월_계_20~29세,"73,182","3,862","3,244","3,600","6,826","6,707","4,689","3,090","3,244","2,970","2,615","4,339","5,301","3,315","3,251","3,487","4,630","2,693","2,753","2,566"
2020년12월_계_30~39세,"64,740","2,715","3,239","4,637","5,406","5,227","2,749","2,557","1,910","2,012","1,993","4,304","4,931","2,332","2,966","2,626","4,935","4,727","2,808","2,666"
2020년12월_계_40~49세,"86,240","3,440","4,337","4,677","5,406","6,578","4,237","4,074","5,094","6,631","3,540","5,919","5,739","3,097","4,005","3,734","5,567","3,912","3,503","2,750"
2020년12월_계_50~59세,"87,828","3,566","4,626","4,802","5,852","6,115","4,977","3,917","4,563","4,462","3,615","5,652","7,010","3,942","4,805","4,545","5,647","3,013","3,623","3,096"
2020년12월_계_60~69세,"67,804","3,086","4,381","4,593","5,415","4,468","3,555","2,520","2,258","2,060","2,640","4,817","5,890","2,864","4,341","3,664","3,981","2,244","2,755","2,272"
2020년12월_계_70~79세,"37,536","1,981","2,503","2,603","2,768","2,226","1,827","1,370","1,082",994,"1,900","3,349","2,935","1,422","2,770","2,313","1,986","1,168","1,385",954
