카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년07월_계_총인구수,"212,957","16,422","3,455","1,578","4,161","4,246","3,511","4,628","6,493","15,274","4,867","3,392","25,898","7,842","10,368","12,981","4,779","10,136","16,534","17,913","28,411","10,068"
2021년07월_계_연령구간인구수,"212,957","16,422","3,455","1,578","4,161","4,246","3,511","4,628","6,493","15,274","4,867","3,392","25,898","7,842","10,368","12,981","4,779","10,136","16,534","17,913","28,411","10,068"
2021년07월_계_0~9세,"13,097",630,134,29,212,101,104,187,342,"1,332",151,92,"1,692",360,421,563,286,908,"1,369",911,"2,356",917
2021년07월_계_10~19세,"18,570",945,190,39,266,186,147,241,458,"1,505",292,158,"2,920",603,713,"1,134",387,"1,027","1,529","1,516","3,411",903
2021년07월_계_20~29세,"24,932","1,445",286,86,328,410,270,419,509,"1,706",554,336,"3,620",949,"1,254","1,649",553,"1,129","2,454","2,001","3,441","1,533"
2021년07월_계_30~39세,"21,373","1,185",209,83,328,285,214,402,551,"1,990",422,265,"2,590",779,894,"1,278",551,"1,305","2,077","1,558","3,171","1,236"
2021년07월_계_40~49세,"31,957","2,005",379,99,490,424,316,576,940,"2,576",629,409,"4,427","1,034","1,401","1,824",701,"1,660","2,692","2,500","5,143","1,732"
2021년07월_계_50~59세,"36,432","2,964",661,313,693,757,650,839,"1,082","2,489",756,595,"4,450","1,406","1,957","2,425",932,"1,675","2,538","3,102","4,597","1,551"
2021년07월_계_60~69세,"35,106","3,571",790,491,963,966,874,"1,057","1,395","1,976",999,704,"3,329","1,457","2,027","2,375",758,"1,440","2,199","3,032","3,480","1,223"
2021년07월_계_70~79세,"19,558","2,274",433,267,494,662,558,530,761,"1,086",654,554,"1,785",803,"1,122","1,117",366,614,"1,065","2,067","1,723",623
2021년07월_계_80~89세,"10,192","1,193",318,145,305,388,326,316,392,515,330,252,954,384,510,517,214,313,530,"1,064",937,289
2021년07월_계_90~99세,"1,684",203,52,26,79,65,51,60,60,94,77,26,126,65,66,97,31,63,79,156,147,61
2021년07월_계_100세 이상,56,7,3,0,3,2,1,1,3,5,3,1,5,2,3,2,0,2,2,6,5,0
2021년07월_남_총인구수,"105,652","8,035","1,757",843,"2,128","2,253","1,807","2,374","3,250","7,425","2,319","1,754","12,669","3,881","5,125","6,410","2,337","4,882","8,225","8,988","14,051","5,139"
2021년07월_남_연령구간인구수,"105,652","8,035","1,757",843,"2,128","2,253","1,807","2,374","3,250","7,425","2,319","1,754","12,669","3,881","5,125","6,410","2,337","4,882","8,225","8,988","14,051","5,139"
2021년07월_남_0~9세,"6,764",323,73,24,116,57,55,99,170,684,76,50,870,188,219,287,126,439,699,457,"1,265",487
2021년07월_남_10~19세,"9,734",518,101,15,143,101,88,133,230,752,139,89,"1,518",316,384,601,199,535,784,835,"1,797",456
2021년07월_남_20~29세,"13,655",833,175,51,196,272,169,243,283,871,274,190,"1,935",479,656,887,331,589,"1,339","1,149","1,871",862
2021년07월_남_30~39세,"11,277",636,116,58,167,181,134,221,299,"1,016",249,153,"1,318",441,495,712,300,644,"1,044",841,"1,620",632
2021년07월_남_40~49세,"16,240","1,078",219,63,277,282,180,320,503,"1,243",328,242,"2,066",520,761,943,329,805,"1,372","1,333","2,496",880
2021년07월_남_50~59세,"18,434","1,530",340,171,379,422,365,443,554,"1,246",404,330,"2,248",704,972,"1,186",441,769,"1,244","1,611","2,275",800
2021년07월_남_60~69세,"16,761","1,685",407,258,499,508,461,523,682,931,438,324,"1,539",695,902,"1,092",370,696,"1,060","1,427","1,674",590
2021년07월_남_70~79세,"8,772",960,219,138,231,293,249,256,373,484,277,259,772,374,507,515,156,271,483,902,727,326
2021년07월_남_80~89세,"3,671",424,99,60,104,120,95,127,143,178,112,114,380,154,212,175,78,122,182,400,298,94
2021년07월_남_90~99세,332,46,8,5,14,16,11,9,11,20,21,3,23,10,16,11,7,12,18,32,27,12
2021년07월_남_100세 이상,12,2,0,0,2,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1,1,0
2021년07월_여_총인구수,"107,305","8,387","1,698",735,"2,033","1,993","1,704","2,254","3,243","7,849","2,548","1,638","13,229","3,961","5,243","6,571","2,442","5,254","8,309","8,925","14,360","4,929"
2021년07월_여_연령구간인구수,"107,305","8,387","1,698",735,"2,033","1,993","1,704","2,254","3,243","7,849","2,548","1,638","13,229","3,961","5,243","6,571","2,442","5,254","8,309","8,925","14,360","4,929"
2021년07월_여_0~9세,"6,333",307,61,5,96,44,49,88,172,648,75,42,822,172,202,276,160,469,670,454,"1,091",430
2021년07월_여_10~19세,"8,836",427,89,24,123,85,59,108,228,753,153,69,"1,402",287,329,533,188,492,745,681,"1,614",447
2021년07월_여_20~29세,"11,277",612,111,35,132,138,101,176,226,835,280,146,"1,685",470,598,762,222,540,"1,115",852,"1,570",671
2021년07월_여_30~39세,"10,096",549,93,25,161,104,80,181,252,974,173,112,"1,272",338,399,566,251,661,"1,033",717,"1,551",604
2021년07월_여_40~49세,"15,717",927,160,36,213,142,136,256,437,"1,333",301,167,"2,361",514,640,881,372,855,"1,320","1,167","2,647",852
2021년07월_여_50~59세,"17,998","1,434",321,142,314,335,285,396,528,"1,243",352,265,"2,202",702,985,"1,239",491,906,"1,294","1,491","2,322",751
2021년07월_여_60~69세,"18,345","1,886",383,233,464,458,413,534,713,"1,045",561,380,"1,790",762,"1,125","1,283",388,744,"1,139","1,605","1,806",633
2021년07월_여_70~79세,"10,786","1,314",214,129,263,369,309,274,388,602,377,295,"1,013",429,615,602,210,343,582,"1,165",996,297
2021년07월_여_80~89세,"6,521",769,219,85,201,268,231,189,249,337,218,138,574,230,298,342,136,191,348,664,639,195
2021년07월_여_90~99세,"1,352",157,44,21,65,49,40,51,49,74,56,23,103,55,50,86,24,51,61,124,120,49
