카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년12월_계_총인구수,"32,165","10,303",525,"3,761","8,035","4,977","2,567","1,997"
2021년12월_계_연령구간인구수,"32,165","10,303",525,"3,761","8,035","4,977","2,567","1,997"
2021년12월_계_0~9세,"2,499","1,016",17,253,529,376,193,115
2021년12월_계_10~19세,"2,236",878,29,215,594,306,126,88
2021년12월_계_20~29세,"4,209","1,249",29,508,"1,019",544,539,321
2021년12월_계_30~39세,"3,981","1,423",34,491,809,643,382,199
2021년12월_계_40~49세,"3,938","1,468",52,369,"1,017",601,235,196
2021년12월_계_50~59세,"5,107","1,565",126,561,"1,435",787,318,315
2021년12월_계_60~69세,"5,730","1,531",121,772,"1,485",998,405,418
2021년12월_계_70~79세,"2,589",697,76,321,649,412,219,215
2021년12월_계_80~89세,"1,610",406,37,228,433,262,132,112
2021년12월_계_90~99세,259,68,4,42,62,48,18,17
2021년12월_계_100세 이상,7,2,0,1,3,0,0,1
2021년12월_남_총인구수,"17,461","5,414",279,"2,026","4,335","2,701","1,556","1,150"
2021년12월_남_연령구간인구수,"17,461","5,414",279,"2,026","4,335","2,701","1,556","1,150"
2021년12월_남_0~9세,"1,265",509,7,113,276,197,102,61
2021년12월_남_10~19세,"1,185",476,16,108,312,156,67,50
2021년12월_남_20~29세,"2,821",748,16,337,665,360,442,253
2021년12월_남_30~39세,"2,312",786,22,304,446,383,249,122
2021년12월_남_40~49세,"2,193",793,28,214,561,339,144,114
2021년12월_남_50~59세,"2,732",815,71,306,785,406,182,167
2021년12월_남_60~69세,"3,076",792,63,404,822,559,208,228
2021년12월_남_70~79세,"1,235",332,40,153,293,196,111,110
2021년12월_남_80~89세,571,146,14,76,157,95,46,37
2021년12월_남_90~99세,67,16,2,11,16,10,5,7
2021년12월_남_100세 이상,4,1,0,0,2,0,0,1
2021년12월_여_총인구수,"14,704","4,889",246,"1,735","3,700","2,276","1,011",847
2021년12월_여_연령구간인구수,"14,704","4,889",246,"1,735","3,700","2,276","1,011",847
2021년12월_여_0~9세,"1,234",507,10,140,253,179,91,54
2021년12월_여_10~19세,"1,051",402,13,107,282,150,59,38
2021년12월_여_20~29세,"1,388",501,13,171,354,184,97,68
2021년12월_여_30~39세,"1,669",637,12,187,363,260,133,77
2021년12월_여_40~49세,"1,745",675,24,155,456,262,91,82
2021년12월_여_50~59세,"2,375",750,55,255,650,381,136,148
2021년12월_여_60~69세,"2,654",739,58,368,663,439,197,190
2021년12월_여_70~79세,"1,354",365,36,168,356,216,108,105
2021년12월_여_80~89세,"1,039",260,23,152,276,167,86,75
2021년12월_여_90~99세,192,52,2,31,46,38,13,10
2021년12월_여_100세 이상,3,1,0,1,1,0,0,0
