,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년03월_계_총인구수,"84,118","29,980","28,907",0,"3,194","3,483","2,079","6,063","10,412"
2021년03월_계_연령구간인구수,"84,118","29,980","28,907",0,"3,194","3,483","2,079","6,063","10,412"
2021년03월_계_0~9세,"7,685","2,184","4,338",0,86,122,47,189,719
2021년03월_계_10~19세,"8,134","3,195","3,069",0,176,143,77,391,"1,083"
2021년03월_계_20~29세,"9,266","3,917","3,082",0,199,257,97,534,"1,180"
2021년03월_계_30~39세,"11,521","3,156","6,127",0,182,250,120,456,"1,230"
2021년03월_계_40~49세,"13,626","4,933","5,359",0,306,348,167,702,"1,811"
2021년03월_계_50~59세,"13,668","5,327","3,371",0,612,729,381,"1,197","2,051"
2021년03월_계_60~69세,"10,716","3,864","2,108",0,749,796,560,"1,325","1,314"
2021년03월_계_70~79세,"5,507","2,087",839,0,459,456,335,707,624
2021년03월_계_80~89세,"3,506","1,165",541,0,380,338,251,485,346
2021년03월_계_90~99세,476,150,70,0,44,42,40,76,54
2021년03월_계_100세 이상,13,2,3,0,1,2,4,1,0
2021년03월_남_총인구수,"44,101","15,420","15,260",0,"1,648","1,809","1,062","3,212","5,690"
2021년03월_남_연령구간인구수,"44,101","15,420","15,260",0,"1,648","1,809","1,062","3,212","5,690"
2021년03월_남_0~9세,"3,974","1,139","2,230",0,47,61,25,101,371
2021년03월_남_10~19세,"4,253","1,680","1,565",0,91,71,41,204,601
2021년03월_남_20~29세,"5,350","2,241","1,721",0,121,151,63,325,728
2021년03월_남_30~39세,"6,339","1,690","3,313",0,113,146,73,279,725
2021년03월_남_40~49세,"7,433","2,576","2,962",0,185,219,98,405,988
2021년03월_남_50~59세,"7,470","2,865","1,812",0,361,400,218,671,"1,143"
2021년03월_남_60~69세,"5,477","1,867","1,059",0,396,428,291,728,708
2021년03월_남_70~79세,"2,515",935,383,0,215,217,155,327,283
2021년03월_남_80~89세,"1,202",396,198,0,112,108,89,163,136
2021년03월_남_90~99세,85,30,17,0,7,7,9,8,7
2021년03월_남_100세 이상,3,1,0,0,0,1,0,1,0
2021년03월_여_총인구수,"40,017","14,560","13,647",0,"1,546","1,674","1,017","2,851","4,722"
2021년03월_여_연령구간인구수,"40,017","14,560","13,647",0,"1,546","1,674","1,017","2,851","4,722"
2021년03월_여_0~9세,"3,711","1,045","2,108",0,39,61,22,88,348
2021년03월_여_10~19세,"3,881","1,515","1,504",0,85,72,36,187,482
2021년03월_여_20~29세,"3,916","1,676","1,361",0,78,106,34,209,452
2021년03월_여_30~39세,"5,182","1,466","2,814",0,69,104,47,177,505
2021년03월_여_40~49세,"6,193","2,357","2,397",0,121,129,69,297,823
2021년03월_여_50~59세,"6,198","2,462","1,559",0,251,329,163,526,908
2021년03월_여_60~69세,"5,239","1,997","1,049",0,353,368,269,597,606
2021년03월_여_70~79세,"2,992","1,152",456,0,244,239,180,380,341
2021년03월_여_80~89세,"2,304",769,343,0,268,230,162,322,210
2021년03월_여_90~99세,391,120,53,0,37,35,31,68,47
2021년03월_여_100세 이상,10,1,3,0,1,1,4,0,0
