카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년07월_계_총인구수,"166,057","9,228","30,394","5,528","9,606","2,451","3,736","3,596","5,124","5,179","15,974","12,142","23,637","20,792","18,670"
2020년07월_계_연령구간인구수,"166,057","9,228","30,394","5,528","9,606","2,451","3,736","3,596","5,124","5,179","15,974","12,142","23,637","20,792","18,670"
2020년07월_계_0~9세,"15,979",354,"4,134",200,460,62,111,102,186,206,"1,576","1,276","2,506","2,531","2,275"
2020년07월_계_10~19세,"15,664",565,"2,530",293,487,99,199,193,327,355,"1,814","1,033","2,444","2,524","2,801"
2020년07월_계_20~29세,"16,153",734,"2,439",384,910,142,310,277,372,393,"1,489","1,080","3,305","2,181","2,137"
2020년07월_계_30~39세,"23,227",741,"5,748",344,"1,149",133,222,229,295,327,"1,789","2,082","4,350","3,116","2,702"
2020년07월_계_40~49세,"26,605","1,146","5,280",565,"1,341",226,339,380,564,582,"2,606","2,046","4,062","3,762","3,706"
2020년07월_계_50~59세,"25,743","1,586","4,388",977,"1,928",364,639,681,949,907,"2,534","1,818","3,258","3,019","2,695"
2020년07월_계_60~69세,"20,478","1,851","3,124","1,188","1,619",609,828,760,"1,031","1,026","1,994","1,319","1,996","1,920","1,213"
2020년07월_계_70~79세,"13,140","1,319","1,649",856,"1,023",481,612,547,777,798,"1,305",877,"1,140","1,063",693
2020년07월_계_80~89세,"7,899",802,966,619,607,299,411,362,533,510,761,538,505,599,387
2020년07월_계_90~99세,"1,101",115,129,99,77,33,63,63,84,73,99,69,71,66,60
2020년07월_계_100세 이상,68,15,7,3,5,3,2,2,6,2,7,4,0,11,1
2020년07월_남_총인구수,"88,007","4,867","16,815","2,808","5,575","1,227","1,911","1,846","2,583","2,620","8,156","6,900","12,509","10,571","9,619"
2020년07월_남_연령구간인구수,"88,007","4,867","16,815","2,808","5,575","1,227","1,911","1,846","2,583","2,620","8,156","6,900","12,509","10,571","9,619"
2020년07월_남_0~9세,"8,163",197,"2,140",103,234,36,49,50,90,101,776,642,"1,260","1,314","1,171"
2020년07월_남_10~19세,"8,214",313,"1,342",147,260,56,107,102,173,199,941,516,"1,265","1,304","1,489"
2020년07월_남_20~29세,"9,462",457,"1,410",222,607,85,191,169,215,228,867,699,"1,899","1,206","1,207"
2020년07월_남_30~39세,"13,160",442,"3,234",194,793,83,122,136,166,194,928,"1,329","2,537","1,602","1,400"
2020년07월_남_40~49세,"14,976",700,"3,232",330,911,139,197,238,332,332,"1,388","1,296","2,147","1,919","1,815"
2020년07월_남_50~59세,"14,410",904,"2,626",563,"1,186",180,347,366,519,495,"1,389","1,090","1,708","1,578","1,459"
2020년07월_남_60~69세,"10,384",897,"1,654",593,854,304,432,366,506,511,983,717,"1,007",951,609
2020년07월_남_70~79세,"6,152",612,813,407,488,237,295,279,378,350,594,401,488,486,324
2020년07월_남_80~89세,"2,794",312,324,226,217,98,161,121,179,185,267,192,183,198,131
2020년07월_남_90~99세,278,31,40,23,23,8,10,17,24,24,21,18,15,11,13
2020년07월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년07월_여_총인구수,"78,050","4,361","13,579","2,720","4,031","1,224","1,825","1,750","2,541","2,559","7,818","5,242","11,128","10,221","9,051"
2020년07월_여_연령구간인구수,"78,050","4,361","13,579","2,720","4,031","1,224","1,825","1,750","2,541","2,559","7,818","5,242","11,128","10,221","9,051"
2020년07월_여_0~9세,"7,816",157,"1,994",97,226,26,62,52,96,105,800,634,"1,246","1,217","1,104"
2020년07월_여_10~19세,"7,450",252,"1,188",146,227,43,92,91,154,156,873,517,"1,179","1,220","1,312"
2020년07월_여_20~29세,"6,691",277,"1,029",162,303,57,119,108,157,165,622,381,"1,406",975,930
2020년07월_여_30~39세,"10,067",299,"2,514",150,356,50,100,93,129,133,861,753,"1,813","1,514","1,302"
2020년07월_여_40~49세,"11,629",446,"2,048",235,430,87,142,142,232,250,"1,218",750,"1,915","1,843","1,891"
2020년07월_여_50~59세,"11,333",682,"1,762",414,742,184,292,315,430,412,"1,145",728,"1,550","1,441","1,236"
2020년07월_여_60~69세,"10,094",954,"1,470",595,765,305,396,394,525,515,"1,011",602,989,969,604
2020년07월_여_70~79세,"6,988",707,836,449,535,244,317,268,399,448,711,476,652,577,369
2020년07월_여_80~89세,"5,105",490,642,393,390,201,250,241,354,325,494,346,322,401,256
2020년07월_여_90~99세,823,84,89,76,54,25,53,46,60,49,78,51,56,55,47
2020년07월_여_100세 이상,54,13,7,3,3,2,2,0,5,1,5,4,0,9,0
