카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년07월_계_총인구수,"71,417","5,847","1,119","3,195",821,"2,499","3,058","2,397","2,762","1,936","3,592","2,604","5,888","7,115","9,155","3,149","16,280"
2020년07월_계_연령구간인구수,"71,417","5,847","1,119","3,195",821,"2,499","3,058","2,397","2,762","1,936","3,592","2,604","5,888","7,115","9,155","3,149","16,280"
2020년07월_계_0~9세,"4,099",223,41,102,18,61,86,42,55,84,89,72,373,429,680,120,"1,624"
2020년07월_계_10~19세,"5,741",341,60,155,37,317,132,167,113,74,137,89,422,587,889,145,"2,076"
2020년07월_계_20~29세,"6,119",405,72,158,29,142,197,312,146,102,218,117,531,619,870,218,"1,983"
2020년07월_계_30~39세,"5,898",378,51,161,52,109,162,104,117,97,221,135,616,655,842,243,"1,955"
2020년07월_계_40~49세,"8,846",613,106,260,77,176,258,190,237,174,302,189,719,897,"1,346",326,"2,976"
2020년07월_계_50~59세,"12,114","1,065",230,547,168,351,485,370,496,359,625,509,"1,000","1,159","1,596",553,"2,601"
2020년07월_계_60~69세,"13,084","1,230",258,704,191,553,700,534,602,481,747,627,"1,128","1,372","1,498",668,"1,791"
2020년07월_계_70~79세,"9,328","1,011",174,601,152,389,562,373,544,328,726,479,725,930,922,536,876
2020년07월_계_80~89세,"5,354",496,109,431,81,341,400,269,393,210,463,320,335,417,453,301,335
2020년07월_계_90~99세,778,74,18,73,15,59,74,35,55,27,57,61,36,42,53,37,62
2020년07월_계_100세 이상,56,11,0,3,1,1,2,1,4,0,7,6,3,8,6,2,1
2020년07월_남_총인구수,"34,984","2,836",564,"1,554",417,"1,308","1,523","1,138","1,376",986,"1,701","1,201","2,886","3,441","4,545","1,566","7,942"
2020년07월_남_연령구간인구수,"34,984","2,836",564,"1,554",417,"1,308","1,523","1,138","1,376",986,"1,701","1,201","2,886","3,441","4,545","1,566","7,942"
2020년07월_남_0~9세,"2,139",103,20,50,9,32,44,27,32,45,42,38,211,221,365,55,845
2020년07월_남_10~19세,"3,100",182,31,91,24,207,75,77,63,39,76,45,231,306,513,89,"1,051"
2020년07월_남_20~29세,"3,446",255,44,101,12,77,118,133,95,59,119,69,314,362,533,121,"1,034"
2020년07월_남_30~39세,"3,136",213,28,89,24,68,95,58,75,56,130,78,327,361,420,138,976
2020년07월_남_40~49세,"4,741",339,62,148,42,109,164,113,150,111,197,119,391,469,708,205,"1,414"
2020년07월_남_50~59세,"6,244",558,132,281,93,205,277,207,291,184,350,252,476,576,765,312,"1,285"
2020년07월_남_60~69세,"6,293",572,131,376,118,283,344,277,310,275,361,304,494,605,673,320,850
2020년07월_남_70~79세,"4,030",431,77,261,66,191,259,150,238,137,291,198,314,402,397,240,378
2020년07월_남_80~89세,"1,688",164,37,137,28,123,135,89,111,75,121,83,119,131,158,84,93
2020년07월_남_90~99세,152,15,2,20,1,13,12,7,9,5,10,13,9,6,12,2,16
2020년07월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020년07월_여_총인구수,"36,433","3,011",555,"1,641",404,"1,191","1,535","1,259","1,386",950,"1,891","1,403","3,002","3,674","4,610","1,583","8,338"
2020년07월_여_연령구간인구수,"36,433","3,011",555,"1,641",404,"1,191","1,535","1,259","1,386",950,"1,891","1,403","3,002","3,674","4,610","1,583","8,338"
2020년07월_여_0~9세,"1,960",120,21,52,9,29,42,15,23,39,47,34,162,208,315,65,779
2020년07월_여_10~19세,"2,641",159,29,64,13,110,57,90,50,35,61,44,191,281,376,56,"1,025"
2020년07월_여_20~29세,"2,673",150,28,57,17,65,79,179,51,43,99,48,217,257,337,97,949
2020년07월_여_30~39세,"2,762",165,23,72,28,41,67,46,42,41,91,57,289,294,422,105,979
2020년07월_여_40~49세,"4,105",274,44,112,35,67,94,77,87,63,105,70,328,428,638,121,"1,562"
2020년07월_여_50~59세,"5,870",507,98,266,75,146,208,163,205,175,275,257,524,583,831,241,"1,316"
2020년07월_여_60~69세,"6,791",658,127,328,73,270,356,257,292,206,386,323,634,767,825,348,941
2020년07월_여_70~79세,"5,298",580,97,340,86,198,303,223,306,191,435,281,411,528,525,296,498
2020년07월_여_80~89세,"3,666",332,72,294,53,218,265,180,282,135,342,237,216,286,295,217,242
2020년07월_여_90~99세,626,59,16,53,14,46,62,28,46,22,47,48,27,36,41,35,46
2020년07월_여_100세 이상,41,7,0,3,1,1,2,1,2,0,3,4,3,6,5,2,1
