,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년07월_계_총인구수,"82,211","4,581","3,812","6,251","9,672","21,224","29,009","4,497","3,165"
2020년07월_계_연령구간인구수,"82,211","4,581","3,812","6,251","9,672","21,224","29,009","4,497","3,165"
2020년07월_계_0~9세,"5,905",179,255,239,553,"1,385","2,974",242,78
2020년07월_계_10~19세,"7,562",269,274,454,913,"2,246","3,029",247,130
2020년07월_계_20~29세,"8,946",431,323,644,"1,050","2,404","3,443",393,258
2020년07월_계_30~39세,"9,261",421,379,474,980,"2,179","4,090",504,234
2020년07월_계_40~49세,"12,529",548,512,781,"1,425","3,444","4,932",541,346
2020년07월_계_50~59세,"15,156",919,759,"1,307","1,785","4,016","4,830",869,671
2020년07월_계_60~69세,"12,321","1,008",659,"1,182","1,643","3,031","3,217",848,733
2020년07월_계_70~79세,"6,761",522,435,727,853,"1,603","1,659",497,465
2020년07월_계_80~89세,"3,139",237,186,356,385,764,714,287,210
2020년07월_계_90~99세,597,44,28,83,81,146,114,64,37
2020년07월_계_100세 이상,34,3,2,4,4,6,7,5,3
2020년07월_남_총인구수,"40,668","2,369","1,929","3,046","4,768","10,489","14,188","2,257","1,622"
2020년07월_남_연령구간인구수,"40,668","2,369","1,929","3,046","4,768","10,489","14,188","2,257","1,622"
2020년07월_남_0~9세,"2,985",91,137,129,284,675,"1,506",126,37
2020년07월_남_10~19세,"3,907",146,143,228,482,"1,133","1,560",134,81
2020년07월_남_20~29세,"5,033",268,175,378,599,"1,354","1,886",225,148
2020년07월_남_30~39세,"4,952",241,204,276,545,"1,166","2,089",286,145
2020년07월_남_40~49세,"6,236",310,282,402,713,"1,660","2,385",297,187
2020년07월_남_50~59세,"7,468",476,390,622,856,"1,997","2,311",461,355
2020년07월_남_60~69세,"5,959",503,322,566,793,"1,518","1,478",424,355
2020년07월_남_70~79세,"2,931",240,211,304,354,701,696,205,220
2020년07월_남_80~89세,"1,058",86,58,127,124,253,243,82,85
2020년07월_남_90~99세,126,6,7,12,16,32,31,14,8
2020년07월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년07월_여_총인구수,"41,543","2,212","1,883","3,205","4,904","10,735","14,821","2,240","1,543"
2020년07월_여_연령구간인구수,"41,543","2,212","1,883","3,205","4,904","10,735","14,821","2,240","1,543"
2020년07월_여_0~9세,"2,920",88,118,110,269,710,"1,468",116,41
2020년07월_여_10~19세,"3,655",123,131,226,431,"1,113","1,469",113,49
2020년07월_여_20~29세,"3,913",163,148,266,451,"1,050","1,557",168,110
2020년07월_여_30~39세,"4,309",180,175,198,435,"1,013","2,001",218,89
2020년07월_여_40~49세,"6,293",238,230,379,712,"1,784","2,547",244,159
2020년07월_여_50~59세,"7,688",443,369,685,929,"2,019","2,519",408,316
2020년07월_여_60~69세,"6,362",505,337,616,850,"1,513","1,739",424,378
2020년07월_여_70~79세,"3,830",282,224,423,499,902,963,292,245
2020년07월_여_80~89세,"2,081",151,128,229,261,511,471,205,125
2020년07월_여_90~99세,471,38,21,71,65,114,83,50,29
2020년07월_여_100세 이상,21,1,2,2,2,6,4,2,2
