카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년01월_계_총인구수,"24,271","9,579","2,289","4,038","2,611","4,340","1,414"
2020년01월_계_연령구간인구수,"24,271","9,579","2,289","4,038","2,611","4,340","1,414"
2020년01월_계_0~9세,"1,274",785,63,191,68,140,27
2020년01월_계_10~19세,"1,856",987,110,303,118,277,61
2020년01월_계_20~29세,"1,905",909,161,334,151,279,71
2020년01월_계_30~39세,"1,786",947,126,265,137,246,65
2020년01월_계_40~49세,"2,968","1,473",205,534,240,402,114
2020년01월_계_50~59세,"4,286","1,488",476,780,464,812,266
2020년01월_계_60~69세,"4,219","1,259",490,719,542,879,330
2020년01월_계_70~79세,"3,408","1,004",379,538,482,728,277
2020년01월_계_80~89세,"2,238",606,255,335,360,507,175
2020년01월_계_90~99세,316,113,23,39,47,66,28
2020년01월_계_100세 이상,15,8,1,0,2,4,0
2020년01월_남_총인구수,"12,058","4,765","1,132","2,032","1,281","2,151",697
2020년01월_남_연령구간인구수,"12,058","4,765","1,132","2,032","1,281","2,151",697
2020년01월_남_0~9세,681,418,34,118,31,67,13
2020년01월_남_10~19세,942,497,63,153,57,141,31
2020년01월_남_20~29세,"1,052",497,86,180,88,158,43
2020년01월_남_30~39세,966,478,76,147,80,147,38
2020년01월_남_40~49세,"1,680",784,122,314,143,244,73
2020년01월_남_50~59세,"2,340",832,240,419,266,441,142
2020년01월_남_60~69세,"2,125",590,255,366,277,460,177
2020년01월_남_70~79세,"1,427",442,166,211,197,297,114
2020년01월_남_80~89세,769,205,82,119,128,177,58
2020년01월_남_90~99세,71,21,7,5,13,17,8
2020년01월_남_100세 이상,5,1,1,0,1,2,0
2020년01월_여_총인구수,"12,213","4,814","1,157","2,006","1,330","2,189",717
2020년01월_여_연령구간인구수,"12,213","4,814","1,157","2,006","1,330","2,189",717
2020년01월_여_0~9세,593,367,29,73,37,73,14
2020년01월_여_10~19세,914,490,47,150,61,136,30
2020년01월_여_20~29세,853,412,75,154,63,121,28
2020년01월_여_30~39세,820,469,50,118,57,99,27
2020년01월_여_40~49세,"1,288",689,83,220,97,158,41
2020년01월_여_50~59세,"1,946",656,236,361,198,371,124
2020년01월_여_60~69세,"2,094",669,235,353,265,419,153
2020년01월_여_70~79세,"1,981",562,213,327,285,431,163
2020년01월_여_80~89세,"1,469",401,173,216,232,330,117
2020년01월_여_90~99세,245,92,16,34,34,49,20
2020년01월_여_100세 이상,10,7,0,0,1,2,0
