,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면
2020년10월_계_총인구수,"222,608","20,378","28,584","28,692","70,873","19,470","8,429","7,754","4,221","3,153","7,971","21,261","1,822"
2020년10월_계_연령구간인구수,"222,608","20,378","28,584","28,692","70,873","19,470","8,429","7,754","4,221","3,153","7,971","21,261","1,822"
2020년10월_계_0~9세,"18,030","1,506","2,463","2,653","6,792","1,816",499,277,137,65,274,"1,495",53
2020년10월_계_10~19세,"22,545","1,641","2,816","3,298","10,038","1,565",523,393,197,114,411,"1,482",67
2020년10월_계_20~29세,"26,564","2,532","3,580","3,299","9,220","2,357",743,861,304,174,730,"2,641",123
2020년10월_계_30~39세,"26,094","2,826","3,314","3,630","7,793","2,902",904,629,285,206,572,"2,921",112
2020년10월_계_40~49세,"37,474","3,719","4,600","5,370","13,918","2,972","1,184",810,439,258,923,"3,111",170
2020년10월_계_50~59세,"41,774","3,995","5,276","5,094","12,867","3,504","1,618","1,708",909,565,"1,728","4,156",354
2020년10월_계_60~69세,"29,137","2,516","3,843","3,159","6,496","2,618","1,608","1,622","1,056",815,"1,784","3,149",471
2020년10월_계_70~79세,"13,606","1,092","1,720","1,421","2,557","1,140",898,923,533,541,970,"1,537",274
2020년10월_계_80~89세,"6,371",473,837,677,"1,048",504,396,460,302,352,490,662,170
2020년10월_계_90~99세,979,67,128,90,142,87,54,71,57,63,87,106,27
2020년10월_계_100세 이상,34,11,7,1,2,5,2,0,2,0,2,1,1
2020년10월_남_총인구수,"114,858","11,615","14,328","14,969","35,652","10,055","4,527","4,033","2,193","1,558","4,047","10,937",944
2020년10월_남_연령구간인구수,"114,858","11,615","14,328","14,969","35,652","10,055","4,527","4,033","2,193","1,558","4,047","10,937",944
2020년10월_남_0~9세,"9,228",772,"1,228","1,369","3,483",919,257,147,69,33,152,778,21
2020년10월_남_10~19세,"11,717",867,"1,430","1,686","5,249",786,281,223,108,55,226,769,37
2020년10월_남_20~29세,"15,080","1,568","2,032","1,846","5,095","1,279",451,512,179,104,423,"1,519",72
2020년10월_남_30~39세,"13,880","1,772","1,712","1,921","3,770","1,600",476,352,164,116,334,"1,601",62
2020년10월_남_40~49세,"19,171","2,280","2,263","2,811","6,468","1,531",743,462,255,154,477,"1,617",110
2020년10월_남_50~59세,"22,128","2,367","2,650","2,764","6,684","1,847",927,906,496,309,886,"2,091",201
2020년10월_남_60~69세,"15,058","1,334","1,920","1,694","3,363","1,374",814,839,558,424,905,"1,586",247
2020년10월_남_70~79세,"6,374",491,809,657,"1,192",533,422,437,264,243,473,723,130
2020년10월_남_80~89세,"2,040",149,262,203,324,169,145,138,91,110,157,232,60
2020년10월_남_90~99세,177,12,22,18,24,16,10,17,9,10,14,21,4
2020년10월_남_100세 이상,5,3,0,0,0,1,1,0,0,0,0,0,0
2020년10월_여_총인구수,"107,750","8,763","14,256","13,723","35,221","9,415","3,902","3,721","2,028","1,595","3,924","10,324",878
2020년10월_여_연령구간인구수,"107,750","8,763","14,256","13,723","35,221","9,415","3,902","3,721","2,028","1,595","3,924","10,324",878
2020년10월_여_0~9세,"8,802",734,"1,235","1,284","3,309",897,242,130,68,32,122,717,32
2020년10월_여_10~19세,"10,828",774,"1,386","1,612","4,789",779,242,170,89,59,185,713,30
2020년10월_여_20~29세,"11,484",964,"1,548","1,453","4,125","1,078",292,349,125,70,307,"1,122",51
2020년10월_여_30~39세,"12,214","1,054","1,602","1,709","4,023","1,302",428,277,121,90,238,"1,320",50
2020년10월_여_40~49세,"18,303","1,439","2,337","2,559","7,450","1,441",441,348,184,104,446,"1,494",60
2020년10월_여_50~59세,"19,646","1,628","2,626","2,330","6,183","1,657",691,802,413,256,842,"2,065",153
2020년10월_여_60~69세,"14,079","1,182","1,923","1,465","3,133","1,244",794,783,498,391,879,"1,563",224
2020년10월_여_70~79세,"7,232",601,911,764,"1,365",607,476,486,269,298,497,814,144
2020년10월_여_80~89세,"4,331",324,575,474,724,335,251,322,211,242,333,430,110
2020년10월_여_90~99세,802,55,106,72,118,71,44,54,48,53,73,85,23
2020년10월_여_100세 이상,29,8,7,1,2,4,1,0,2,0,2,1,1
