카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년10월_계_총인구수,"262,566","25,754","36,007","20,955","6,019","5,575","3,358","3,746","3,027","10,130","6,645","20,177","36,835","29,822","16,234","38,282"
2020년10월_계_연령구간인구수,"262,566","25,754","36,007","20,955","6,019","5,575","3,358","3,746","3,027","10,130","6,645","20,177","36,835","29,822","16,234","38,282"
2020년10월_계_0~9세,"20,629","1,700","2,437","2,370",188,151,78,110,90,610,245,"2,041","2,900","3,294","1,077","3,338"
2020년10월_계_10~19세,"22,716","2,774","3,590","1,184",289,247,107,160,114,610,404,"2,005","4,036","2,234",808,"4,154"
2020년10월_계_20~29세,"35,844","3,811","5,328","3,151",525,484,205,273,261,"1,608","1,009","2,086","4,478","3,766","3,678","5,181"
2020년10월_계_30~39세,"33,155","2,595","3,915","4,195",501,418,207,214,195,"1,204",702,"2,764","4,042","4,491","2,830","4,882"
2020년10월_계_40~49세,"41,549","4,098","6,391","3,006",631,621,272,400,289,"1,341",831,"3,536","6,521","4,574","2,276","6,762"
2020년10월_계_50~59세,"44,664","4,250","6,861","2,833","1,203","1,068",621,734,607,"1,935","1,304","3,033","6,280","5,074","2,435","6,426"
2020년10월_계_60~69세,"34,414","3,274","3,956","2,296","1,375","1,259",852,860,698,"1,709","1,124","2,533","4,734","3,603","1,810","4,331"
2020년10월_계_70~79세,"19,286","2,090","2,267","1,226",807,834,594,553,484,769,650,"1,497","2,563","1,939",884,"2,129"
2020년10월_계_80~89세,"9,167","1,045","1,146",618,439,438,367,380,240,307,337,599,"1,138",759,391,963
2020년10월_계_90~99세,"1,075",105,109,72,54,52,53,59,47,35,36,74,138,85,43,113
2020년10월_계_100세 이상,67,12,7,4,7,3,2,3,2,2,3,9,5,3,2,3
2020년10월_남_총인구수,"132,200","12,929","18,749","11,109","3,220","2,829","1,765","1,940","1,534","4,929","3,297","9,925","17,649","14,324","8,840","19,161"
2020년10월_남_연령구간인구수,"132,200","12,929","18,749","11,109","3,220","2,829","1,765","1,940","1,534","4,929","3,297","9,925","17,649","14,324","8,840","19,161"
2020년10월_남_0~9세,"10,544",910,"1,249","1,246",108,75,38,54,47,303,132,"1,029","1,423","1,637",559,"1,734"
2020년10월_남_10~19세,"11,780","1,450","1,831",617,150,130,55,84,64,320,226,"1,084","1,983","1,123",440,"2,223"
2020년10월_남_20~29세,"19,678","2,129","3,042","1,740",317,276,139,165,159,844,544,"1,122","2,319","2,000","2,039","2,843"
2020년10월_남_30~39세,"17,780","1,416","2,216","2,370",281,264,132,129,107,621,408,"1,403","1,971","2,205","1,722","2,535"
2020년10월_남_40~49세,"21,257","1,998","3,298","1,730",386,382,176,237,169,644,421,"1,770","3,170","2,215","1,317","3,344"
2020년10월_남_50~59세,"22,458","2,185","3,701","1,458",689,525,347,410,332,914,655,"1,472","3,009","2,309","1,279","3,173"
2020년10월_남_60~69세,"16,803","1,574","2,045","1,164",733,653,471,476,344,818,538,"1,162","2,229","1,644",889,"2,063"
2020년10월_남_70~79세,"8,516",875,954,559,394,375,280,262,228,360,262,641,"1,092",867,453,914
2020년10월_남_80~89세,"3,135",366,379,208,149,140,119,111,70,98,102,224,419,300,135,315
2020년10월_남_90~99세,237,24,34,17,9,9,8,12,12,7,9,16,34,23,6,17
2020년10월_남_100세 이상,12,2,0,0,4,0,0,0,2,0,0,2,0,1,1,0
2020년10월_여_총인구수,"130,366","12,825","17,258","9,846","2,799","2,746","1,593","1,806","1,493","5,201","3,348","10,252","19,186","15,498","7,394","19,121"
2020년10월_여_연령구간인구수,"130,366","12,825","17,258","9,846","2,799","2,746","1,593","1,806","1,493","5,201","3,348","10,252","19,186","15,498","7,394","19,121"
2020년10월_여_0~9세,"10,085",790,"1,188","1,124",80,76,40,56,43,307,113,"1,012","1,477","1,657",518,"1,604"
2020년10월_여_10~19세,"10,936","1,324","1,759",567,139,117,52,76,50,290,178,921,"2,053","1,111",368,"1,931"
2020년10월_여_20~29세,"16,166","1,682","2,286","1,411",208,208,66,108,102,764,465,964,"2,159","1,766","1,639","2,338"
2020년10월_여_30~39세,"15,375","1,179","1,699","1,825",220,154,75,85,88,583,294,"1,361","2,071","2,286","1,108","2,347"
2020년10월_여_40~49세,"20,292","2,100","3,093","1,276",245,239,96,163,120,697,410,"1,766","3,351","2,359",959,"3,418"
2020년10월_여_50~59세,"22,206","2,065","3,160","1,375",514,543,274,324,275,"1,021",649,"1,561","3,271","2,765","1,156","3,253"
2020년10월_여_60~69세,"17,611","1,700","1,911","1,132",642,606,381,384,354,891,586,"1,371","2,505","1,959",921,"2,268"
2020년10월_여_70~79세,"10,770","1,215","1,313",667,413,459,314,291,256,409,388,856,"1,471","1,072",431,"1,215"
2020년10월_여_80~89세,"6,032",679,767,410,290,298,248,269,170,209,235,375,719,459,256,648
2020년10월_여_90~99세,838,81,75,55,45,43,45,47,35,28,27,58,104,62,37,96
2020년10월_여_100세 이상,55,10,7,4,3,3,2,3,0,2,3,7,5,2,1,3
