카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년03월_계_총인구수,"44,388","9,904","3,060","3,521","1,922","1,889","2,277","3,477","5,976","1,755","1,745","1,492","4,303","3,067"
2021년03월_계_연령구간인구수,"44,388","9,904","3,060","3,521","1,922","1,889","2,277","3,477","5,976","1,755","1,745","1,492","4,303","3,067"
2021년03월_계_0~9세,"1,784",564,89,102,48,54,66,91,351,20,64,64,151,120
2021년03월_계_10~19세,"2,809",873,202,188,89,73,120,145,446,71,83,136,228,155
2021년03월_계_20~29세,"3,314",963,229,196,126,115,151,261,457,85,96,70,258,307
2021년03월_계_30~39세,"2,718",830,121,152,93,100,110,182,423,75,103,84,231,214
2021년03월_계_40~49세,"4,851","1,338",354,335,180,152,225,331,780,139,146,125,380,366
2021년03월_계_50~59세,"8,268","1,799",699,717,331,345,400,654,"1,055",299,285,253,830,601
2021년03월_계_60~69세,"9,100","1,680",619,785,444,439,509,774,"1,120",385,393,391,975,586
2021년03월_계_70~79세,"6,346","1,142",454,572,300,293,355,583,726,348,301,219,643,410
2021년03월_계_80~89세,"4,408",621,249,399,273,272,275,384,520,274,236,125,512,268
2021년03월_계_90~99세,770,93,42,74,38,44,65,70,95,56,38,24,91,40
2021년03월_계_100세 이상,20,1,2,1,0,2,1,2,3,3,0,1,4,0
2021년03월_남_총인구수,"22,166","4,882","1,545","1,739",937,928,"1,134","1,770","2,965",858,854,781,"2,160","1,613"
2021년03월_남_연령구간인구수,"22,166","4,882","1,545","1,739",937,928,"1,134","1,770","2,965",858,854,781,"2,160","1,613"
2021년03월_남_0~9세,922,286,43,63,30,26,40,49,159,11,28,39,79,69
2021년03월_남_10~19세,"1,528",447,111,107,56,38,56,74,250,31,50,91,126,91
2021년03월_남_20~29세,"1,982",543,129,123,69,66,102,174,278,57,52,37,153,199
2021년03월_남_30~39세,"1,510",439,63,87,51,55,66,122,216,48,61,46,127,129
2021년03월_남_40~49세,"2,696",685,183,187,101,97,130,190,434,79,84,75,227,224
2021년03월_남_50~59세,"4,552",962,403,376,181,179,223,384,560,164,167,140,462,351
2021년03월_남_60~69세,"4,712",831,327,417,233,235,270,382,567,206,214,208,518,304
2021년03월_남_70~79세,"2,757",475,189,235,129,139,153,257,325,163,126,110,293,163
2021년03월_남_80~89세,"1,345",194,87,136,74,79,83,125,157,88,63,31,156,72
2021년03월_남_90~99세,157,20,9,8,13,12,11,13,19,10,9,4,18,11
2021년03월_남_100세 이상,5,0,1,0,0,2,0,0,0,1,0,0,1,0
2021년03월_여_총인구수,"22,222","5,022","1,515","1,782",985,961,"1,143","1,707","3,011",897,891,711,"2,143","1,454"
2021년03월_여_연령구간인구수,"22,222","5,022","1,515","1,782",985,961,"1,143","1,707","3,011",897,891,711,"2,143","1,454"
2021년03월_여_0~9세,862,278,46,39,18,28,26,42,192,9,36,25,72,51
2021년03월_여_10~19세,"1,281",426,91,81,33,35,64,71,196,40,33,45,102,64
2021년03월_여_20~29세,"1,332",420,100,73,57,49,49,87,179,28,44,33,105,108
2021년03월_여_30~39세,"1,208",391,58,65,42,45,44,60,207,27,42,38,104,85
2021년03월_여_40~49세,"2,155",653,171,148,79,55,95,141,346,60,62,50,153,142
2021년03월_여_50~59세,"3,716",837,296,341,150,166,177,270,495,135,118,113,368,250
2021년03월_여_60~69세,"4,388",849,292,368,211,204,239,392,553,179,179,183,457,282
2021년03월_여_70~79세,"3,589",667,265,337,171,154,202,326,401,185,175,109,350,247
2021년03월_여_80~89세,"3,063",427,162,263,199,193,192,259,363,186,173,94,356,196
2021년03월_여_90~99세,613,73,33,66,25,32,54,57,76,46,29,20,73,29
2021년03월_여_100세 이상,15,1,1,1,0,0,1,2,3,2,0,1,3,0
