카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년02월_계_총인구수,"175,623","13,750","7,384","5,347","3,349","8,156","15,525","9,436","5,098","7,379","6,237","19,390","18,938","8,913","16,166","30,555"
2021년02월_계_연령구간인구수,"175,623","13,750","7,384","5,347","3,349","8,156","15,525","9,436","5,098","7,379","6,237","19,390","18,938","8,913","16,166","30,555"
2021년02월_계_0~9세,"15,317",716,505,124,62,595,"2,924",515,134,249,360,"1,708","1,687",575,"1,396","3,767"
2021년02월_계_10~19세,"17,186","1,026",710,206,111,752,"1,190",760,257,453,470,"2,052","2,323",885,"1,996","3,995"
2021년02월_계_20~29세,"19,085","1,824",621,279,167,668,"1,664",856,285,711,559,"2,609","2,161","1,085","2,013","3,583"
2021년02월_계_30~39세,"21,971","1,501",626,266,148,952,"3,910",839,259,486,559,"2,721","2,173",887,"1,963","4,681"
2021년02월_계_40~49세,"27,843","1,981","1,122",490,294,"1,238","2,354","1,377",542,857,843,"3,304","3,410","1,444","2,876","5,711"
2021년02월_계_50~59세,"28,428","3,081","1,328",873,589,"1,373","1,621","1,711",861,"1,338",828,"3,170","3,236","1,538","2,572","4,309"
2021년02월_계_60~69세,"22,328","1,937","1,098","1,316",848,"1,251",985,"1,541","1,140","1,443","1,089","2,058","2,081","1,333","1,789","2,419"
2021년02월_계_70~79세,"13,974",974,767,"1,021",687,789,511,"1,038",931,"1,125",842,"1,088","1,175",759,979,"1,288"
2021년02월_계_80~89세,"8,197",610,538,681,388,457,315,703,602,621,599,575,587,347,506,668
2021년02월_계_90~99세,"1,237",98,65,90,53,80,48,93,84,93,82,95,97,53,75,131
2021년02월_계_100세 이상,57,2,4,1,2,1,3,3,3,3,6,10,8,7,1,3
2021년02월_남_총인구수,"91,471","7,969","3,787","2,722","1,710","4,384","8,150","4,865","2,591","3,823","3,228","10,048","9,877","4,542","8,150","15,625"
2021년02월_남_연령구간인구수,"91,471","7,969","3,787","2,722","1,710","4,384","8,150","4,865","2,591","3,823","3,228","10,048","9,877","4,542","8,150","15,625"
2021년02월_남_0~9세,"7,845",363,271,57,38,291,"1,516",266,75,128,188,911,887,307,684,"1,863"
2021년02월_남_10~19세,"9,139",553,377,113,54,395,602,420,135,253,248,"1,079","1,374",464,954,"2,118"
2021년02월_남_20~29세,"11,313","1,255",375,175,103,416,930,504,176,438,377,"1,485","1,276",627,"1,133","2,043"
2021년02월_남_30~39세,"12,205","1,013",330,168,88,603,"2,092",460,143,290,325,"1,518","1,166",496,"1,103","2,410"
2021년02월_남_40~49세,"14,899","1,189",586,309,185,728,"1,313",767,332,504,493,"1,694","1,687",751,"1,450","2,911"
2021년02월_남_50~59세,"15,203","1,850",747,477,330,738,832,916,476,723,448,"1,643","1,669",800,"1,337","2,217"
2021년02월_남_60~69세,"11,191","1,070",553,663,421,665,516,773,557,722,524,"1,000","1,019",623,875,"1,210"
2021년02월_남_70~79세,"6,532",463,352,483,348,374,237,490,456,528,382,491,557,333,436,602
2021년02월_남_80~89세,"2,890",187,181,258,135,159,103,254,223,220,223,211,220,124,164,228
2021년02월_남_90~99세,247,26,15,19,8,15,8,15,17,17,19,16,20,16,14,22
2021년02월_남_100세 이상,7,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1
2021년02월_여_총인구수,"84,152","5,781","3,597","2,625","1,639","3,772","7,375","4,571","2,507","3,556","3,009","9,342","9,061","4,371","8,016","14,930"
2021년02월_여_연령구간인구수,"84,152","5,781","3,597","2,625","1,639","3,772","7,375","4,571","2,507","3,556","3,009","9,342","9,061","4,371","8,016","14,930"
2021년02월_여_0~9세,"7,472",353,234,67,24,304,"1,408",249,59,121,172,797,800,268,712,"1,904"
2021년02월_여_10~19세,"8,047",473,333,93,57,357,588,340,122,200,222,973,949,421,"1,042","1,877"
2021년02월_여_20~29세,"7,772",569,246,104,64,252,734,352,109,273,182,"1,124",885,458,880,"1,540"
2021년02월_여_30~39세,"9,766",488,296,98,60,349,"1,818",379,116,196,234,"1,203","1,007",391,860,"2,271"
2021년02월_여_40~49세,"12,944",792,536,181,109,510,"1,041",610,210,353,350,"1,610","1,723",693,"1,426","2,800"
2021년02월_여_50~59세,"13,225","1,231",581,396,259,635,789,795,385,615,380,"1,527","1,567",738,"1,235","2,092"
2021년02월_여_60~69세,"11,137",867,545,653,427,586,469,768,583,721,565,"1,058","1,062",710,914,"1,209"
2021년02월_여_70~79세,"7,442",511,415,538,339,415,274,548,475,597,460,597,618,426,543,686
2021년02월_여_80~89세,"5,307",423,357,423,253,298,212,449,379,401,376,364,367,223,342,440
2021년02월_여_90~99세,990,72,50,71,45,65,40,78,67,76,63,79,77,37,61,109
2021년02월_여_100세 이상,50,2,4,1,2,1,2,3,2,3,5,10,6,6,1,2
