카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년07월_계_총인구수,"90,039","30,467","3,818","19,901","4,975","5,128","3,390","3,124","12,864","3,535","2,837"
2021년07월_계_연령구간인구수,"90,039","30,467","3,818","19,901","4,975","5,128","3,390","3,124","12,864","3,535","2,837"
2021년07월_계_0~9세,"6,409","2,650",134,"1,515",174,287,94,91,"1,221",165,78
2021년07월_계_10~19세,"8,566","3,200",212,"2,552",323,430,155,162,"1,175",187,170
2021년07월_계_20~29세,"9,363","3,408",523,"2,329",445,488,252,182,"1,270",259,207
2021년07월_계_30~39세,"8,844","3,502",274,"1,959",340,411,189,173,"1,546",262,188
2021년07월_계_40~49세,"14,333","5,090",500,"3,782",649,710,412,392,"2,066",425,307
2021년07월_계_50~59세,"15,611","5,079",653,"3,596",892,936,559,514,"2,191",619,572
2021년07월_계_60~69세,"14,429","4,608",746,"2,371","1,093",930,794,696,"1,841",732,618
2021년07월_계_70~79세,"7,983","1,948",449,"1,183",714,646,594,568,936,522,423
2021년07월_계_80~89세,"3,936",845,279,542,304,267,297,323,534,312,233
2021년07월_계_90~99세,551,137,46,72,40,21,42,22,82,50,39
2021년07월_계_100세 이상,14,0,2,0,1,2,2,1,2,2,2
2021년07월_남_총인구수,"45,732","15,168","2,081","10,302","2,429","2,598","1,724","1,552","6,615","1,774","1,489"
2021년07월_남_연령구간인구수,"45,732","15,168","2,081","10,302","2,429","2,598","1,724","1,552","6,615","1,774","1,489"
2021년07월_남_0~9세,"3,296","1,369",63,777,99,146,46,52,622,81,41
2021년07월_남_10~19세,"4,461","1,601",123,"1,367",177,225,83,89,608,96,92
2021년07월_남_20~29세,"5,519","1,959",358,"1,395",245,279,155,99,741,157,131
2021년07월_남_30~39세,"4,747","1,849",162,"1,037",169,217,128,100,818,146,121
2021년07월_남_40~49세,"7,466","2,517",296,"1,879",360,413,248,233,"1,084",253,183
2021년07월_남_50~59세,"8,115","2,436",370,"1,915",441,494,309,297,"1,183",325,345
2021년07월_남_60~69세,"6,976","2,202",372,"1,159",517,433,371,320,918,367,317
2021년07월_남_70~79세,"3,607",909,214,545,309,286,272,226,440,234,172
2021년07월_남_80~89세,"1,438",295,112,214,107,99,102,130,192,108,79
2021년07월_남_90~99세,105,31,11,14,5,5,10,6,9,7,7
2021년07월_남_100세 이상,2,0,0,0,0,1,0,0,0,0,1
2021년07월_여_총인구수,"44,307","15,299","1,737","9,599","2,546","2,530","1,666","1,572","6,249","1,761","1,348"
2021년07월_여_연령구간인구수,"44,307","15,299","1,737","9,599","2,546","2,530","1,666","1,572","6,249","1,761","1,348"
2021년07월_여_0~9세,"3,113","1,281",71,738,75,141,48,39,599,84,37
2021년07월_여_10~19세,"4,105","1,599",89,"1,185",146,205,72,73,567,91,78
2021년07월_여_20~29세,"3,844","1,449",165,934,200,209,97,83,529,102,76
2021년07월_여_30~39세,"4,097","1,653",112,922,171,194,61,73,728,116,67
2021년07월_여_40~49세,"6,867","2,573",204,"1,903",289,297,164,159,982,172,124
2021년07월_여_50~59세,"7,496","2,643",283,"1,681",451,442,250,217,"1,008",294,227
2021년07월_여_60~69세,"7,453","2,406",374,"1,212",576,497,423,376,923,365,301
2021년07월_여_70~79세,"4,376","1,039",235,638,405,360,322,342,496,288,251
2021년07월_여_80~89세,"2,498",550,167,328,197,168,195,193,342,204,154
2021년07월_여_90~99세,446,106,35,58,35,16,32,16,73,43,32
2021년07월_여_100세 이상,12,0,2,0,1,1,2,1,2,2,1
