,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년08월_계_총인구수,"46,139","20,231","3,239","4,253","2,232","1,899","2,344","3,171",984,"2,766","1,833","3,187"
2021년08월_계_연령구간인구수,"46,139","20,231","3,239","4,253","2,232","1,899","2,344","3,171",984,"2,766","1,833","3,187"
2021년08월_계_0~9세,"2,177","1,455",89,157,41,51,62,98,27,71,35,91
2021년08월_계_10~19세,"3,235","1,958",154,295,100,87,103,172,51,102,81,132
2021년08월_계_20~29세,"3,991","2,413",215,267,139,106,104,292,41,143,95,176
2021년08월_계_30~39세,"3,049","1,853",157,246,84,73,93,158,29,117,66,173
2021년08월_계_40~49세,"5,015","2,901",284,399,201,145,168,255,68,182,161,251
2021년08월_계_50~59세,"8,076","3,422",616,762,427,332,374,608,192,458,332,553
2021년08월_계_60~69세,"9,690","3,149",846,"1,022",550,486,632,738,250,767,425,825
2021년08월_계_70~79세,"6,390","1,949",486,651,405,321,457,501,172,511,357,580
2021년08월_계_80~89세,"3,970","1,017",342,410,247,265,296,318,136,350,230,359
2021년08월_계_90~99세,532,111,48,44,36,32,53,31,17,63,51,46
2021년08월_계_100세 이상,14,3,2,0,2,1,2,0,1,2,0,1
2021년08월_남_총인구수,"23,006","10,002","1,647","2,138","1,107",943,"1,149","1,623",488,"1,393",914,"1,602"
2021년08월_남_연령구간인구수,"23,006","10,002","1,647","2,138","1,107",943,"1,149","1,623",488,"1,393",914,"1,602"
2021년08월_남_0~9세,"1,107",729,46,87,20,26,26,44,15,43,23,48
2021년08월_남_10~19세,"1,682","1,018",75,156,51,46,61,98,28,42,40,67
2021년08월_남_20~29세,"2,262","1,306",118,156,81,67,61,193,22,95,57,106
2021년08월_남_30~39세,"1,619",943,98,131,46,44,51,91,18,64,43,90
2021년08월_남_40~49세,"2,707","1,468",155,223,119,90,98,153,38,116,98,149
2021년08월_남_50~59세,"4,316","1,773",340,417,234,180,219,330,111,250,172,290
2021년08월_남_60~69세,"4,993","1,562",454,531,272,252,327,382,139,399,240,435
2021년08월_남_70~79세,"2,828",837,241,283,189,139,200,218,69,235,148,269
2021년08월_남_80~89세,"1,373",346,110,147,86,91,97,107,44,135,80,130
2021년08월_남_90~99세,116,20,10,7,8,8,8,7,4,14,13,17
2021년08월_남_100세 이상,3,0,0,0,1,0,1,0,0,0,0,1
2021년08월_여_총인구수,"23,133","10,229","1,592","2,115","1,125",956,"1,195","1,548",496,"1,373",919,"1,585"
2021년08월_여_연령구간인구수,"23,133","10,229","1,592","2,115","1,125",956,"1,195","1,548",496,"1,373",919,"1,585"
2021년08월_여_0~9세,"1,070",726,43,70,21,25,36,54,12,28,12,43
2021년08월_여_10~19세,"1,553",940,79,139,49,41,42,74,23,60,41,65
2021년08월_여_20~29세,"1,729","1,107",97,111,58,39,43,99,19,48,38,70
2021년08월_여_30~39세,"1,430",910,59,115,38,29,42,67,11,53,23,83
2021년08월_여_40~49세,"2,308","1,433",129,176,82,55,70,102,30,66,63,102
2021년08월_여_50~59세,"3,760","1,649",276,345,193,152,155,278,81,208,160,263
2021년08월_여_60~69세,"4,697","1,587",392,491,278,234,305,356,111,368,185,390
2021년08월_여_70~79세,"3,562","1,112",245,368,216,182,257,283,103,276,209,311
2021년08월_여_80~89세,"2,597",671,232,263,161,174,199,211,92,215,150,229
2021년08월_여_90~99세,416,91,38,37,28,24,45,24,13,49,38,29
2021년08월_여_100세 이상,11,3,2,0,1,1,1,0,1,2,0,0
