카테고리,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년09월_계_총인구수,"395,997","25,005","19,037","14,164","34,618","22,330","25,682","24,884","19,776","20,308","25,922","35,622","19,480","30,467","17,231","40,091","21,380"
2020년09월_계_연령구간인구수,"395,997","25,005","19,037","14,164","34,618","22,330","25,682","24,884","19,776","20,308","25,922","35,622","19,480","30,467","17,231","40,091","21,380"
2020년09월_계_0~9세,"23,628","1,318","1,062","1,259","1,693","1,198","1,145","1,908",785,"1,302","1,107","2,479","1,140","1,482",826,"3,496","1,428"
2020년09월_계_10~19세,"27,292","1,642","1,240",903,"2,039","1,297","1,556","2,036",842,"1,346","1,228","3,204","1,233","1,931","1,202","3,824","1,769"
2020년09월_계_20~29세,"56,186","3,424","2,500","1,731","5,210","3,123","3,800","3,617","3,968","2,945","3,850","5,029","2,752","4,249","2,333","5,005","2,650"
2020년09월_계_30~39세,"58,549","3,375","2,694","2,548","5,398","3,412","3,658","3,654","4,093","3,272","3,756","4,997","3,155","4,097","2,194","5,274","2,972"
2020년09월_계_40~49세,"58,307","3,781","2,980","2,170","5,129","3,194","3,588","3,593","2,619","2,840","3,579","5,948","2,935","4,156","2,475","6,055","3,265"
2020년09월_계_50~59세,"69,972","4,939","3,304","2,405","6,391","3,969","4,702","4,479","3,122","3,412","5,069","5,602","3,196","5,774","3,364","6,653","3,591"
2020년09월_계_60~69세,"57,481","3,628","2,839","1,819","4,854","3,470","3,992","3,254","2,471","3,052","4,094","4,653","2,930","4,981","2,714","5,502","3,228"
2020년09월_계_70~79세,"31,226","2,051","1,813",960,"2,796","1,924","2,298","1,603","1,341","1,508","2,283","2,584","1,535","2,628","1,459","2,813","1,630"
2020년09월_계_80~89세,"11,558",721,510,333,965,645,829,651,453,558,850,977,530,998,562,"1,228",748
2020년09월_계_90~99세,"1,590",114,85,31,115,86,103,86,71,68,88,126,62,152,87,222,94
2020년09월_계_100세 이상,208,12,10,5,28,12,11,3,11,5,18,23,12,19,15,19,5
2020년09월_남_총인구수,"195,981","12,480","9,500","7,133","17,238","11,203","12,757","12,188","9,635","9,952","13,317","17,277","9,577","15,316","8,673","19,525","10,210"
2020년09월_남_연령구간인구수,"195,981","12,480","9,500","7,133","17,238","11,203","12,757","12,188","9,635","9,952","13,317","17,277","9,577","15,316","8,673","19,525","10,210"
2020년09월_남_0~9세,"12,194",671,560,612,874,658,569,"1,008",398,686,591,"1,275",585,765,429,"1,786",727
2020년09월_남_10~19세,"13,968",811,664,471,"1,004",684,813,"1,073",451,667,655,"1,616",639,968,570,"1,979",903
