카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년06월_계_총인구수,"370,132","25,273","37,296","21,325","21,687","14,392","15,978","22,663","24,930","24,997","17,590","20,468","18,746","15,198","19,033","39,806","30,750"
2021년06월_계_연령구간인구수,"370,132","25,273","37,296","21,325","21,687","14,392","15,978","22,663","24,930","24,997","17,590","20,468","18,746","15,198","19,033","39,806","30,750"
2021년06월_계_0~9세,"24,276","2,741","2,232","1,451","2,172",649,"1,413","1,691","1,778",805,980,995,"1,130",587,897,"2,386","2,369"
2021년06월_계_10~19세,"28,115","1,669","2,244","1,570","2,045",841,"1,467","1,850","1,747","1,199",927,"1,305","1,548",775,"1,430","3,390","4,108"
2021년06월_계_20~29세,"61,815","3,092","6,234","2,902","2,210","3,521","2,342","3,361","5,014","6,259","3,345","3,407","2,825","3,230","3,148","6,605","4,320"
2021년06월_계_30~39세,"63,856","4,947","6,487","3,608","3,674","2,400","2,525","3,639","4,127","5,344","3,628","3,864","2,926","3,033","3,269","6,576","3,809"
2021년06월_계_40~49세,"60,539","4,290","5,352","3,126","4,358","2,046","2,953","3,811","3,949","3,682","2,626","3,191","3,207","2,261","3,299","6,419","5,969"
2021년06월_계_50~59세,"54,490","3,792","6,253","3,446","3,004","2,046","2,373","3,578","3,641","3,065","2,348","2,966","2,811","1,976","2,844","5,823","4,524"
2021년06월_계_60~69세,"40,492","2,794","4,562","2,726","2,218","1,495","1,494","2,488","2,532","2,280","1,937","2,437","2,197","1,712","2,236","4,339","3,045"
2021년06월_계_70~79세,"23,645","1,182","2,497","1,516","1,276",859,892,"1,461","1,366","1,490","1,182","1,564","1,456","1,034","1,302","2,870","1,698"
2021년06월_계_80~89세,"11,223",656,"1,273",851,627,455,453,684,681,735,534,651,579,505,550,"1,204",785
2021년06월_계_90~99세,"1,574",100,149,128,100,69,54,95,93,129,80,83,61,80,55,186,112
2021년06월_계_100세 이상,107,10,13,1,3,11,12,5,2,9,3,5,6,5,3,8,11
2021년06월_남_총인구수,"174,200","11,854","17,569","10,223","10,213","6,936","7,725","10,994","11,863","11,445","8,145","9,612","8,816","7,180","8,938","18,065","14,622"
2021년06월_남_연령구간인구수,"174,200","11,854","17,569","10,223","10,213","6,936","7,725","10,994","11,863","11,445","8,145","9,612","8,816","7,180","8,938","18,065","14,622"
2021년06월_남_0~9세,"12,367","1,336","1,173",789,"1,050",346,713,850,934,402,500,508,583,289,439,"1,196","1,259"
2021년06월_남_10~19세,"14,157",808,"1,116",812,992,449,741,984,881,574,454,650,763,415,697,"1,769","2,052"
2021년06월_남_20~29세,"27,774","1,347","2,719","1,407","1,018","1,580","1,117","1,711","2,345","2,662","1,458","1,579","1,290","1,488","1,485","2,643","1,925"
2021년06월_남_30~39세,"30,165","2,274","3,120","1,738","1,687","1,207","1,197","1,772","1,959","2,485","1,732","1,844","1,374","1,492","1,579","2,972","1,733"
2021년06월_남_40~49세,"29,380","2,159","2,644","1,515","2,086","1,020","1,493","1,778","1,877","1,799","1,269","1,542","1,579","1,129","1,574","3,072","2,844"
2021년06월_남_50~59세,"26,759","1,830","3,067","1,643","1,510","1,067","1,199","1,794","1,758","1,487","1,104","1,463","1,375",934,"1,347","2,839","2,342"
2021년06월_남_60~69세,"18,831","1,339","2,194","1,286","1,053",716,713,"1,192","1,220","1,038",892,"1,104",965,769,"1,012","1,957","1,381"
2021년06월_남_70~79세,"9,965",485,"1,042",688,546,350,345,604,581,644,513,657,628,439,555,"1,138",750
2021년06월_남_80~89세,"4,327",248,450,317,243,180,187,277,279,309,198,238,237,195,233,432,304
2021년06월_남_90~99세,439,26,42,28,28,17,17,30,29,39,24,25,20,28,15,42,29
2021년06월_남_100세 이상,36,2,2,0,0,4,3,2,0,6,1,2,2,2,2,5,3
2021년06월_여_총인구수,"195,932","13,419","19,727","11,102","11,474","7,456","8,253","11,669","13,067","13,552","9,445","10,856","9,930","8,018","10,095","21,741","16,128"
