,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년09월_계_총인구수,"322,893","6,450","80,994","4,197","24,227","20,264","22,360","5,499","6,294","3,076","4,434","19,723","9,362","10,726","36,453","18,547","21,426","28,861"
2021년09월_계_연령구간인구수,"322,893","6,450","80,994","4,197","24,227","20,264","22,360","5,499","6,294","3,076","4,434","19,723","9,362","10,726","36,453","18,547","21,426","28,861"
2021년09월_계_0~9세,"31,892",326,"9,750",176,"3,178","2,461","2,491",133,279,61,104,"1,427",879,409,"3,671","1,426","2,020","3,101"
2021년09월_계_10~19세,"35,266",493,"9,721",360,"3,372","1,820","1,508",264,374,107,172,"2,041",722,770,"4,877","2,362","2,747","3,556"
2021년09월_계_20~29세,"37,423",538,"10,200",288,"3,132","2,094","2,432",408,513,171,335,"2,440","1,110","1,668","4,442","2,096","2,714","2,842"
2021년09월_계_30~39세,"48,413",590,"14,944",264,"4,360","3,524","4,724",407,582,179,297,"2,082","1,673","1,207","4,803","2,048","2,777","3,952"
2021년09월_계_40~49세,"57,755",885,"15,443",525,"5,252","3,534","3,724",540,898,241,386,"3,394","1,521","1,453","6,964","3,377","4,022","5,596"
2021년09월_계_50~59세,"47,813","1,119","10,682",742,"2,721","2,839","3,103",961,"1,195",509,831,"3,287","1,301","1,996","5,438","3,221","3,452","4,416"
2021년09월_계_60~69세,"34,553","1,207","6,061",854,"1,234","2,333","2,480","1,290","1,193",774,"1,030","2,588","1,150","1,725","3,481","2,193","2,033","2,927"
2021년09월_계_70~79세,"18,255",717,"2,713",570,597,997,"1,152",841,676,571,712,"1,524",661,961,"1,792","1,182","1,062","1,527"
2021년09월_계_80~89세,"10,085",508,"1,283",356,330,570,640,571,513,409,509,836,289,464,865,561,532,849
2021년09월_계_90~99세,"1,382",64,187,57,51,91,103,82,71,52,56,100,53,69,114,78,62,92
2021년09월_계_100세 이상,56,3,10,5,0,1,3,2,0,2,2,4,3,4,6,3,5,3
2021년09월_남_총인구수,"167,891","3,399","41,556","2,146","13,084","10,990","12,623","2,911","3,509","1,587","2,266","10,332","4,900","5,572","18,234","9,458","10,988","14,336"
2021년09월_남_연령구간인구수,"167,891","3,399","41,556","2,146","13,084","10,990","12,623","2,911","3,509","1,587","2,266","10,332","4,900","5,572","18,234","9,458","10,988","14,336"
2021년09월_남_0~9세,"16,364",171,"4,987",91,"1,629","1,221","1,305",63,147,35,47,743,436,197,"1,894",767,"1,085","1,546"
2021년09월_남_10~19세,"18,144",259,"5,007",190,"1,744",952,759,152,204,57,85,"1,023",392,401,"2,444","1,240","1,445","1,790"
2021년09월_남_20~29세,"20,862",330,"5,349",157,"1,799","1,328","1,476",255,327,92,193,"1,436",590,958,"2,348","1,193","1,532","1,499"
2021년09월_남_30~39세,"25,869",356,"7,736",142,"2,285","1,920","2,835",246,383,114,172,"1,128",924,731,"2,405","1,071","1,462","1,959"
2021년09월_남_40~49세,"31,313",518,"8,117",292,"2,977","2,093","2,367",328,572,156,238,"1,832",875,792,"3,561","1,729","2,033","2,833"
2021년09월_남_50~59세,"25,930",615,"5,629",413,"1,628","1,579","1,776",551,726,301,463,"1,827",702,"1,030","2,850","1,680","1,785","2,375"
2021년09월_남_60~69세,"17,361",614,"3,017",444,630,"1,206","1,336",706,643,377,541,"1,350",574,835,"1,624","1,063",980,"1,421"
2021년09월_남_70~79세,"8,173",338,"1,232",282,262,488,540,384,311,283,323,668,300,437,761,501,444,619
2021년09월_남_80~89세,"3,560",186,439,123,121,186,208,206,180,158,190,300,99,171,317,197,208,271
2021년09월_남_90~99세,305,12,38,12,9,17,20,19,16,13,14,25,8,19,30,17,14,22
2021년09월_남_100세 이상,10,0,5,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
2021년09월_여_총인구수,"155,002","3,051","39,438","2,051","11,143","9,274","9,737","2,588","2,785","1,489","2,168","9,391","4,462","5,154","18,219","9,089","10,438","14,525"
2021년09월_여_연령구간인구수,"155,002","3,051","39,438","2,051","11,143","9,274","9,737","2,588","2,785","1,489","2,168","9,391","4,462","5,154","18,219","9,089","10,438","14,525"
2021년09월_여_0~9세,"15,528",155,"4,763",85,"1,549","1,240","1,186",70,132,26,57,684,443,212,"1,777",659,935,"1,555"
2021년09월_여_10~19세,"17,122",234,"4,714",170,"1,628",868,749,112,170,50,87,"1,018",330,369,"2,433","1,122","1,302","1,766"
2021년09월_여_20~29세,"16,561",208,"4,851",131,"1,333",766,956,153,186,79,142,"1,004",520,710,"2,094",903,"1,182","1,343"
2021년09월_여_30~39세,"22,544",234,"7,208",122,"2,075","1,604","1,889",161,199,65,125,954,749,476,"2,398",977,"1,315","1,993"
2021년09월_여_40~49세,"26,442",367,"7,326",233,"2,275","1,441","1,357",212,326,85,148,"1,562",646,661,"3,403","1,648","1,989","2,763"
2021년09월_여_50~59세,"21,883",504,"5,053",329,"1,093","1,260","1,327",410,469,208,368,"1,460",599,966,"2,588","1,541","1,667","2,041"
2021년09월_여_60~69세,"17,192",593,"3,044",410,604,"1,127","1,144",584,550,397,489,"1,238",576,890,"1,857","1,130","1,053","1,506"
2021년09월_여_70~79세,"10,082",379,"1,481",288,335,509,612,457,365,288,389,856,361,524,"1,031",681,618,908
2021년09월_여_80~89세,"6,525",322,844,233,209,384,432,365,333,251,319,536,190,293,548,364,324,578
2021년09월_여_90~99세,"1,077",52,149,45,42,74,83,63,55,39,42,75,45,50,84,61,48,70
2021년09월_여_100세 이상,46,3,5,5,0,1,2,1,0,1,2,4,3,3,6,3,5,2
