카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년08월_계_총인구수,"355,138","15,942","9,872","20,707","22,165","20,215","12,216","21,989","20,898","22,912","17,660","23,229","10,339","11,375","19,290","16,906","16,829","11,120","28,970","12,019","20,485"
2021년08월_계_연령구간인구수,"355,138","15,942","9,872","20,707","22,165","20,215","12,216","21,989","20,898","22,912","17,660","23,229","10,339","11,375","19,290","16,906","16,829","11,120","28,970","12,019","20,485"
2021년08월_계_0~9세,"20,487",638,625,"1,399","1,270","1,150",516,"1,410",909,"1,923","1,110","1,133",728,634,828,972,"1,177",593,"1,760",501,"1,211"
2021년08월_계_10~19세,"24,296",572,465,"1,809","1,563","1,476",548,"1,294","1,142","1,879","1,845","1,869",682,874,"1,178","1,368",998,830,"2,421",453,"1,030"
2021년08월_계_20~29세,"51,877","3,560","1,927","2,083","2,192","2,849","2,938","4,638","3,449","2,554","1,955","2,826","1,318","1,239","3,064","2,081","3,156","1,520","3,535","2,477","2,516"
2021년08월_계_30~39세,"47,354","2,559","1,715","2,256","2,403","2,468","2,189","4,302","2,952","3,037","1,636","2,315","1,641","1,246","2,200","1,813","2,668","1,136","3,327","2,339","3,152"
2021년08월_계_40~49세,"50,542","1,791","1,493","3,291","3,114","2,929","1,651","3,084","2,895","3,747","2,823","3,286","1,476","1,685","2,615","2,351","2,394","1,472","4,128","1,539","2,778"
2021년08월_계_50~59세,"56,939","2,481","1,495","3,269","3,616","3,536","1,518","2,713","3,019","3,754","3,276","4,280","1,470","2,183","3,208","2,813","2,493","1,915","5,133","1,653","3,114"
2021년08월_계_60~69세,"57,161","2,433","1,336","3,538","4,071","3,156","1,498","2,400","3,390","3,330","2,874","4,236","1,675","1,978","3,443","3,011","2,190","1,964","5,240","1,684","3,714"
2021년08월_계_70~79세,"31,502","1,295",553,"2,096","2,693","1,730",899,"1,413","2,118","1,904","1,494","2,148",928,"1,050","1,946","1,756","1,193","1,150","2,273",885,"1,978"
2021년08월_계_80~89세,"13,432",559,221,858,"1,113",825,412,656,940,708,576,997,388,438,739,655,511,496,"1,034",428,878
2021년08월_계_90~99세,"1,486",54,41,106,124,94,44,76,83,72,67,137,33,48,69,80,49,44,117,58,90
2021년08월_계_100세 이상,62,0,1,2,6,2,3,3,1,4,4,2,0,0,0,6,0,0,2,2,24
2021년08월_남_총인구수,"171,257","7,994","4,904","9,776","10,698","9,528","5,575","10,537","9,821","11,235","8,679","11,100","4,927","5,564","9,650","8,188","8,068","5,437","13,976","5,679","9,921"
2021년08월_남_연령구간인구수,"171,257","7,994","4,904","9,776","10,698","9,528","5,575","10,537","9,821","11,235","8,679","11,100","4,927","5,564","9,650","8,188","8,068","5,437","13,976","5,679","9,921"
2021년08월_남_0~9세,"10,371",309,334,682,658,574,267,712,472,"1,022",571,549,360,327,401,488,606,277,902,233,627
2021년08월_남_10~19세,"12,298",303,226,918,859,738,258,644,578,949,932,949,349,431,596,695,465,426,"1,207",228,547
2021년08월_남_20~29세,"25,175","1,585",920,"1,083","1,154","1,393","1,153","2,033","1,584","1,312","1,081","1,532",628,668,"1,671","1,103","1,400",813,"1,855","1,058","1,149"
2021년08월_남_30~39세,"24,163","1,382",894,"1,153","1,225","1,194","1,030","2,205","1,487","1,501",840,"1,198",822,652,"1,185",929,"1,351",616,"1,657","1,192","1,650"
2021년08월_남_40~49세,"25,611","1,008",803,"1,565","1,571","1,435",839,"1,596","1,405","1,887","1,354","1,608",741,857,"1,432","1,161","1,251",750,"2,068",783,"1,497"
2021년08월_남_50~59세,"27,650","1,352",734,"1,528","1,753","1,679",775,"1,327","1,458","1,827","1,622","2,010",699,"1,064","1,598","1,330","1,240",938,"2,384",831,"1,501"
2021년08월_남_60~69세,"26,787","1,239",649,"1,567","1,826","1,487",696,"1,145","1,538","1,598","1,371","1,990",744,954,"1,609","1,367",995,924,"2,510",805,"1,773"
2021년08월_남_70~79세,"13,991",597,259,920,"1,202",718,385,615,923,873,690,913,416,452,879,822,554,505,"1,033",378,857
2021년08월_남_80~89세,"4,897",210,75,333,423,281,162,242,366,249,210,328,162,152,271,270,197,180,337,155,294
2021년08월_남_90~99세,302,9,10,26,26,28,9,18,10,16,8,23,6,7,8,23,9,8,23,15,20
2021년08월_남_100세 이상,12,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6
2021년08월_여_총인구수,"183,881","7,948","4,968","10,931","11,467","10,687","6,641","11,452","11,077","11,677","8,981","12,129","5,412","5,811","9,640","8,718","8,761","5,683","14,994","6,340","10,564"
2021년08월_여_연령구간인구수,"183,881","7,948","4,968","10,931","11,467","10,687","6,641","11,452","11,077","11,677","8,981","12,129","5,412","5,811","9,640","8,718","8,761","5,683","14,994","6,340","10,564"
2021년08월_여_0~9세,"10,116",329,291,717,612,576,249,698,437,901,539,584,368,307,427,484,571,316,858,268,584
2021년08월_여_10~19세,"11,998",269,239,891,704,738,290,650,564,930,913,920,333,443,582,673,533,404,"1,214",225,483
2021년08월_여_20~29세,"26,702","1,975","1,007","1,000","1,038","1,456","1,785","2,605","1,865","1,242",874,"1,294",690,571,"1,393",978,"1,756",707,"1,680","1,419","1,367"
2021년08월_여_30~39세,"23,191","1,177",821,"1,103","1,178","1,274","1,159","2,097","1,465","1,536",796,"1,117",819,594,"1,015",884,"1,317",520,"1,670","1,147","1,502"
2021년08월_여_40~49세,"24,931",783,690,"1,726","1,543","1,494",812,"1,488","1,490","1,860","1,469","1,678",735,828,"1,183","1,190","1,143",722,"2,060",756,"1,281"
2021년08월_여_50~59세,"29,289","1,129",761,"1,741","1,863","1,857",743,"1,386","1,561","1,927","1,654","2,270",771,"1,119","1,610","1,483","1,253",977,"2,749",822,"1,613"
2021년08월_여_60~69세,"30,374","1,194",687,"1,971","2,245","1,669",802,"1,255","1,852","1,732","1,503","2,246",931,"1,024","1,834","1,644","1,195","1,040","2,730",879,"1,941"
2021년08월_여_70~79세,"17,511",698,294,"1,176","1,491","1,012",514,798,"1,195","1,031",804,"1,235",512,598,"1,067",934,639,645,"1,240",507,"1,121"
2021년08월_여_80~89세,"8,535",349,146,525,690,544,250,414,574,459,366,669,226,286,468,385,314,316,697,273,584
2021년08월_여_90~99세,"1,184",45,31,80,98,66,35,58,73,56,59,114,27,41,61,57,40,36,94,43,70
2021년08월_여_100세 이상,50,0,1,1,5,1,2,3,1,3,4,2,0,0,0,6,0,0,2,1,18
