카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년11월_계_총인구수,"284,872","14,768","26,326","20,470","39,164","42,787","15,484","30,475","12,389","12,480","11,139","12,855","27,317","19,218"
2020년11월_계_연령구간인구수,"284,872","14,768","26,326","20,470","39,164","42,787","15,484","30,475","12,389","12,480","11,139","12,855","27,317","19,218"
2020년11월_계_0~9세,"19,107",752,"1,455",981,"2,186","4,113",975,"2,626",475,467,468,964,"2,346","1,299"
2020년11월_계_10~19세,"23,492",713,"1,783","1,556","3,235","4,554","1,256","3,999",569,649,644,785,"2,394","1,355"
2020년11월_계_20~29세,"37,816","2,059","3,706","2,984","4,577","5,952","2,289","4,029","1,568","1,921","1,433","1,519","3,302","2,477"
2020년11월_계_30~39세,"33,763","1,996","3,323","2,058","3,890","5,531","1,695","3,171","1,521","1,535","1,183","2,041","3,407","2,412"
2020년11월_계_40~49세,"40,622","1,767","3,493","2,935","5,331","6,661","2,006","5,503","1,505","1,539","1,484","1,591","4,258","2,549"
2020년11월_계_50~59세,"54,348","2,934","5,307","4,339","7,649","8,422","3,239","5,494","2,271","2,363","1,991","2,228","4,639","3,472"
2020년11월_계_60~69세,"45,180","2,695","4,466","3,488","6,603","5,134","2,350","3,161","2,490","2,361","2,145","2,272","4,388","3,627"
2020년11월_계_70~79세,"21,265","1,298","2,008","1,573","3,636","1,749","1,114","1,712","1,324","1,145","1,268","1,067","1,889","1,482"
2020년11월_계_80~89세,"8,153",484,691,494,"1,855",585,449,697,593,435,468,336,599,467
2020년11월_계_90~99세,"1,026",65,77,58,199,81,73,82,69,61,49,47,88,77
2020년11월_계_100세 이상,100,5,17,4,3,5,38,1,4,4,6,5,7,1
2020년11월_남_총인구수,"140,976","7,471","13,543","10,521","18,993","21,068","7,547","14,918","6,100","6,221","5,444","6,316","13,432","9,402"
2020년11월_남_연령구간인구수,"140,976","7,471","13,543","10,521","18,993","21,068","7,547","14,918","6,100","6,221","5,444","6,316","13,432","9,402"
2020년11월_남_0~9세,"9,889",358,794,519,"1,132","2,139",502,"1,348",235,246,253,478,"1,215",670
2020년11월_남_10~19세,"12,214",346,951,840,"1,651","2,344",640,"2,087",307,340,336,404,"1,239",729
2020년11월_남_20~29세,"20,384","1,086","2,019","1,687","2,479","3,192","1,244","2,164",858,997,772,787,"1,739","1,360"
2020년11월_남_30~39세,"17,502","1,114","1,822","1,139","2,051","2,638",894,"1,478",832,880,647,"1,060","1,712","1,235"
2020년11월_남_40~49세,"20,117",982,"1,834","1,524","2,590","3,081",946,"2,506",790,818,804,837,"2,130","1,275"
2020년11월_남_50~59세,"25,911","1,456","2,646","2,140","3,633","3,939","1,474","2,745","1,100","1,146",957,"1,012","2,171","1,492"
2020년11월_남_60~69세,"22,281","1,343","2,251","1,750","3,369","2,663","1,174","1,531","1,176","1,127",983,"1,101","2,087","1,726"
2020년11월_남_70~79세,"9,710",608,962,729,"1,482",873,503,753,591,511,539,510,919,730
2020년11월_남_80~89세,"2,744",162,253,185,560,189,136,287,193,143,141,123,200,172
2020년11월_남_90~99세,202,15,9,8,46,10,21,19,18,12,10,3,18,13
2020년11월_남_100세 이상,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2020년11월_여_총인구수,"143,896","7,297","12,783","9,949","20,171","21,719","7,937","15,557","6,289","6,259","5,695","6,539","13,885","9,816"
2020년11월_여_연령구간인구수,"143,896","7,297","12,783","9,949","20,171","21,719","7,937","15,557","6,289","6,259","5,695","6,539","13,885","9,816"
2020년11월_여_0~9세,"9,218",394,661,462,"1,054","1,974",473,"1,278",240,221,215,486,"1,131",629
2020년11월_여_10~19세,"11,278",367,832,716,"1,584","2,210",616,"1,912",262,309,308,381,"1,155",626
2020년11월_여_20~29세,"17,432",973,"1,687","1,297","2,098","2,760","1,045","1,865",710,924,661,732,"1,563","1,117"
2020년11월_여_30~39세,"16,261",882,"1,501",919,"1,839","2,893",801,"1,693",689,655,536,981,"1,695","1,177"
2020년11월_여_40~49세,"20,505",785,"1,659","1,411","2,741","3,580","1,060","2,997",715,721,680,754,"2,128","1,274"
2020년11월_여_50~59세,"28,437","1,478","2,661","2,199","4,016","4,483","1,765","2,749","1,171","1,217","1,034","1,216","2,468","1,980"
2020년11월_여_60~69세,"22,899","1,352","2,215","1,738","3,234","2,471","1,176","1,630","1,314","1,234","1,162","1,171","2,301","1,901"
2020년11월_여_70~79세,"11,555",690,"1,046",844,"2,154",876,611,959,733,634,729,557,970,752
2020년11월_여_80~89세,"5,409",322,438,309,"1,295",396,313,410,400,292,327,213,399,295
2020년11월_여_90~99세,824,50,68,50,153,71,52,63,51,49,39,44,70,64
2020년11월_여_100세 이상,78,4,15,4,3,5,25,1,4,3,4,4,5,1
