,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년01월_계_총인구수,"453,382","31,465","30,459","22,433","25,918","42,182","20,906","21,243","15,667","18,364","14,982","13,797","20,437","20,905","20,000","46,324","33,484","24,976","29,840"
2021년01월_계_연령구간인구수,"453,382","31,465","30,459","22,433","25,918","42,182","20,906","21,243","15,667","18,364","14,982","13,797","20,437","20,905","20,000","46,324","33,484","24,976","29,840"
2021년01월_계_0~9세,"31,243","2,963","1,712","1,342","1,408","3,365",986,"1,419",871,"1,478",993,"1,446","1,041","1,837","1,309","3,376","1,671","2,076","1,950"
2021년01월_계_10~19세,"50,644","5,105","2,555","1,547","3,367","7,645","1,327","1,765","1,137","1,613","1,263","1,250","1,375","3,048","2,967","5,243","2,317","3,667","3,453"
2021년01월_계_20~29세,"59,540","3,396","4,983","3,557","4,155","4,499","2,693","2,693","2,035","2,186","2,130","1,593","2,637","2,471","2,567","5,895","5,261","3,189","3,600"
2021년01월_계_30~39세,"57,632","3,299","5,275","4,046","2,794","3,980","2,767","3,013","2,010","2,492","2,095","2,594","2,636","2,063","1,804","5,731","5,076","2,731","3,226"
2021년01월_계_40~49세,"78,574","6,911","4,629","3,204","4,553","9,201","3,091","3,310","2,231","3,039","2,310","2,162","2,975","4,079","3,796","7,930","5,253","4,730","5,170"
2021년01월_계_50~59세,"76,471","5,002","4,946","3,635","4,840","6,683","3,894","3,360","2,960","2,843","2,537","2,040","3,576","3,548","3,606","7,897","5,421","4,411","5,272"
2021년01월_계_60~69세,"57,877","2,877","3,838","3,043","2,721","4,192","3,604","3,321","2,526","2,736","2,171","1,673","3,462","2,205","2,278","5,793","4,813","2,619","4,005"
2021년01월_계_70~79세,"28,727","1,324","1,740","1,373","1,461","1,721","1,865","1,725","1,361","1,399","1,060",772,"1,823","1,097","1,123","3,125","2,691","1,022","2,045"
2021년01월_계_80~89세,"10,767",493,661,586,538,728,574,543,465,507,359,216,811,449,460,"1,135",862,429,951
2021년01월_계_90~99세,"1,715",90,106,84,71,161,92,86,59,61,56,40,97,101,73,184,103,101,150
2021년01월_계_100세 이상,192,5,14,16,10,7,13,8,12,10,8,11,4,7,17,15,16,1,18
2021년01월_남_총인구수,"222,417","15,109","14,815","10,719","12,670","20,901","10,733","10,407","8,261","9,020","7,439","6,783","10,012","10,208","9,795","22,575","16,393","12,140","14,437"
2021년01월_남_연령구간인구수,"222,417","15,109","14,815","10,719","12,670","20,901","10,733","10,407","8,261","9,020","7,439","6,783","10,012","10,208","9,795","22,575","16,393","12,140","14,437"
2021년01월_남_0~9세,"16,072","1,489",867,707,674,"1,792",510,729,479,747,500,755,548,964,649,"1,724",878,"1,066",994
2021년01월_남_10~19세,"26,419","2,563","1,351",838,"1,819","4,165",673,871,590,850,690,610,690,"1,555","1,555","2,716","1,187","1,893","1,803"
2021년01월_남_20~29세,"30,348","1,656","2,446","1,737","2,204","2,335","1,416","1,392","1,065","1,140","1,081",809,"1,395","1,260","1,329","3,048","2,518","1,641","1,876"
2021년01월_남_30~39세,"28,386","1,388","2,698","1,979","1,383","1,734","1,537","1,538","1,104","1,236","1,102","1,303","1,392",899,838,"2,807","2,701","1,207","1,540"
2021년01월_남_40~49세,"37,587","3,148","2,223","1,538","2,016","4,116","1,614","1,673","1,232","1,538","1,152","1,079","1,537","1,916","1,739","3,834","2,611","2,140","2,481"
2021년01월_남_50~59세,"38,048","2,629","2,339","1,641","2,395","3,462","2,042","1,636","1,631","1,379","1,212",980,"1,749","1,818","1,852","3,865","2,609","2,194","2,615"
2021년01월_남_60~69세,"27,719","1,396","1,810","1,422","1,320","2,077","1,819","1,515","1,347","1,278","1,055",787,"1,625","1,074","1,147","2,675","2,215","1,277","1,880"
2021년01월_남_70~79세,"13,548",643,821,630,671,911,892,833,619,665,498,372,779,528,491,"1,465","1,269",544,917
2021년01월_남_80~89세,"3,810",169,222,205,167,265,210,204,177,167,137,78,269,168,172,398,368,146,288
2021년01월_남_90~99세,429,26,33,18,18,44,16,14,13,18,9,8,24,23,20,41,33,32,39
2021년01월_남_100세 이상,51,2,5,4,3,0,4,2,4,2,3,2,4,3,3,2,4,0,4
2021년01월_여_총인구수,"230,965","16,356","15,644","11,714","13,248","21,281","10,173","10,836","7,406","9,344","7,543","7,014","10,425","10,697","10,205","23,749","17,091","12,836","15,403"
2021년01월_여_연령구간인구수,"230,965","16,356","15,644","11,714","13,248","21,281","10,173","10,836","7,406","9,344","7,543","7,014","10,425","10,697","10,205","23,749","17,091","12,836","15,403"
2021년01월_여_0~9세,"15,171","1,474",845,635,734,"1,573",476,690,392,731,493,691,493,873,660,"1,652",793,"1,010",956
2021년01월_여_10~19세,"24,225","2,542","1,204",709,"1,548","3,480",654,894,547,763,573,640,685,"1,493","1,412","2,527","1,130","1,774","1,650"
2021년01월_여_20~29세,"29,192","1,740","2,537","1,820","1,951","2,164","1,277","1,301",970,"1,046","1,049",784,"1,242","1,211","1,238","2,847","2,743","1,548","1,724"
2021년01월_여_30~39세,"29,246","1,911","2,577","2,067","1,411","2,246","1,230","1,475",906,"1,256",993,"1,291","1,244","1,164",966,"2,924","2,375","1,524","1,686"
2021년01월_여_40~49세,"40,987","3,763","2,406","1,666","2,537","5,085","1,477","1,637",999,"1,501","1,158","1,083","1,438","2,163","2,057","4,096","2,642","2,590","2,689"
2021년01월_여_50~59세,"38,423","2,373","2,607","1,994","2,445","3,221","1,852","1,724","1,329","1,464","1,325","1,060","1,827","1,730","1,754","4,032","2,812","2,217","2,657"
2021년01월_여_60~69세,"30,158","1,481","2,028","1,621","1,401","2,115","1,785","1,806","1,179","1,458","1,116",886,"1,837","1,131","1,131","3,118","2,598","1,342","2,125"
2021년01월_여_70~79세,"15,179",681,919,743,790,810,973,892,742,734,562,400,"1,044",569,632,"1,660","1,422",478,"1,128"
2021년01월_여_80~89세,"6,957",324,439,381,371,463,364,339,288,340,222,138,542,281,288,737,494,283,663
2021년01월_여_90~99세,"1,286",64,73,66,53,117,76,72,46,43,47,32,73,78,53,143,70,69,111
2021년01월_여_100세 이상,141,3,9,12,7,7,9,6,8,8,5,9,0,4,14,13,12,1,14
