,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년01월_계_총인구수,"504,935","44,604","36,349","9,975","54,610","12,144","42,325","22,130","16,029","20,270","22,482","31,942","22,870","21,348","70,930","1,930","23,825","30,484","20,688"
2021년01월_계_연령구간인구수,"504,935","44,604","36,349","9,975","54,610","12,144","42,325","22,130","16,029","20,270","22,482","31,942","22,870","21,348","70,930","1,930","23,825","30,484","20,688"
2021년01월_계_0~9세,"48,875","3,464","1,658",455,"7,104",698,"5,959","1,569","1,412","1,156","1,310","2,437","1,736","1,646","10,997",43,"1,726","3,619","1,886"
2021년01월_계_10~19세,"50,397","3,592","3,265",755,"5,660","1,206","3,336","2,214","1,492","1,127","1,921","3,592","2,127","2,729","7,902",50,"2,923","3,987","2,519"
2021년01월_계_20~29세,"69,859","6,824","5,878","1,394","6,641","1,656","4,228","2,890","1,847","3,201","3,742","5,124","3,092","3,586","9,074",166,"3,710","3,875","2,931"
2021년01월_계_30~39세,"78,212","6,933","3,901",991,"9,548","1,093","8,440","2,704","2,381","4,041","3,396","4,320","3,165","2,417","14,703",163,"2,576","4,554","2,886"
2021년01월_계_40~49세,"91,425","6,586","5,332","1,323","9,479","1,949","7,420","3,875","3,205","4,213","4,592","6,143","4,602","3,852","14,646",178,"4,251","6,128","3,651"
2021년01월_계_50~59세,"88,019","8,590","8,150","2,227","8,584","2,480","5,756","4,094","2,683","3,756","4,303","6,164","4,529","4,331","8,518",464,"4,827","4,945","3,618"
2021년01월_계_60~69세,"48,041","5,414","5,026","1,646","4,831","1,657","4,464","2,791","1,770","1,812","2,111","2,518","2,265","1,591","3,642",542,"2,113","2,024","1,824"
2021년01월_계_70~79세,"19,639","2,027","2,087",751,"1,819",884,"1,832","1,306",838,662,741,"1,030",870,732,"1,018",220,"1,077",885,860
