카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년10월_계_총인구수,"217,750","36,936","40,264","38,406","16,436","29,570","36,269","9,953","9,916"
2021년10월_계_연령구간인구수,"217,750","36,936","40,264","38,406","16,436","29,570","36,269","9,953","9,916"
2021년10월_계_0~9세,"24,164","4,410","5,245","3,455","2,571","2,685","4,353",719,726
2021년10월_계_10~19세,"23,663","4,003","4,785","6,112","1,437","2,102","3,704",748,772
2021년10월_계_20~29세,"26,237","3,946","4,257","4,819","1,102","4,368","4,742","1,751","1,252"
2021년10월_계_30~39세,"32,829","5,530","6,494","3,629","3,200","4,942","6,068","1,589","1,377"
2021년10월_계_40~49세,"38,729","6,721","7,635","8,231","2,957","4,236","6,007","1,443","1,499"
2021년10월_계_50~59세,"38,677","6,205","6,371","7,329","2,120","6,215","6,716","1,871","1,850"
2021년10월_계_60~69세,"22,000","3,933","3,593","2,914","1,909","3,532","3,190","1,275","1,654"
2021년10월_계_70~79세,"7,790","1,552","1,262","1,293",715,"1,016",984,402,566
2021년10월_계_80~89세,"3,180",554,549,545,358,408,434,132,200
2021년10월_계_90~99세,461,78,72,75,65,63,71,23,14
2021년10월_계_100세 이상,20,4,1,4,2,3,0,0,6
2021년10월_남_총인구수,"112,783","18,892","20,464","19,542","8,423","15,857","18,462","5,795","5,348"
2021년10월_남_연령구간인구수,"112,783","18,892","20,464","19,542","8,423","15,857","18,462","5,795","5,348"
2021년10월_남_0~9세,"12,459","2,277","2,713","1,781","1,291","1,411","2,252",357,377
2021년10월_남_10~19세,"12,253","2,018","2,450","3,228",729,"1,097","1,915",397,419
2021년10월_남_20~29세,"15,054","2,205","2,350","2,680",623,"2,548","2,598","1,254",796
2021년10월_남_30~39세,"17,088","2,797","3,245","1,775","1,569","2,856","3,068",991,787
2021년10월_남_40~49세,"19,851","3,513","3,919","3,836","1,663","2,268","2,963",824,865
2021년10월_남_50~59세,"19,789","3,127","3,192","3,921","1,078","3,145","3,332","1,052",942
2021년10월_남_60~69세,"11,570","2,066","1,825","1,564",996,"1,898","1,711",674,836
2021년10월_남_70~79세,"3,671",713,592,573,351,501,490,206,245
2021년10월_남_80~89세,972,160,166,170,113,125,123,38,77
2021년10월_남_90~99세,72,16,12,13,10,7,10,2,2
2021년10월_남_100세 이상,4,0,0,1,0,1,0,0,2
2021년10월_여_총인구수,"104,967","18,044","19,800","18,864","8,013","13,713","17,807","4,158","4,568"
2021년10월_여_연령구간인구수,"104,967","18,044","19,800","18,864","8,013","13,713","17,807","4,158","4,568"
2021년10월_여_0~9세,"11,705","2,133","2,532","1,674","1,280","1,274","2,101",362,349
2021년10월_여_10~19세,"11,410","1,985","2,335","2,884",708,"1,005","1,789",351,353
2021년10월_여_20~29세,"11,183","1,741","1,907","2,139",479,"1,820","2,144",497,456
2021년10월_여_30~39세,"15,741","2,733","3,249","1,854","1,631","2,086","3,000",598,590
2021년10월_여_40~49세,"18,878","3,208","3,716","4,395","1,294","1,968","3,044",619,634
2021년10월_여_50~59세,"18,888","3,078","3,179","3,408","1,042","3,070","3,384",819,908
2021년10월_여_60~69세,"10,430","1,867","1,768","1,350",913,"1,634","1,479",601,818
2021년10월_여_70~79세,"4,119",839,670,720,364,515,494,196,321
2021년10월_여_80~89세,"2,208",394,383,375,245,283,311,94,123
2021년10월_여_90~99세,389,62,60,62,55,56,61,21,12
2021년10월_여_100세 이상,16,4,1,3,2,2,0,0,4
