카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년02월_계_총인구수,"1,473,125","225,633","240,064","481,349","349,915","176,164"
2020년02월_계_연령구간인구수,"1,473,125","225,633","240,064","481,349","349,915","176,164"
2020년02월_계_0~9세,"120,476","15,972","16,424","40,115","36,313","11,652"
2020년02월_계_10~19세,"151,861","20,734","23,081","51,580","38,973","17,493"
2020년02월_계_20~29세,"212,143","30,433","31,424","73,603","51,960","24,723"
2020년02월_계_30~39세,"199,106","26,972","27,658","67,758","56,665","20,053"
2020년02월_계_40~49세,"242,381","34,716","38,162","80,333","60,895","28,275"
2020년02월_계_50~59세,"243,526","37,616","40,455","78,295","53,577","33,583"
2020년02월_계_60~69세,"170,291","31,344","32,561","52,090","31,335","22,961"
2020년02월_계_70~79세,"88,289","18,651","20,135","24,885","12,947","11,671"
2020년02월_계_80~89세,"39,190","8,024","8,877","11,009","6,191","5,089"
2020년02월_계_90~99세,"5,523","1,083","1,210","1,593","1,004",633
2020년02월_계_100세 이상,339,88,77,88,55,31
2020년02월_남_총인구수,"735,791","113,883","118,636","236,972","176,706","89,594"
2020년02월_남_연령구간인구수,"735,791","113,883","118,636","236,972","176,706","89,594"
2020년02월_남_0~9세,"61,932","8,251","8,395","20,616","18,753","5,917"
2020년02월_남_10~19세,"78,689","10,703","11,896","26,687","20,273","9,130"
2020년02월_남_20~29세,"111,597","16,287","16,185","37,525","27,899","13,701"
2020년02월_남_30~39세,"103,296","14,457","14,256","34,444","29,307","10,832"
2020년02월_남_40~49세,"120,944","18,262","19,367","38,937","29,965","14,413"
2020년02월_남_50~59세,"121,171","19,208","20,345","37,880","26,632","17,106"
2020년02월_남_60~69세,"82,946","15,144","15,461","25,263","15,710","11,368"
2020년02월_남_70~79세,"39,928","8,391","9,069","11,356","5,917","5,195"
2020년02월_남_80~89세,"13,951","2,890","3,364","3,879","2,015","1,803"
2020년02월_남_90~99세,"1,257",264,280,368,223,122
2020년02월_남_100세 이상,80,26,18,17,12,7
2020년02월_여_총인구수,"737,334","111,750","121,428","244,377","173,209","86,570"
2020년02월_여_연령구간인구수,"737,334","111,750","121,428","244,377","173,209","86,570"
2020년02월_여_0~9세,"58,544","7,721","8,029","19,499","17,560","5,735"
2020년02월_여_10~19세,"73,172","10,031","11,185","24,893","18,700","8,363"
2020년02월_여_20~29세,"100,546","14,146","15,239","36,078","24,061","11,022"
2020년02월_여_30~39세,"95,810","12,515","13,402","33,314","27,358","9,221"
2020년02월_여_40~49세,"121,437","16,454","18,795","41,396","30,930","13,862"
2020년02월_여_50~59세,"122,355","18,408","20,110","40,415","26,945","16,477"
2020년02월_여_60~69세,"87,345","16,200","17,100","26,827","15,625","11,593"
2020년02월_여_70~79세,"48,361","10,260","11,066","13,529","7,030","6,476"
2020년02월_여_80~89세,"25,239","5,134","5,513","7,130","4,176","3,286"
2020년02월_여_90~99세,"4,266",819,930,"1,225",781,511
2020년02월_여_100세 이상,259,62,59,71,43,24
