카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년10월_계_총인구수,"43,553","13,395","3,643","3,715","1,807","3,126","5,921","4,012","1,526","1,383","2,837","2,188"
2021년10월_계_연령구간인구수,"43,553","13,395","3,643","3,715","1,807","3,126","5,921","4,012","1,526","1,383","2,837","2,188"
2021년10월_계_0~9세,"2,515",958,279,145,47,134,577,157,56,40,66,56
2021년10월_계_10~19세,"3,180","1,214",304,166,70,175,592,253,94,52,163,97
2021년10월_계_20~29세,"3,928","1,248",285,376,131,239,769,376,112,95,182,115
2021년10월_계_30~39세,"3,436","1,104",253,305,125,171,757,269,106,74,134,138
2021년10월_계_40~49세,"5,243","1,891",450,403,175,346,809,470,154,99,248,198
2021년10월_계_50~59세,"7,449","2,191",624,698,344,575,851,787,280,223,470,406
2021년10월_계_60~69세,"7,618","2,081",655,760,374,611,673,761,300,315,566,522
2021년10월_계_70~79세,"5,750","1,615",448,487,276,472,505,545,237,262,518,385
2021년10월_계_80~89세,"3,886",954,299,327,232,365,352,338,160,191,440,228
2021년10월_계_90~99세,530,135,42,47,32,37,35,55,27,31,48,41
2021년10월_계_100세 이상,18,4,4,1,1,1,1,1,0,1,2,2
2021년10월_남_총인구수,"22,282","6,635","1,848","2,006",951,"1,672","3,114","2,040",786,690,"1,416","1,124"
2021년10월_남_연령구간인구수,"22,282","6,635","1,848","2,006",951,"1,672","3,114","2,040",786,690,"1,416","1,124"
2021년10월_남_0~9세,"1,264",501,150,68,20,78,276,70,26,12,36,27
2021년10월_남_10~19세,"1,671",625,164,87,32,97,312,127,52,29,95,51
2021년10월_남_20~29세,"2,321",691,158,221,83,185,472,227,59,58,105,62
2021년10월_남_30~39세,"1,845",547,115,190,81,93,413,149,62,44,74,77
2021년10월_남_40~49세,"2,929",999,235,265,111,216,443,266,90,49,144,111
2021년10월_남_50~59세,"4,276","1,222",377,398,206,319,505,438,167,133,275,236
2021년10월_남_60~69세,"4,048","1,015",332,429,218,336,377,420,160,166,302,293
2021년10월_남_70~79세,"2,548",717,211,230,110,212,199,235,107,114,229,184
2021년10월_남_80~89세,"1,264",293,94,106,80,128,107,97,56,79,146,78
2021년10월_남_90~99세,114,25,11,12,10,8,10,10,7,6,10,5
2021년10월_남_100세 이상,2,0,1,0,0,0,0,1,0,0,0,0
2021년10월_여_총인구수,"21,271","6,760","1,795","1,709",856,"1,454","2,807","1,972",740,693,"1,421","1,064"
2021년10월_여_연령구간인구수,"21,271","6,760","1,795","1,709",856,"1,454","2,807","1,972",740,693,"1,421","1,064"
2021년10월_여_0~9세,"1,251",457,129,77,27,56,301,87,30,28,30,29
2021년10월_여_10~19세,"1,509",589,140,79,38,78,280,126,42,23,68,46
2021년10월_여_20~29세,"1,607",557,127,155,48,54,297,149,53,37,77,53
2021년10월_여_30~39세,"1,591",557,138,115,44,78,344,120,44,30,60,61
2021년10월_여_40~49세,"2,314",892,215,138,64,130,366,204,64,50,104,87
2021년10월_여_50~59세,"3,173",969,247,300,138,256,346,349,113,90,195,170
2021년10월_여_60~69세,"3,570","1,066",323,331,156,275,296,341,140,149,264,229
2021년10월_여_70~79세,"3,202",898,237,257,166,260,306,310,130,148,289,201
2021년10월_여_80~89세,"2,622",661,205,221,152,237,245,241,104,112,294,150
2021년10월_여_90~99세,416,110,31,35,22,29,25,45,20,25,38,36
2021년10월_여_100세 이상,16,4,3,1,1,1,1,0,0,1,2,2
