카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020년04월_계_총인구수,"351,421","18,053","8,743","3,792","24,608","2,281","2,194","8,809","7,332","3,644","2,851","5,305","13,076","8,884","15,895","43,028","8,818","5,051","27,617","13,789","9,801","25,106","8,470","7,516","33,245","43,513"
2020년04월_계_연령구간인구수,"351,421","18,053","8,743","3,792","24,608","2,281","2,194","8,809","7,332","3,644","2,851","5,305","13,076","8,884","15,895","43,028","8,818","5,051","27,617","13,789","9,801","25,106","8,470","7,516","33,245","43,513"
2020년04월_계_0~9세,"28,816","1,263",407,118,"4,111",46,53,436,425,63,64,245,747,416,818,"3,446",408,185,"2,029","1,115",835,"1,910",310,501,"3,448","5,417"
2020년04월_계_10~19세,"36,391","1,737",555,162,"2,038",94,72,638,711,129,112,381,"1,365",815,"1,793","5,315",692,310,"2,457","1,294","1,164","2,770",752,883,"4,384","5,768"
2020년04월_계_20~29세,"45,180","2,118","1,015",342,"2,689",134,144,"1,503",970,224,198,777,"1,700","1,265","2,179","6,237","1,675",614,"4,299","1,950","1,043","3,013",989,901,"4,110","5,091"
2020년04월_계_30~39세,"45,408","1,989",725,253,"6,099",96,134,854,862,186,224,550,"1,285",799,"1,455","5,444",933,440,"3,877","1,727","1,115","2,899",703,671,"4,620","7,468"
2020년04월_계_40~49세,"57,475","2,994","1,048",343,"4,077",184,175,"1,180","1,200",314,305,662,"1,817","1,207","2,509","7,936","1,076",657,"4,050","2,150","1,735","4,276","1,132","1,212","6,479","8,757"
2020년04월_계_50~59세,"60,140","3,283","1,740",765,"2,699",406,477,"1,589","1,417",783,620,"1,037","2,508","1,810","3,144","7,333","1,475",983,"5,229","2,348","1,632","4,596","1,656","1,441","5,137","6,032"
2020년04월_계_60~69세,"43,027","2,406","1,742",873,"1,763",606,549,"1,433",991,982,630,852,"1,895","1,367","2,197","4,156","1,309",952,"3,495","1,771","1,239","3,120","1,465","1,042","3,174","3,018"
2020년04월_계_70~79세,"21,552","1,404",898,491,673,411,350,698,470,582,375,490,"1,120",765,"1,061","2,049",774,553,"1,334",927,664,"1,561",881,507,"1,251","1,263"
2020년04월_계_80~89세,"11,588",746,533,401,392,264,203,422,246,334,263,276,559,378,644,968,395,301,722,442,337,850,497,290,528,597
2020년04월_계_90~99세,"1,740",108,76,44,63,39,34,54,40,47,55,31,75,58,94,136,73,53,115,61,34,108,76,62,109,95
2020년04월_계_100세 이상,104,5,4,0,4,1,3,2,0,0,5,4,5,4,1,8,8,3,10,4,3,3,9,6,5,7
2020년04월_남_총인구수,"174,467","9,222","4,578","1,989","12,162","1,165","1,116","4,646","3,864","1,873","1,510","2,558","6,291","4,293","7,672","21,193","4,332","2,513","13,418","7,208","4,929","12,505","4,167","3,703","16,332","21,228"
2020년04월_남_연령구간인구수,"174,467","9,222","4,578","1,989","12,162","1,165","1,116","4,646","3,864","1,873","1,510","2,558","6,291","4,293","7,672","21,193","4,332","2,513","13,418","7,208","4,929","12,505","4,167","3,703","16,332","21,228"
2020년04월_남_0~9세,"14,703",640,208,70,"2,046",19,27,221,222,33,38,126,363,205,382,"1,788",217,102,"1,063",572,456,995,147,262,"1,762","2,739"
2020년04월_남_10~19세,"18,915",893,288,90,"1,013",43,32,341,388,71,60,207,750,397,902,"2,772",392,159,"1,278",712,610,"1,438",413,444,"2,342","2,880"
2020년04월_남_20~29세,"24,016","1,212",607,199,"1,298",82,74,852,540,127,106,400,882,699,"1,146","3,383",813,344,"2,223","1,094",551,"1,619",540,494,"2,213","2,518"
