카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년09월_계_총인구수,"34,978","6,858","1,425","1,054","2,049","2,917","1,840","4,159","5,628","5,763","1,198","2,087"
2020년09월_계_연령구간인구수,"34,978","6,858","1,425","1,054","2,049","2,917","1,840","4,159","5,628","5,763","1,198","2,087"
2020년09월_계_0~9세,"1,388",404,48,40,55,90,37,139,169,329,39,38
2020년09월_계_10~19세,"2,114",534,42,46,96,162,81,283,208,514,43,105
2020년09월_계_20~29세,"2,464",631,74,37,98,166,110,313,360,525,56,94
2020년09월_계_30~39세,"2,192",643,54,45,95,197,75,217,311,420,60,75
2020년09월_계_40~49세,"3,561",835,116,86,135,282,152,479,527,675,95,179
2020년09월_계_50~59세,"6,602","1,177",236,173,328,544,408,876,"1,184","1,116",183,377
2020년09월_계_60~69세,"7,154","1,138",337,204,436,566,417,886,"1,324","1,070",307,469
2020년09월_계_70~79세,"5,312",853,262,206,444,511,340,575,899,592,233,397
2020년09월_계_80~89세,"3,629",542,225,191,315,338,192,339,565,459,150,313
2020년09월_계_90~99세,543,97,31,26,44,59,27,50,78,61,32,38
2020년09월_계_100세 이상,19,4,0,0,3,2,1,2,3,2,0,2
2020년09월_남_총인구수,"17,179","3,324",696,505,987,"1,439",910,"2,062","2,814","2,840",574,"1,028"
2020년09월_남_연령구간인구수,"17,179","3,324",696,505,987,"1,439",910,"2,062","2,814","2,840",574,"1,028"
2020년09월_남_0~9세,736,209,25,20,37,49,22,69,105,166,18,16
2020년09월_남_10~19세,"1,138",278,27,28,56,89,48,157,115,260,21,59
2020년09월_남_20~29세,"1,406",368,42,15,60,94,64,165,204,304,35,55
2020년09월_남_30~39세,"1,188",327,34,24,57,111,49,113,176,224,32,41
2020년09월_남_40~49세,"1,987",431,67,54,94,165,82,256,310,352,61,115
2020년09월_남_50~59세,"3,554",613,142,107,184,296,218,473,621,562,113,225
2020년09월_남_60~69세,"3,682",564,177,108,221,294,215,433,690,574,160,246
2020년09월_남_70~79세,"2,311",367,114,82,174,219,145,263,428,252,90,177
2020년09월_남_80~89세,"1,063",147,59,64,96,107,61,118,155,135,37,84
2020년09월_남_90~99세,112,20,9,3,7,15,6,14,10,11,7,10
2020년09월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년09월_여_총인구수,"17,799","3,534",729,549,"1,062","1,478",930,"2,097","2,814","2,923",624,"1,059"
2020년09월_여_연령구간인구수,"17,799","3,534",729,549,"1,062","1,478",930,"2,097","2,814","2,923",624,"1,059"
2020년09월_여_0~9세,652,195,23,20,18,41,15,70,64,163,21,22
2020년09월_여_10~19세,976,256,15,18,40,73,33,126,93,254,22,46
2020년09월_여_20~29세,"1,058",263,32,22,38,72,46,148,156,221,21,39
2020년09월_여_30~39세,"1,004",316,20,21,38,86,26,104,135,196,28,34
2020년09월_여_40~49세,"1,574",404,49,32,41,117,70,223,217,323,34,64
2020년09월_여_50~59세,"3,048",564,94,66,144,248,190,403,563,554,70,152
2020년09월_여_60~69세,"3,472",574,160,96,215,272,202,453,634,496,147,223
2020년09월_여_70~79세,"3,001",486,148,124,270,292,195,312,471,340,143,220
2020년09월_여_80~89세,"2,566",395,166,127,219,231,131,221,410,324,113,229
2020년09월_여_90~99세,431,77,22,23,37,44,21,36,68,50,25,28
2020년09월_여_100세 이상,17,4,0,0,2,2,1,1,3,2,0,2
