,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년04월_계_총인구수,"369,577","25,410","37,418","21,395","21,745","14,361","14,374","22,777","24,890","25,045","17,690","20,534","18,764","15,356","19,126","39,892","30,800"
2021년04월_계_연령구간인구수,"369,577","25,410","37,418","21,395","21,745","14,361","14,374","22,777","24,890","25,045","17,690","20,534","18,764","15,356","19,126","39,892","30,800"
2021년04월_계_0~9세,"24,367","2,784","2,234","1,470","2,220",657,"1,247","1,675","1,790",816,"1,021","1,003","1,128",596,922,"2,406","2,398"
2021년04월_계_10~19세,"28,204","1,675","2,259","1,592","2,043",879,"1,353","1,874","1,757","1,200",926,"1,318","1,547",787,"1,436","3,436","4,122"
2021년04월_계_20~29세,"61,684","3,104","6,294","2,924","2,221","3,437","2,088","3,391","4,965","6,268","3,385","3,428","2,847","3,248","3,155","6,629","4,300"
2021년04월_계_30~39세,"63,991","5,015","6,490","3,634","3,691","2,385","2,273","3,682","4,141","5,363","3,667","3,862","2,923","3,070","3,322","6,615","3,858"
2021년04월_계_40~49세,"60,530","4,297","5,388","3,150","4,388","2,057","2,635","3,840","3,964","3,689","2,606","3,203","3,220","2,323","3,317","6,435","6,018"
2021년04월_계_50~59세,"54,271","3,809","6,300","3,452","2,975","2,042","2,096","3,569","3,642","3,068","2,344","2,994","2,819","1,985","2,845","5,823","4,508"
2021년04월_계_60~69세,"39,995","2,776","4,510","2,680","2,206","1,495","1,356","2,473","2,488","2,277","1,940","2,422","2,172","1,708","2,201","4,294","2,997"
2021년04월_계_70~79세,"23,755","1,183","2,520","1,524","1,284",868,832,"1,496","1,380","1,497","1,181","1,572","1,459","1,063","1,334","2,864","1,698"
2021년04월_계_80~89세,"11,111",654,"1,260",839,623,461,430,672,672,728,535,648,582,492,536,"1,195",784
2021년04월_계_90~99세,"1,564",102,150,129,91,69,51,100,89,130,82,80,61,79,55,189,107
2021년04월_계_100세 이상,105,11,13,1,3,11,13,5,2,9,3,4,6,5,3,6,10
2021년04월_남_총인구수,"174,050","11,934","17,633","10,257","10,241","6,935","6,951","11,062","11,836","11,482","8,218","9,641","8,822","7,265","8,992","18,108","14,673"
2021년04월_남_연령구간인구수,"174,050","11,934","17,633","10,257","10,241","6,935","6,951","11,062","11,836","11,482","8,218","9,641","8,822","7,265","8,992","18,108","14,673"
2021년04월_남_0~9세,"12,424","1,365","1,178",806,"1,067",347,634,847,937,410,530,507,582,292,449,"1,205","1,268"
2021년04월_남_10~19세,"14,199",812,"1,119",823,997,469,677,"1,000",881,570,451,655,763,416,709,"1,785","2,072"
2021년04월_남_20~29세,"27,779","1,350","2,749","1,414","1,023","1,545",999,"1,729","2,330","2,663","1,483","1,590","1,311","1,504","1,488","2,679","1,922"
2021년04월_남_30~39세,"30,238","2,317","3,126","1,746","1,702","1,199","1,083","1,801","1,955","2,501","1,758","1,841","1,362","1,503","1,600","2,980","1,764"
2021년04월_남_40~49세,"29,419","2,160","2,672","1,525","2,093","1,031","1,340","1,785","1,903","1,809","1,259","1,556","1,583","1,164","1,591","3,071","2,877"
2021년04월_남_50~59세,"26,613","1,839","3,078","1,644","1,496","1,070","1,062","1,792","1,742","1,483","1,107","1,472","1,382",940,"1,342","2,834","2,330"
2021년04월_남_60~69세,"18,603","1,329","2,175","1,268","1,050",713,640,"1,190","1,200","1,041",893,"1,093",953,775,998,"1,931","1,354"
2021년04월_남_70~79세,"10,027",484,"1,049",694,546,358,319,616,588,653,515,670,627,451,571,"1,139",747
2021년04월_남_80~89세,"4,282",250,442,310,243,183,180,265,274,306,199,232,238,190,226,434,310
