카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년11월_계_총인구수,"268,455","28,029","35,635","20,744","5,731","5,452","3,278","3,709","2,921","9,638","6,338","19,973","35,674","36,122","16,314","38,897"
2021년11월_계_연령구간인구수,"268,455","28,029","35,635","20,744","5,731","5,452","3,278","3,709","2,921","9,638","6,338","19,973","35,674","36,122","16,314","38,897"
2021년11월_계_0~9세,"19,783","1,932","2,158","2,208",133,128,61,114,81,487,183,"1,879","2,540","3,872",965,"3,042"
2021년11월_계_10~19세,"22,869","2,916","3,267","1,195",242,242,104,156,94,565,364,"2,010","3,830","2,939",758,"4,187"
2021년11월_계_20~29세,"36,442","4,231","5,344","3,088",448,418,190,247,233,"1,482",929,"2,017","4,270","4,457","3,810","5,278"
2021년11월_계_30~39세,"33,085","2,990","3,795","3,955",445,391,188,211,177,"1,132",675,"2,474","3,760","5,368","2,797","4,727"
2021년11월_계_40~49세,"41,592","4,407","5,920","3,082",572,564,259,367,253,"1,211",746,"3,555","6,054","5,695","2,169","6,738"
2021년11월_계_50~59세,"45,886","4,571","7,029","2,802","1,120",980,565,667,561,"1,837","1,215","3,026","6,205","6,124","2,466","6,718"
2021년11월_계_60~69세,"37,449","3,546","4,412","2,426","1,406","1,359",865,912,716,"1,749","1,181","2,703","5,047","4,410","1,929","4,788"
2021년11월_계_70~79세,"20,226","2,202","2,356","1,254",834,838,617,589,508,803,662,"1,559","2,613","2,222",947,"2,222"
2021년11월_계_80~89세,"9,858","1,111","1,214",646,474,469,375,381,253,334,349,664,"1,193",925,413,"1,057"
2021년11월_계_90~99세,"1,237",118,136,86,56,60,54,64,42,38,33,85,159,109,60,137
2021년11월_계_100세 이상,28,5,4,2,1,3,0,1,3,0,1,1,3,1,0,3
2021년11월_남_총인구수,"135,017","14,093","18,606","11,036","3,073","2,784","1,724","1,925","1,508","4,664","3,131","9,833","16,965","17,331","8,916","19,428"
2021년11월_남_연령구간인구수,"135,017","14,093","18,606","11,036","3,073","2,784","1,724","1,925","1,508","4,664","3,131","9,833","16,965","17,331","8,916","19,428"
2021년11월_남_0~9세,"10,054",988,"1,122","1,150",68,70,28,56,47,249,97,937,"1,228","1,921",522,"1,571"
2021년11월_남_10~19세,"11,893","1,568","1,637",645,128,128,51,80,49,290,194,"1,103","1,878","1,470",408,"2,264"
2021년11월_남_20~29세,"19,812","2,360","3,062","1,713",273,238,119,157,145,744,510,"1,088","2,185","2,327","2,072","2,819"
2021년11월_남_30~39세,"17,847","1,642","2,169","2,246",255,236,124,126,109,604,386,"1,264","1,834","2,651","1,716","2,485"
2021년11월_남_40~49세,"21,337","2,141","3,123","1,795",360,357,162,211,150,591,381,"1,791","2,911","2,763","1,270","3,331"
2021년11월_남_50~59세,"22,987","2,312","3,734","1,438",639,505,329,375,313,853,611,"1,465","2,973","2,786","1,338","3,316"
2021년11월_남_60~69세,"18,355","1,734","2,295","1,221",747,712,480,494,358,842,573,"1,238","2,377","2,048",954,"2,282"
2021년11월_남_70~79세,"9,031",931,"1,016",587,422,383,298,294,246,373,267,679,"1,099",989,472,975
2021년11월_남_80~89세,"3,418",390,410,220,169,147,123,117,80,110,101,250,445,343,152,361
2021년11월_남_90~99세,279,26,38,21,11,8,10,15,9,8,11,18,35,33,12,24
2021년11월_남_100세 이상,4,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2021년11월_여_총인구수,"133,438","13,936","17,029","9,708","2,658","2,668","1,554","1,784","1,413","4,974","3,207","10,140","18,709","18,791","7,398","19,469"
2021년11월_여_연령구간인구수,"133,438","13,936","17,029","9,708","2,658","2,668","1,554","1,784","1,413","4,974","3,207","10,140","18,709","18,791","7,398","19,469"
2021년11월_여_0~9세,"9,729",944,"1,036","1,058",65,58,33,58,34,238,86,942,"1,312","1,951",443,"1,471"
2021년11월_여_10~19세,"10,976","1,348","1,630",550,114,114,53,76,45,275,170,907,"1,952","1,469",350,"1,923"
2021년11월_여_20~29세,"16,630","1,871","2,282","1,375",175,180,71,90,88,738,419,929,"2,085","2,130","1,738","2,459"
2021년11월_여_30~39세,"15,238","1,348","1,626","1,709",190,155,64,85,68,528,289,"1,210","1,926","2,717","1,081","2,242"
2021년11월_여_40~49세,"20,255","2,266","2,797","1,287",212,207,97,156,103,620,365,"1,764","3,143","2,932",899,"3,407"
2021년11월_여_50~59세,"22,899","2,259","3,295","1,364",481,475,236,292,248,984,604,"1,561","3,232","3,338","1,128","3,402"
2021년11월_여_60~69세,"19,094","1,812","2,117","1,205",659,647,385,418,358,907,608,"1,465","2,670","2,362",975,"2,506"
2021년11월_여_70~79세,"11,195","1,271","1,340",667,412,455,319,295,262,430,395,880,"1,514","1,233",475,"1,247"
2021년11월_여_80~89세,"6,440",721,804,426,305,322,252,264,173,224,248,414,748,582,261,696
2021년11월_여_90~99세,958,92,98,65,45,52,44,49,33,30,22,67,124,76,48,113
2021년11월_여_100세 이상,24,4,4,2,0,3,0,1,1,0,1,1,3,1,0,3
