,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년04월_계_총인구수,"137,994","6,472","5,221","13,440","4,141","3,485","6,035","2,962","4,599","15,429","42,430","29,611","4,169"
2020년04월_계_연령구간인구수,"137,994","6,472","5,221","13,440","4,141","3,485","6,035","2,962","4,599","15,429","42,430","29,611","4,169"
2020년04월_계_0~9세,"12,193",262,237,933,151,134,206,95,215,957,"7,130","1,780",93
2020년04월_계_10~19세,"12,504",391,365,"1,139",309,218,303,166,348,"1,243","4,525","3,372",125
2020년04월_계_20~29세,"19,250",656,552,"1,638",431,386,657,304,523,"2,153","4,008","7,658",284
2020년04월_계_30~39세,"21,157",650,499,"1,685",425,327,691,271,461,"2,216","9,087","4,539",306
2020년04월_계_40~49세,"24,306",909,839,"2,090",601,499,802,408,629,"2,545","8,953","5,513",518
2020년04월_계_50~59세,"19,917","1,357",908,"2,283",753,662,"1,145",538,861,"2,691","4,277","3,484",958
2020년04월_계_60~69세,"15,321","1,252",822,"1,935",716,625,"1,094",557,782,"2,169","2,680","1,654","1,035"
2020년04월_계_70~79세,"9,112",649,627,"1,183",524,432,722,417,532,963,"1,305","1,153",605
2020년04월_계_80~89세,"3,562",286,306,468,193,163,335,169,201,404,415,418,204
2020년04월_계_90~99세,594,56,60,81,35,33,68,28,35,75,48,38,37
2020년04월_계_100세 이상,78,4,6,5,3,6,12,9,12,13,2,2,4
2020년04월_남_총인구수,"71,389","3,505","2,634","6,806","2,111","1,792","3,189","1,524","2,275","8,576","21,260","15,374","2,343"
2020년04월_남_연령구간인구수,"71,389","3,505","2,634","6,806","2,111","1,792","3,189","1,524","2,275","8,576","21,260","15,374","2,343"
2020년04월_남_0~9세,"6,281",140,137,470,68,78,92,63,111,494,"3,676",911,41
2020년04월_남_10~19세,"6,480",185,187,586,175,103,160,82,170,664,"2,303","1,800",65
2020년04월_남_20~29세,"9,727",391,301,860,238,214,362,172,278,"1,243","1,941","3,543",184
2020년04월_남_30~39세,"11,402",385,265,894,238,186,411,159,262,"1,315","4,409","2,686",192
2020년04월_남_40~49세,"13,334",544,454,"1,099",335,275,482,223,349,"1,515","4,764","2,947",347
2020년04월_남_50~59세,"10,908",780,492,"1,213",397,370,665,306,444,"1,521","2,177","1,980",563
2020년04월_남_60~69세,"7,585",649,388,972,341,310,553,266,355,"1,178","1,200",824,549
2020년04월_남_70~79세,"4,217",309,283,520,235,197,333,178,228,481,631,501,321
2020년04월_남_80~89세,"1,279",105,108,173,71,53,111,61,62,145,148,169,73
2020년04월_남_90~99세,149,16,16,17,13,5,17,12,9,15,10,11,8
2020년04월_남_100세 이상,27,1,3,2,0,1,3,2,7,5,1,2,0
2020년04월_여_총인구수,"66,605","2,967","2,587","6,634","2,030","1,693","2,846","1,438","2,324","6,853","21,170","14,237","1,826"
2020년04월_여_연령구간인구수,"66,605","2,967","2,587","6,634","2,030","1,693","2,846","1,438","2,324","6,853","21,170","14,237","1,826"
2020년04월_여_0~9세,"5,912",122,100,463,83,56,114,32,104,463,"3,454",869,52
2020년04월_여_10~19세,"6,024",206,178,553,134,115,143,84,178,579,"2,222","1,572",60
2020년04월_여_20~29세,"9,523",265,251,778,193,172,295,132,245,910,"2,067","4,115",100
2020년04월_여_30~39세,"9,755",265,234,791,187,141,280,112,199,901,"4,678","1,853",114
2020년04월_여_40~49세,"10,972",365,385,991,266,224,320,185,280,"1,030","4,189","2,566",171
2020년04월_여_50~59세,"9,009",577,416,"1,070",356,292,480,232,417,"1,170","2,100","1,504",395
2020년04월_여_60~69세,"7,736",603,434,963,375,315,541,291,427,991,"1,480",830,486
2020년04월_여_70~79세,"4,895",340,344,663,289,235,389,239,304,482,674,652,284
2020년04월_여_80~89세,"2,283",181,198,295,122,110,224,108,139,259,267,249,131
2020년04월_여_90~99세,445,40,44,64,22,28,51,16,26,60,38,27,29
2020년04월_여_100세 이상,51,3,3,3,3,5,9,7,5,8,1,0,4
