카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년07월_계_총인구수,"270,125","16,138","33,298","12,819","17,108","15,652","45,329","17,626","12,666","8,894","8,092","14,296","7,198","13,618","14,525","9,012","14,677","9,177"
2020년07월_계_연령구간인구수,"270,125","16,138","33,298","12,819","17,108","15,652","45,329","17,626","12,666","8,894","8,092","14,296","7,198","13,618","14,525","9,012","14,677","9,177"
2020년07월_계_0~9세,"18,620",587,"2,899","1,061","1,122","1,838","3,573","1,518",532,566,507,754,344,680,861,373,"1,003",402
2020년07월_계_10~19세,"23,550",993,"3,214",865,"1,511","1,502","5,242","1,838",926,682,766,"1,041",510,947,"1,291",420,"1,217",585
2020년07월_계_20~29세,"35,369","3,577","6,280","1,290","2,632","1,768","5,085","1,706","1,473",956,998,"1,622",701,"1,381","1,749","1,285","1,813","1,053"
2020년07월_계_30~39세,"31,117","1,917","4,406","1,865","2,070","2,293","4,379","1,940","1,196","1,131",763,"1,479",710,"1,358","1,453","1,370","1,874",913
2020년07월_계_40~49세,"42,521","2,093","5,731","1,885","2,699","2,713","7,953","2,996","1,671","1,363","1,289","2,090","1,083","1,925","2,277","1,211","2,226","1,316"
2020년07월_계_50~59세,"43,293","2,285","4,687","1,912","2,465","2,237","7,881","2,753","2,244","1,383","1,440","2,434","1,209","2,261","2,585","1,397","2,526","1,594"
2020년07월_계_60~69세,"40,405","2,384","3,363","1,999","2,394","1,819","6,195","2,766","2,493","1,594","1,302","2,611","1,304","2,690","2,253","1,396","2,165","1,677"
2020년07월_계_70~79세,"24,812","1,635","1,851","1,372","1,550","1,057","3,477","1,487","1,559",888,752,"1,623",968,"1,672","1,459","1,030","1,303","1,129"
2020년07월_계_80~89세,"9,166",593,745,512,601,362,"1,333",538,510,280,238,567,340,593,534,469,498,453
