카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년06월_계_총인구수,"1,080,507","480,386","14,800","23,553","47,541","21,874","11,375","13,441","24,185","22,207","29,994","36,731","15,572","37,801","33,026","18,833","21,850","32,024","45,742","27,425","2,412","300,326","36,910","47,045","23,504","39,013","30,617","20,977","24,120","16,422","11,492","26,943","23,283","299,795","27,292","18,511","35,565","51,742","27,993","29,096","36,306","21,698","51,592"
2021년06월_계_연령구간인구수,"1,080,507","480,386","14,800","23,553","47,541","21,874","11,375","13,441","24,185","22,207","29,994","36,731","15,572","37,801","33,026","18,833","21,850","32,024","45,742","27,425","2,412","300,326","36,910","47,045","23,504","39,013","30,617","20,977","24,120","16,422","11,492","26,943","23,283","299,795","27,292","18,511","35,565","51,742","27,993","29,096","36,306","21,698","51,592"
2021년06월_계_0~9세,"80,362","38,129",540,"2,957","5,368","1,270",593,"2,051","2,459","2,649","2,097","2,061",870,"1,922","2,489",695,"1,295","2,205","2,623","3,903",82,"20,483","3,607","3,317","1,235","3,106","1,964",885,"1,366","1,197","1,392","1,046","1,368","21,750","1,895",873,"2,530","4,450","1,768","1,939","2,223","1,642","4,430"
2021년06월_계_10~19세,"103,186","41,198","1,129","2,048","4,245","1,807","1,013",997,"1,569","1,609","3,087","2,804","1,181","3,572","3,648","1,151","1,996","2,715","4,730","1,780",117,"29,024","4,837","4,374","2,038","4,402","2,681","1,261","3,238","2,190",966,"1,536","1,501","32,964","2,624","1,441","5,689","5,452","3,148","3,179","2,970","2,242","6,219"
2021년06월_계_20~29세,"149,158","62,450","2,072","2,192","5,286","2,973","1,479","1,525","2,784","2,449","3,548","4,310","2,146","6,154","4,603","2,821","3,083","4,823","6,882","2,927",393,"44,656","4,991","6,827","3,914","5,368","4,843","3,509","3,712","2,211","1,300","5,047","2,934","42,052","3,908","2,675","4,688","7,328","3,768","3,754","6,251","3,027","6,653"
2021년06월_계_30~39세,"142,950","68,469","1,548","3,850","8,016","2,543","1,280","2,868","4,607","5,000","3,150","4,034","1,808","4,304","4,246","2,256","2,669","4,897","5,107","6,031",255,"38,509","4,114","5,414","2,921","4,628","4,503","3,352","2,270","1,560","1,857","4,871","3,019","35,972","3,181","1,922","3,488","6,972","3,312","3,299","5,315","2,854","5,629"
2021년06월_계_40~49세,"180,016","78,703","2,042","4,319","8,885","3,392","1,673","2,409","4,074","3,934","5,156","5,683","2,182","5,637","6,032","2,607","3,449","4,849","7,237","4,850",293,"50,565","7,268","7,239","3,533","6,727","4,923","3,661","4,050","2,899","2,128","4,717","3,420","50,748","4,187","2,509","6,967","9,058","4,537","4,711","5,529","3,670","9,580"
2021년06월_계_50~59세,"195,628","83,411","3,163","3,297","6,782","4,251","2,090","1,682","3,465","2,787","5,122","7,002","3,144","7,529","5,829","3,949","4,229","5,933","9,292","3,415",450,"56,197","6,600","9,174","4,439","7,026","5,744","3,923","4,747","3,084","1,945","4,906","4,609","56,020","5,181","4,115","6,554","9,577","5,022","5,176","6,833","4,028","9,534"
2021년06월_계_60~69세,"128,157","60,009","2,405","2,915","5,115","3,102","1,677","1,145","2,914","2,228","4,168","6,043","2,431","4,421","3,243","3,075","2,908","3,605","5,480","2,686",448,"34,750","3,293","6,009","3,089","4,464","3,554","2,434","2,721","1,664","1,231","2,614","3,677","33,398","3,437","2,907","3,292","4,918","3,267","3,397","4,177","2,423","5,580"
2021년06월_계_70~79세,"61,665","30,267","1,205","1,350","2,598","1,574",928,489,"1,558","1,046","2,424","3,130","1,137","2,495","1,704","1,406","1,359","1,813","2,616","1,185",250,"15,576","1,382","2,736","1,448","2,022","1,483","1,145","1,167",822,457,"1,242","1,672","15,822","1,792","1,245","1,359","2,315","1,690","1,953","1,839","1,117","2,512"
