,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년03월_계_총인구수,"24,178","9,543","2,293","4,021","2,596","4,321","1,404"
2020년03월_계_연령구간인구수,"24,178","9,543","2,293","4,021","2,596","4,321","1,404"
2020년03월_계_0~9세,"1,271",779,65,194,69,136,28
2020년03월_계_10~19세,"1,813",967,112,292,120,267,55
2020년03월_계_20~29세,"1,880",901,160,330,152,266,71
2020년03월_계_30~39세,"1,770",942,135,252,127,250,64
2020년03월_계_40~49세,"2,942","1,464",206,520,243,400,109
2020년03월_계_50~59세,"4,255","1,477",464,790,456,808,260
2020년03월_계_60~69세,"4,236","1,262",492,728,533,884,337
2020년03월_계_70~79세,"3,398","1,006",381,532,483,720,276
2020년03월_계_80~89세,"2,268",621,248,342,366,517,174
2020년03월_계_90~99세,328,115,29,41,44,69,30
2020년03월_계_100세 이상,17,9,1,0,3,4,0
2020년03월_남_총인구수,"12,017","4,747","1,129","2,029","1,276","2,149",687
2020년03월_남_연령구간인구수,"12,017","4,747","1,129","2,029","1,276","2,149",687
2020년03월_남_0~9세,677,412,37,116,32,67,13
2020년03월_남_10~19세,919,483,65,153,59,132,27
2020년03월_남_20~29세,"1,045",493,81,178,90,160,43
2020년03월_남_30~39세,960,482,80,142,71,148,37
2020년03월_남_40~49세,"1,655",773,120,302,146,245,69
2020년03월_남_50~59세,"2,344",831,237,435,260,440,141
2020년03월_남_60~69세,"2,142",598,254,370,277,465,178
2020년03월_남_70~79세,"1,415",439,166,208,196,292,114
2020년03월_남_80~89세,782,215,80,118,131,181,57
2020년03월_남_90~99세,73,20,8,7,13,17,8
2020년03월_남_100세 이상,5,1,1,0,1,2,0
2020년03월_여_총인구수,"12,161","4,796","1,164","1,992","1,320","2,172",717
2020년03월_여_연령구간인구수,"12,161","4,796","1,164","1,992","1,320","2,172",717
2020년03월_여_0~9세,594,367,28,78,37,69,15
2020년03월_여_10~19세,894,484,47,139,61,135,28
2020년03월_여_20~29세,835,408,79,152,62,106,28
2020년03월_여_30~39세,810,460,55,110,56,102,27
2020년03월_여_40~49세,"1,287",691,86,218,97,155,40
2020년03월_여_50~59세,"1,911",646,227,355,196,368,119
2020년03월_여_60~69세,"2,094",664,238,358,256,419,159
2020년03월_여_70~79세,"1,983",567,215,324,287,428,162
2020년03월_여_80~89세,"1,486",406,168,224,235,336,117
2020년03월_여_90~99세,255,95,21,34,31,52,22
2020년03월_여_100세 이상,12,8,0,0,2,2,0
