카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년04월_계_총인구수,"27,916","7,822","1,880","1,676","2,353","1,332","1,924","1,167","4,171","2,457","1,697","1,437"
2021년04월_계_연령구간인구수,"27,916","7,822","1,880","1,676","2,353","1,332","1,924","1,167","4,171","2,457","1,697","1,437"
2021년04월_계_0~9세,"1,047",456,61,26,70,19,41,33,193,65,46,37
2021년04월_계_10~19세,"1,894",652,128,85,127,37,89,44,396,198,82,56
2021년04월_계_20~29세,"2,276",767,107,100,146,73,130,81,459,198,101,114
2021년04월_계_30~39세,"1,693",625,99,64,111,62,83,45,335,102,95,72
2021년04월_계_40~49세,"2,990","1,047",170,145,201,97,165,78,497,320,155,115
2021년04월_계_50~59세,"4,893","1,287",298,282,423,246,353,202,758,466,304,274
2021년04월_계_60~69세,"5,114","1,262",401,358,444,279,415,235,662,398,318,342
2021년04월_계_70~79세,"4,215",981,321,305,397,256,352,234,492,343,314,220
2021년04월_계_80~89세,"3,235",633,264,259,372,232,243,189,319,310,239,175
2021년04월_계_90~99세,543,106,30,52,61,28,53,26,58,57,42,30
2021년04월_계_100세 이상,16,6,1,0,1,3,0,0,2,0,1,2
2021년04월_남_총인구수,"13,674","3,779",926,823,"1,114",651,938,579,"2,072","1,224",834,734
2021년04월_남_연령구간인구수,"13,674","3,779",926,823,"1,114",651,938,579,"2,072","1,224",834,734
2021년04월_남_0~9세,535,231,29,10,41,13,26,21,87,34,22,21
2021년04월_남_10~19세,"1,007",345,70,49,73,14,49,19,208,109,42,29
2021년04월_남_20~29세,"1,254",415,64,64,82,45,68,49,244,102,56,65
2021년04월_남_30~39세,901,296,62,43,59,42,44,28,181,58,50,38
2021년04월_남_40~49세,"1,656",538,98,94,105,61,87,53,263,182,107,68
2021년04월_남_50~59세,"2,705",691,166,149,233,139,192,117,410,282,173,153
2021년04월_남_60~69세,"2,686",612,215,194,227,149,225,130,342,219,175,198
2021년04월_남_70~79세,"1,811",429,125,126,175,108,161,99,221,138,126,103
2021년04월_남_80~89세,"1,011",206,90,83,107,75,78,60,98,89,72,53
2021년04월_남_90~99세,104,15,7,11,11,5,8,3,17,11,10,6
2021년04월_남_100세 이상,4,1,0,0,1,0,0,0,1,0,1,0
2021년04월_여_총인구수,"14,242","4,043",954,853,"1,239",681,986,588,"2,099","1,233",863,703
2021년04월_여_연령구간인구수,"14,242","4,043",954,853,"1,239",681,986,588,"2,099","1,233",863,703
2021년04월_여_0~9세,512,225,32,16,29,6,15,12,106,31,24,16
2021년04월_여_10~19세,887,307,58,36,54,23,40,25,188,89,40,27
2021년04월_여_20~29세,"1,022",352,43,36,64,28,62,32,215,96,45,49
2021년04월_여_30~39세,792,329,37,21,52,20,39,17,154,44,45,34
2021년04월_여_40~49세,"1,334",509,72,51,96,36,78,25,234,138,48,47
2021년04월_여_50~59세,"2,188",596,132,133,190,107,161,85,348,184,131,121
2021년04월_여_60~69세,"2,428",650,186,164,217,130,190,105,320,179,143,144
2021년04월_여_70~79세,"2,404",552,196,179,222,148,191,135,271,205,188,117
2021년04월_여_80~89세,"2,224",427,174,176,265,157,165,129,221,221,167,122
2021년04월_여_90~99세,439,91,23,41,50,23,45,23,41,46,32,24
2021년04월_여_100세 이상,12,5,1,0,0,3,0,0,1,0,0,2
