,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년05월_계_총인구수,"1,535,491","282,482","354,768","212,681","89,968","41,718","82,241","64,188","68,597","46,589","38,099","41,164","35,991","44,011","24,397","22,094","31,633","26,864","28,006"
2021년05월_계_연령구간인구수,"1,535,491","282,482","354,768","212,681","89,968","41,718","82,241","64,188","68,597","46,589","38,099","41,164","35,991","44,011","24,397","22,094","31,633","26,864","28,006"
2021년05월_계_0~9세,"103,387","21,189","27,843","13,202","6,469","2,442","5,759","3,702","3,718","2,129","1,620","1,807","1,700","3,291","1,755","1,687","2,448","1,304","1,322"
2021년05월_계_10~19세,"135,474","26,685","35,499","18,642","8,622","3,746","7,300","5,089","5,048","3,565","2,893","2,810","2,469","3,673","1,731","2,041","2,244","1,600","1,817"
2021년05월_계_20~29세,"177,230","37,268","45,187","24,893","9,324","3,573","8,876","6,976","6,684","3,790","3,140","3,315","2,704","5,572","3,716","3,019","4,124","2,695","2,374"
2021년05월_계_30~39세,"163,622","33,990","45,009","21,365","8,898","3,552","9,077","5,477","5,903","3,367","2,703","2,956","2,935","4,610","2,804","2,520","3,863","2,280","2,313"
2021년05월_계_40~49세,"220,994","42,070","56,753","32,029","14,365","6,215","12,269","8,666","8,077","5,023","4,410","5,175","4,751","5,593","2,632","2,492","3,907","3,075","3,492"
2021년05월_계_50~59세,"264,724","46,676","60,855","36,420","15,589","7,134","14,996","11,082","12,343","8,603","7,160","7,896","6,808","7,008","3,820","3,462","5,126","4,753","4,993"
2021년05월_계_60~69세,"250,142","39,773","47,678","34,686","14,289","7,754","13,271","11,452","14,447","10,653","8,240","9,109","7,629","6,967","3,981","3,521","5,484","5,436","5,772"
2021년05월_계_70~79세,"134,102","20,780","21,522","19,580","7,975","4,835","6,782","7,084","7,241","5,534","4,781","4,919","4,430","4,623","2,302","1,991","2,629","3,443","3,651"
2021년05월_계_80~89세,"74,025","12,086","12,480","10,125","3,897","2,169","3,288","4,036","4,462","3,362","2,787","2,795","2,227","2,298","1,423","1,183","1,550","1,927","1,930"
2021년05월_계_90~99세,"11,329","1,900","1,880","1,679",528,275,603,598,641,536,343,364,320,359,223,164,251,336,329
2021년05월_계_100세 이상,462,65,62,60,12,23,20,26,33,27,22,18,18,17,10,14,7,15,13
2021년05월_남_총인구수,"772,893","139,461","176,009","105,487","45,667","21,160","40,750","32,475","35,339","23,910","19,743","21,124","18,743","22,895","13,252","11,679","17,116","13,814","14,269"
2021년05월_남_연령구간인구수,"772,893","139,461","176,009","105,487","45,667","21,160","40,750","32,475","35,339","23,910","19,743","21,124","18,743","22,895","13,252","11,679","17,116","13,814","14,269"
2021년05월_남_0~9세,"52,931","10,882","14,195","6,814","3,316","1,291","2,931","1,885","1,889","1,125",854,899,875,"1,654",892,849,"1,241",665,674
2021년05월_남_10~19세,"70,384","13,862","18,340","9,762","4,494","1,943","3,792","2,604","2,573","1,862","1,573","1,473","1,275","1,920",868,"1,021","1,177",871,974
2021년05월_남_20~29세,"99,712","19,888","24,086","13,615","5,494","2,077","4,980","3,896","4,065","2,172","1,830","1,966","1,563","3,613","2,590","2,016","2,743","1,715","1,403"
2021년05월_남_30~39세,"85,976","17,352","22,822","11,258","4,763","1,880","4,860","2,967","3,222","1,755","1,467","1,592","1,636","2,549","1,655","1,400","2,231","1,304","1,263"
2021년05월_남_40~49세,"113,383","20,796","27,932","16,313","7,477","3,305","6,166","4,761","4,326","2,806","2,399","2,824","2,757","2,990","1,452","1,339","2,167","1,677","1,896"
2021년05월_남_50~59세,"136,626","23,458","30,655","18,396","8,087","3,837","7,415","6,011","6,524","4,559","3,990","4,249","3,784","3,747","2,070","1,851","2,740","2,580","2,673"
2021년05월_남_60~69세,"124,676","19,277","23,612","16,555","6,912","3,826","6,401","5,759","7,545","5,576","4,336","4,752","4,031","3,445","2,145","1,880","2,944","2,769","2,911"
2021년05월_남_70~79세,"60,273","9,137","9,570","8,779","3,615","2,141","2,947","3,123","3,431","2,690","2,185","2,290","1,980","2,058","1,028",863,"1,251","1,485","1,700"
2021년05월_남_80~89세,"26,348","4,320","4,367","3,657","1,410",790,"1,140","1,353","1,608","1,245","1,005","1,004",776,832,495,417,553,668,708
2021년05월_남_90~99세,"2,470",470,419,326,97,60,112,112,152,116,96,71,58,82,53,38,65,77,66
2021년05월_남_100세 이상,114,19,11,12,2,10,6,4,4,4,8,4,8,5,4,5,4,3,1
2021년05월_여_총인구수,"762,598","143,021","178,759","107,194","44,301","20,558","41,491","31,713","33,258","22,679","18,356","20,040","17,248","21,116","11,145","10,415","14,517","13,050","13,737"
2021년05월_여_연령구간인구수,"762,598","143,021","178,759","107,194","44,301","20,558","41,491","31,713","33,258","22,679","18,356","20,040","17,248","21,116","11,145","10,415","14,517","13,050","13,737"
2021년05월_여_0~9세,"50,456","10,307","13,648","6,388","3,153","1,151","2,828","1,817","1,829","1,004",766,908,825,"1,637",863,838,"1,207",639,648
2021년05월_여_10~19세,"65,090","12,823","17,159","8,880","4,128","1,803","3,508","2,485","2,475","1,703","1,320","1,337","1,194","1,753",863,"1,020","1,067",729,843
2021년05월_여_20~29세,"77,518","17,380","21,101","11,278","3,830","1,496","3,896","3,080","2,619","1,618","1,310","1,349","1,141","1,959","1,126","1,003","1,381",980,971
2021년05월_여_30~39세,"77,646","16,638","22,187","10,107","4,135","1,672","4,217","2,510","2,681","1,612","1,236","1,364","1,299","2,061","1,149","1,120","1,632",976,"1,050"
2021년05월_여_40~49세,"107,611","21,274","28,821","15,716","6,888","2,910","6,103","3,905","3,751","2,217","2,011","2,351","1,994","2,603","1,180","1,153","1,740","1,398","1,596"
2021년05월_여_50~59세,"128,098","23,218","30,200","18,024","7,502","3,297","7,581","5,071","5,819","4,044","3,170","3,647","3,024","3,261","1,750","1,611","2,386","2,173","2,320"
2021년05월_여_60~69세,"125,466","20,496","24,066","18,131","7,377","3,928","6,870","5,693","6,902","5,077","3,904","4,357","3,598","3,522","1,836","1,641","2,540","2,667","2,861"
2021년05월_여_70~79세,"73,829","11,643","11,952","10,801","4,360","2,694","3,835","3,961","3,810","2,844","2,596","2,629","2,450","2,565","1,274","1,128","1,378","1,958","1,951"
2021년05월_여_80~89세,"47,677","7,766","8,113","6,468","2,487","1,379","2,148","2,683","2,854","2,117","1,782","1,791","1,451","1,466",928,766,997,"1,259","1,222"
2021년05월_여_90~99세,"8,859","1,430","1,461","1,353",431,215,491,486,489,420,247,293,262,277,170,126,186,259,263
2021년05월_여_100세 이상,348,46,51,48,10,13,14,22,29,23,14,14,10,12,6,9,3,12,12
