,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년03월_계_총인구수,"50,337","29,020","3,212","1,409","1,910","2,351","2,998","4,181","2,253","3,003"
2021년03월_계_연령구간인구수,"50,337","29,020","3,212","1,409","1,910","2,351","2,998","4,181","2,253","3,003"
2021년03월_계_0~9세,"2,550","2,086",89,38,37,25,50,106,55,64
2021년03월_계_10~19세,"3,847","3,010",125,66,77,61,138,182,75,113
2021년03월_계_20~29세,"4,308","3,133",209,58,86,82,137,258,155,190
2021년03월_계_30~39세,"3,842","2,762",182,68,78,86,113,253,124,176
2021년03월_계_40~49세,"6,169","4,470",282,98,153,126,213,373,168,286
2021년03월_계_50~59세,"8,821","4,942",608,262,306,450,496,760,402,595
2021년03월_계_60~69세,"10,091","4,467",851,359,522,659,828,"1,014",584,807
2021년03월_계_70~79세,"6,322","2,662",476,249,345,431,590,721,391,457
2021년03월_계_80~89세,"3,782","1,295",335,175,261,368,381,437,261,269
2021년03월_계_90~99세,588,191,52,36,40,59,51,77,38,44
2021년03월_계_100세 이상,17,2,3,0,5,4,1,0,0,2
2021년03월_남_총인구수,"25,378","14,512","1,657",705,980,"1,178","1,458","2,153","1,173","1,562"
2021년03월_남_연령구간인구수,"25,378","14,512","1,657",705,980,"1,178","1,458","2,153","1,173","1,562"
2021년03월_남_0~9세,"1,318","1,077",46,20,20,13,21,52,33,36
2021년03월_남_10~19세,"2,046","1,600",62,37,40,33,76,101,35,62
2021년03월_남_20~29세,"2,464","1,744",139,38,52,57,81,155,89,109
2021년03월_남_30~39세,"1,992","1,387",98,41,48,46,56,150,67,99
2021년03월_남_40~49세,"3,312","2,268",162,65,99,83,128,243,107,157
2021년03월_남_50~59세,"4,736","2,557",333,136,183,251,289,423,230,334
2021년03월_남_60~69세,"5,150","2,176",461,190,275,361,414,523,318,432
2021년03월_남_70~79세,"2,920","1,183",224,118,164,200,269,355,191,216
2021년03월_남_80~89세,"1,287",480,114,51,84,115,109,133,95,106
2021년03월_남_90~99세,150,40,17,9,13,19,15,18,8,11
2021년03월_남_100세 이상,3,0,1,0,2,0,0,0,0,0
2021년03월_여_총인구수,"24,959","14,508","1,555",704,930,"1,173","1,540","2,028","1,080","1,441"
2021년03월_여_연령구간인구수,"24,959","14,508","1,555",704,930,"1,173","1,540","2,028","1,080","1,441"
2021년03월_여_0~9세,"1,232","1,009",43,18,17,12,29,54,22,28
2021년03월_여_10~19세,"1,801","1,410",63,29,37,28,62,81,40,51
2021년03월_여_20~29세,"1,844","1,389",70,20,34,25,56,103,66,81
2021년03월_여_30~39세,"1,850","1,375",84,27,30,40,57,103,57,77
2021년03월_여_40~49세,"2,857","2,202",120,33,54,43,85,130,61,129
2021년03월_여_50~59세,"4,085","2,385",275,126,123,199,207,337,172,261
2021년03월_여_60~69세,"4,941","2,291",390,169,247,298,414,491,266,375
2021년03월_여_70~79세,"3,402","1,479",252,131,181,231,321,366,200,241
2021년03월_여_80~89세,"2,495",815,221,124,177,253,272,304,166,163
2021년03월_여_90~99세,438,151,35,27,27,40,36,59,30,33
2021년03월_여_100세 이상,14,2,2,0,3,4,1,0,0,2
