,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년04월_계_총인구수,"102,939","4,519","3,847","10,569","8,618","8,755","10,317","4,356","4,675","3,161","7,922","11,734","7,929","16,537"
2021년04월_계_연령구간인구수,"102,939","4,519","3,847","10,569","8,618","8,755","10,317","4,356","4,675","3,161","7,922","11,734","7,929","16,537"
2021년04월_계_0~9세,"7,214",63,86,885,885,531,599,180,201,85,737,599,530,"1,833"
2021년04월_계_10~19세,"7,315",140,199,623,763,634,796,333,359,138,556,945,642,"1,187"
2021년04월_계_20~29세,"14,720","1,096",773,"1,352",930,"1,189","1,328",890,929,841,"1,089","1,362",925,"2,016"
2021년04월_계_30~39세,"13,420",614,423,"1,781","1,157","1,121","1,059",460,424,379,"1,103","1,077",989,"2,833"
2021년04월_계_40~49세,"14,019",500,487,"1,462","1,316","1,226","1,366",568,587,335,"1,113","1,456","1,087","2,516"
2021년04월_계_50~59세,"15,535",647,500,"1,664","1,161","1,430","1,726",620,741,414,"1,181","1,829","1,251","2,371"
2021년04월_계_60~69세,"14,911",757,580,"1,471","1,058","1,246","1,682",609,631,462,"1,022","2,025","1,308","2,060"
2021년04월_계_70~79세,"10,321",477,515,913,866,903,"1,171",444,487,328,762,"1,506",818,"1,131"
2021년04월_계_80~89세,"4,756",189,245,356,429,416,533,216,271,156,319,807,323,496
2021년04월_계_90~99세,680,34,37,57,50,57,56,30,42,20,37,121,54,85
2021년04월_계_100세 이상,48,2,2,5,3,2,1,6,3,3,3,7,2,9
2021년04월_남_총인구수,"50,783","2,309","1,936","5,506","4,172","4,362","5,021","2,194","2,388","1,655","3,792","5,559","3,851","8,038"
2021년04월_남_연령구간인구수,"50,783","2,309","1,936","5,506","4,172","4,362","5,021","2,194","2,388","1,655","3,792","5,559","3,851","8,038"
2021년04월_남_0~9세,"3,732",34,40,454,460,272,301,110,118,44,389,306,286,918
2021년04월_남_10~19세,"3,765",62,106,328,406,333,411,167,197,60,272,498,329,596
2021년04월_남_20~29세,"7,531",430,392,711,498,635,682,471,510,441,523,721,476,"1,041"
2021년04월_남_30~39세,"6,978",349,248,970,574,594,541,265,225,220,535,543,509,"1,405"
2021년04월_남_40~49세,"7,291",312,258,802,636,653,712,298,310,205,585,691,562,"1,267"
2021년04월_남_50~59세,"7,684",371,264,916,570,725,826,307,378,231,573,844,580,"1,099"
2021년04월_남_60~69세,"7,027",398,278,734,476,591,778,283,308,223,459,909,608,982
2021년04월_남_70~79세,"4,572",256,216,438,348,387,518,193,202,150,320,657,365,522
2021년04월_남_80~89세,"1,999",86,126,141,187,156,233,92,123,72,126,347,122,188
2021년04월_남_90~99세,190,11,8,12,16,16,19,5,16,7,9,40,14,17
2021년04월_남_100세 이상,14,0,0,0,1,0,0,3,1,2,1,3,0,3
2021년04월_여_총인구수,"52,156","2,210","1,911","5,063","4,446","4,393","5,296","2,162","2,287","1,506","4,130","6,175","4,078","8,499"
2021년04월_여_연령구간인구수,"52,156","2,210","1,911","5,063","4,446","4,393","5,296","2,162","2,287","1,506","4,130","6,175","4,078","8,499"
2021년04월_여_0~9세,"3,482",29,46,431,425,259,298,70,83,41,348,293,244,915
2021년04월_여_10~19세,"3,550",78,93,295,357,301,385,166,162,78,284,447,313,591
2021년04월_여_20~29세,"7,189",666,381,641,432,554,646,419,419,400,566,641,449,975
2021년04월_여_30~39세,"6,442",265,175,811,583,527,518,195,199,159,568,534,480,"1,428"
2021년04월_여_40~49세,"6,728",188,229,660,680,573,654,270,277,130,528,765,525,"1,249"
2021년04월_여_50~59세,"7,851",276,236,748,591,705,900,313,363,183,608,985,671,"1,272"
2021년04월_여_60~69세,"7,884",359,302,737,582,655,904,326,323,239,563,"1,116",700,"1,078"
2021년04월_여_70~79세,"5,749",221,299,475,518,516,653,251,285,178,442,849,453,609
2021년04월_여_80~89세,"2,757",103,119,215,242,260,300,124,148,84,193,460,201,308
2021년04월_여_90~99세,490,23,29,45,34,41,37,25,26,13,28,81,40,68
2021년04월_여_100세 이상,34,2,2,5,2,2,1,3,2,1,2,4,2,6
