,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년03월_계_총인구수,"210,423","4,908","2,066","3,096","8,499","3,039","2,342","4,024","12,425","3,708","3,754","2,326","3,298","1,944","2,803","23,787","7,241","15,785","5,391","9,698","17,414","3,763","9,432","14,879","38,064","6,737"
2020년03월_계_연령구간인구수,"210,423","4,908","2,066","3,096","8,499","3,039","2,342","4,024","12,425","3,708","3,754","2,326","3,298","1,944","2,803","23,787","7,241","15,785","5,391","9,698","17,414","3,763","9,432","14,879","38,064","6,737"
2020년03월_계_0~9세,"15,134",109,45,84,568,32,63,84,"1,885",325,111,58,83,61,116,"1,741",304,"1,359",271,406,"2,048",99,561,"1,108","2,987",626
2020년03월_계_10~19세,"19,403",241,67,124,391,119,102,152,886,269,182,78,178,74,168,"2,588",579,"2,078",503,738,"2,310",175,781,"1,856","4,058",706
2020년03월_계_20~29세,"24,389",374,134,217,"1,319",196,137,278,"1,462",492,281,166,206,106,287,"2,826",883,"1,897",603,"1,066","2,002",504,"1,155","1,938","5,081",779
2020년03월_계_30~39세,"23,867",323,117,170,"1,377",180,124,193,"2,806",450,189,131,177,115,231,"2,549",632,"1,741",472,850,"2,548",299,"1,063","1,552","4,713",865
2020년03월_계_40~49세,"31,491",513,166,282,"1,146",247,188,356,"1,920",514,364,212,283,154,351,"3,758","1,000","2,988",779,"1,234","3,252",412,"1,429","2,661","6,118","1,164"
2020년03월_계_50~59세,"37,881","1,054",445,668,"1,457",600,428,827,"1,510",515,768,451,614,356,496,"4,420","1,362","2,687",984,"1,839","2,682",763,"1,751","2,815","7,170","1,219"
2020년03월_계_60~69세,"30,027","1,103",555,751,"1,192",759,589,"1,021","1,075",545,846,546,821,495,540,"3,182","1,218","1,621",853,"1,856","1,493",719,"1,445","1,588","4,489",725
2020년03월_계_70~79세,"17,418",696,327,515,611,510,414,656,519,339,568,397,525,342,368,"1,747",802,890,586,"1,090",700,483,880,872,"2,179",402
2020년03월_계_80~89세,"9,545",446,181,236,386,355,261,403,321,230,385,257,358,221,199,869,410,466,300,538,331,280,331,439,"1,119",223
2020년03월_계_90~99세,"1,200",46,28,48,45,38,32,50,40,26,58,28,47,19,44,102,48,55,35,77,48,28,34,49,149,26
2020년03월_계_100세 이상,68,3,1,1,7,3,4,4,1,3,2,2,6,1,3,5,3,3,5,4,0,1,2,1,1,2
2020년03월_남_총인구수,"106,420","2,513","1,049","1,557","4,770","1,558","1,174","2,073","6,396","1,981","1,899","1,193","1,692",994,"1,377","11,926","3,649","7,730","2,717","4,872","8,666","2,016","4,856","7,350","18,906","3,506"
2020년03월_남_연령구간인구수,"106,420","2,513","1,049","1,557","4,770","1,558","1,174","2,073","6,396","1,981","1,899","1,193","1,692",994,"1,377","11,926","3,649","7,730","2,717","4,872","8,666","2,016","4,856","7,350","18,906","3,506"
2020년03월_남_0~9세,"7,648",60,20,40,288,14,29,51,956,148,53,35,45,28,55,925,151,665,143,200,"1,028",43,265,563,"1,504",339
2020년03월_남_10~19세,"10,131",111,35,74,229,62,62,87,435,144,86,39,105,41,89,"1,365",293,"1,092",257,380,"1,198",97,393,973,"2,117",367
2020년03월_남_20~29세,"13,917",237,77,131,842,116,82,170,813,326,162,95,117,59,167,"1,624",498,"1,051",346,578,"1,078",302,661,"1,047","2,885",453
2020년03월_남_30~39세,"12,830",188,67,92,855,113,75,116,"1,528",253,107,78,101,67,131,"1,323",358,872,260,480,"1,268",196,584,788,"2,472",458
2020년03월_남_40~49세,"16,208",307,98,166,672,167,136,205,"1,015",307,220,122,169,92,199,"1,859",550,"1,414",400,665,"1,614",253,784,"1,258","2,935",601
