,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년10월_계_총인구수,"99,407","37,757","8,280","29,086","3,507","3,386","2,855","2,262","2,085","3,226","3,490","3,473"
2021년10월_계_연령구간인구수,"99,407","37,757","8,280","29,086","3,507","3,386","2,855","2,262","2,085","3,226","3,490","3,473"
2021년10월_계_0~9세,"7,437","2,315",272,"4,290",94,113,68,38,21,71,74,81
2021년10월_계_10~19세,"9,496","4,180",505,"3,800",123,220,108,60,55,131,141,173
2021년10월_계_20~29세,"9,337","4,720",512,"2,726",223,209,137,122,105,185,201,197
2021년10월_계_30~39세,"10,104","3,499",450,"4,955",194,179,131,82,95,141,183,195
2021년10월_계_40~49세,"14,219","5,869",752,"5,570",311,352,215,169,120,273,274,314
2021년10월_계_50~59세,"15,724","6,733","1,393","3,642",623,564,427,343,341,503,525,630
2021년10월_계_60~69세,"15,462","5,423","1,865","2,302",826,727,659,559,539,845,866,851
2021년10월_계_70~79세,"10,134","3,175","1,505","1,069",593,533,553,463,417,607,641,578
2021년10월_계_80~89세,"6,529","1,603",893,641,451,434,507,350,345,400,506,399
2021년10월_계_90~99세,937,230,128,88,68,53,50,76,46,66,78,54
2021년10월_계_100세 이상,28,10,5,3,1,2,0,0,1,4,1,1
2021년10월_남_총인구수,"49,522","18,730","4,091","14,578","1,797","1,696","1,359","1,145","1,028","1,585","1,748","1,765"
2021년10월_남_연령구간인구수,"49,522","18,730","4,091","14,578","1,797","1,696","1,359","1,145","1,028","1,585","1,748","1,765"
2021년10월_남_0~9세,"3,871","1,178",147,"2,244",51,64,36,22,10,32,44,43
2021년10월_남_10~19세,"4,887","2,157",288,"1,928",70,112,49,30,25,63,79,86
2021년10월_남_20~29세,"5,181","2,610",307,"1,412",141,136,79,74,67,110,123,122
2021년10월_남_30~39세,"5,199","1,821",257,"2,397",126,103,77,56,66,82,110,104
2021년10월_남_40~49세,"7,388","2,870",429,"2,828",193,193,135,109,81,174,184,192
2021년10월_남_50~59세,"8,302","3,482",722,"1,925",341,306,233,205,178,265,288,357
2021년10월_남_60~69세,"7,602","2,566",924,"1,114",433,380,325,282,269,426,430,453
2021년10월_남_70~79세,"4,588","1,427",666,498,267,254,234,221,192,276,284,269
2021년10월_남_80~89세,"2,272",559,313,220,158,133,178,129,131,140,183,128
2021년10월_남_90~99세,228,57,38,12,17,15,13,17,9,16,23,11
2021년10월_남_100세 이상,4,3,0,0,0,0,0,0,0,1,0,0
2021년10월_여_총인구수,"49,885","19,027","4,189","14,508","1,710","1,690","1,496","1,117","1,057","1,641","1,742","1,708"
2021년10월_여_연령구간인구수,"49,885","19,027","4,189","14,508","1,710","1,690","1,496","1,117","1,057","1,641","1,742","1,708"
2021년10월_여_0~9세,"3,566","1,137",125,"2,046",43,49,32,16,11,39,30,38
2021년10월_여_10~19세,"4,609","2,023",217,"1,872",53,108,59,30,30,68,62,87
2021년10월_여_20~29세,"4,156","2,110",205,"1,314",82,73,58,48,38,75,78,75
2021년10월_여_30~39세,"4,905","1,678",193,"2,558",68,76,54,26,29,59,73,91
2021년10월_여_40~49세,"6,831","2,999",323,"2,742",118,159,80,60,39,99,90,122
2021년10월_여_50~59세,"7,422","3,251",671,"1,717",282,258,194,138,163,238,237,273
2021년10월_여_60~69세,"7,860","2,857",941,"1,188",393,347,334,277,270,419,436,398
2021년10월_여_70~79세,"5,546","1,748",839,571,326,279,319,242,225,331,357,309
2021년10월_여_80~89세,"4,257","1,044",580,421,293,301,329,221,214,260,323,271
2021년10월_여_90~99세,709,173,90,76,51,38,37,59,37,50,55,43
2021년10월_여_100세 이상,24,7,5,3,1,2,0,0,1,3,1,1
